Date,Spread,CRUDOIL,NAFCNWE,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2018-01-01,-1.5860752504309445,60.42,593.8,2.1659864475497606,0.10442249115936503,1.0,1.0,-0.10442249115936503,-0.0005989295045102596,-0.0005989295045102596
2018-01-02,-1.494941706752705,60.37,592.5,2.159675164033792,0.10441340372447713,1.0,1.0,-0.10441340372447713,0.02043073080400498,0.01983180129949472
2018-01-03,-0.49070921202671514,61.63,595.0,2.160340357331871,0.10440455329752389,1.0,1.0,-0.10440455329752389,0.00704317751773265,0.02687497881722737
2018-01-04,0.40953048349526,62.01,590.0,2.1632757497980215,0.10440757545170294,1.0,1.0,-0.10440757545170294,-0.008838141811257383,0.01803683700596999
2018-01-05,0.04180638853590324,61.44,588.0,2.1578503760020546,0.10441869661813621,-1.0,-1.0,0.10441869661813621,-0.0043648864485777055,0.013671950557392284
2018-01-08,0.12072620104546417,61.73,590.0,2.157833209825263,0.10442249796432972,-1.0,-1.0,0.10442249796432972,-0.0185980773023299,-0.0049261267449376145
2018-01-09,0.5613290322837514,62.96,597.5,2.1581544049522616,0.10443292212170084,-1.0,-1.0,0.10443292212170084,-0.009985822559067423,-0.014911949304005037
2018-01-10,1.3371469581614406,63.57,595.8,2.1618935586889454,0.1044525898654558,-1.0,-1.0,0.1044525898654558,-0.004284255277040453,-0.01919620458104549
2018-01-11,1.9502377557389323,63.8,592.0,2.170863042907407,0.10447594973692748,-1.0,-1.0,0.10447594973692748,-0.008013470240437156,-0.02720967482148265
2018-01-12,2.539328980056368,64.3,591.0,2.185951455842042,0.10450198142122441,-1.0,-1.0,0.10450198142122441,0.0,-0.02720967482148265
2018-01-15,2.5311936340672716,64.3,591.0,2.2043587730965726,0.1045157468120689,-1.0,-1.0,0.1045157468120689,0.008864696734059097,-0.018344978087423552
2018-01-16,1.953381284102555,63.73,591.0,2.2169819606582473,0.10452896567833747,-1.0,-1.0,0.10452896567833747,-0.0042964912238960245,-0.02264146931131958
2018-01-17,2.495531968853541,63.97,588.0,2.2331994474743686,0.10454841501895656,-1.0,-1.0,0.10454841501895656,0.0017350739682956274,-0.02090639534302395
