Date,Spread,LCPCASH,JETCNWE,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2019-07-11,-93.67094405481839,5948.0,655.75,733.4504076377661,9.213375438894118,1.0,1.0,-9.213375438894118,0.05296415444006099,1.158479613288798
2019-07-12,-76.79100100678988,5928.75,651.75,730.5962447428483,9.21448561719492,1.0,1.0,-9.21448561719492,0.07512546099792067,1.2336050742867186
2019-07-15,13.093180015101098,5976.0,647.0,727.719578167102,9.216239289002935,1.0,1.0,-9.216239289002935,0.16070637674394025,1.394311451030659
2019-07-16,137.06550546168364,6000.0,636.0,725.2694371852245,9.21845046311056,-1.0,-1.0,9.21845046311056,-0.001913876150243926,1.392397574880415
2019-07-17,108.0354964136277,5968.0,635.5,722.2932476792221,9.22102990336172,-1.0,-1.0,9.22102990336172,-0.0475760167538186,1.3448215581265963
2019-07-18,139.5954706180828,5970.5,632.25,720.5715502577314,9.222466634056017,-1.0,-1.0,9.222466634056017,0.025918745114245467,1.3707403032408418
2019-07-19,197.57137451918607,6055.25,635.0,718.6498260640028,9.224690748788683,-1.0,-1.0,9.224690748788683,0.09315041571603426,1.4638907189568762
2019-07-22,84.86574058874157,5997.0,640.75,715.988776362218,9.226897010396033,-1.0,-1.0,9.226897010396033,0.012104289976393524,1.4759950089332696
2019-07-23,30.52638953528094,5946.0,641.0,713.515198920214,9.228507972643868,-1.0,-1.0,9.228507972643868,-0.08469167022951064,1.391303338703759
2019-07-24,112.18178133569745,5978.75,635.5,710.378849145233,9.231421272485134,-1.0,-1.0,9.231421272485134,0.0023353007501412818,1.3936386394539002
2019-07-25,115.7301450158966,5986.5,635.75,707.2026264692009,9.234400086486989,-1.0,-1.0,9.234400086486989,0.01849433924936772,1.412132978703268
2019-07-26,62.16566355376017,5941.0,636.5,704.839327376838,9.23618905961703,-1.0,-1.0,9.23618905961703,0.06987897240315792,1.4820119511064258
2019-07-29,69.57340314262001,6000.0,642.0,703.0008452043166,9.237424605696853,-1.0,-1.0,9.237424605696853,0.16717650235395884,1.6491884534603847
