Date,Spread,LCPCASH,GOEUARA,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2018-01-01,-447.40108386258726,7207.0,599.0,371.0049197689644,12.778632861206322,1.0,1.0,-12.778632861206322,0.1482488855026342,0.1482488855026342
2018-01-02,-399.7929951053693,7160.75,591.75,373.12210022897955,12.776583008205103,1.0,1.0,-12.776583008205103,-0.26743830352400894,-0.11918941802137473
2018-01-03,-610.5237186330205,7101.0,603.75,376.80561029443226,12.772710092973947,1.0,1.0,-12.772710092973947,0.02745755678891867,-0.09173186123245605
2018-01-04,-551.2175533855725,7145.75,602.75,379.82971786736255,12.769751229175567,1.0,1.0,-12.769751229175567,0.11240725959065706,0.020675398358201008
2018-01-05,-542.8079259355582,7078.5,597.0,382.9494937479691,12.766009926190215,1.0,1.0,-12.766009926190215,0.0055578096069175235,0.02623320796511853
2018-01-08,-536.1099238051065,7080.0,596.75,385.92157803775484,12.762647547222633,1.0,1.0,-12.762647547222633,-0.19003107476004477,-0.16379786679492625
2018-01-09,-665.8828355541445,7059.5,605.5,389.791805660393,12.758683460865639,1.0,1.0,-12.758683460865639,0.012810856796618385,-0.15098700999830786
2018-01-10,-607.1914177023127,7112.75,605.25,393.1922202930189,12.75496310235822,1.0,1.0,-12.75496310235822,-0.038285207975727924,-0.1892722179740358
2018-01-11,-636.4071867097018,7102.75,607.0,396.96056319937014,12.749847095073644,1.0,1.0,-12.749847095073644,-0.06702660166804272,-0.2562988196420785
2018-01-12,-699.5304534805282,7074.25,610.0,401.23332925209394,12.743902382754964,1.0,1.0,-12.743902382754964,-0.010989275764969261,-0.2672880954070478
2018-01-15,-606.1651027810831,7181.25,611.25,404.4874111425639,12.740147407412815,1.0,1.0,-12.740147407412815,0.12042764777059428,-0.1468604476364535
2018-01-16,-662.4699676796727,7035.75,604.5,408.2957400314115,12.734855198808392,1.0,1.0,-12.734855198808392,0.004634931773912091,-0.14222551586254142
2018-01-17,-694.5856890604382,6994.25,604.0,412.2646982864009,12.72986041235172,1.0,1.0,-12.72986041235172,0.13712183960046198,-0.005103676262079443
2018-01-18,-574.3126665090313,7032.0,597.75,415.2417660523931,12.724906175673828,1.0,1.0,-12.724906175673828,-0.04191129322602827,-0.04701496948810771
