Date,Spread,GOLDBLN,GOLDHAR,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2018-04-23,-0.8382508374936606,1324.32,1324.3,3.1566255037321524,1.000648078862413,-1.0,-1.0,1.000648078862413,0.00035717766016128347,0.012827954845873438
2018-04-24,-1.3101006941747073,1328.4,1328.85,3.1572558850722734,1.0006472519051623,1.0,1.0,-1.0006472519051623,-0.0005403339075985376,0.012287620938274901
2018-04-25,-2.024200555199286,1320.48,1321.65,3.1583074887209706,1.000646313740551,1.0,1.0,-1.000646313740551,-0.0014087510145585152,0.010878869923716386
2018-04-26,-3.880506111531986,1317.67,1320.7,3.161729626838239,1.0006439813065284,1.0,1.0,-1.0006439813065284,0.0030518425609107436,0.01393071248462713
2018-04-27,0.1286209345764746,1322.49,1321.5,3.1584720843385625,1.000651819194418,1.0,1.0,-1.000651819194418,-0.0007549152837085004,0.013175797200918628
2018-04-30,-0.8704648387799807,1313.18,1313.2,3.1586110885869965,1.0006476278090009,-1.0,-1.0,1.0006476278090009,0.0023044384116147724,0.015480235612533401
2018-05-01,-3.8897187072775523,1304.05,1307.1,3.165550611596043,1.0006424288174414,1.0,1.0,-1.0006424288174414,0.0040298238624243005,0.0195100594749577
2018-05-02,1.367018456675396,1306.41,1304.2,3.166597514426938,1.000646359103914,1.0,1.0,-1.000646359103914,-0.0025990389543447748,0.016911020520612927
2018-05-03,-1.9923534683537127,1313.89,1315.05,3.164553572016883,1.000632944350674,-1.0,-1.0,1.000632944350674,-0.0020310597844329136,0.014879960736180014
2018-05-04,0.6772994206885414,1310.91,1309.4,3.164831793149522,1.0006359405676732,1.0,1.0,-1.0006359405676732,0.001056372570022275,0.01593633330620229
2018-05-07,2.045706228680956,1315.2,1312.3,3.162907997564024,1.0006509896908626,-1.0,-1.0,1.0006509896908626,0.0012801740827450558,0.017216507388947346
2018-05-08,0.35054181636564863,1307.8,1306.6,3.1625041383508767,1.0006501287185323,-1.0,-1.0,1.0006501287185323,4.69309260424924e-05,0.01726343831498984
2018-05-09,0.29685777735312513,1315.0,1313.85,3.162177086457313,1.000649345224072,-1.0,-1.0,1.000649345224072,0.001975323010378896,0.019238761325368735
2018-05-10,-2.2898068435281402,1317.36,1318.8,3.165353103333804,1.0006443788622446,-1.0,-1.0,1.0006443788622446,0.0010987978556498638,0.0203375591810186
2018-05-11,-3.7282294516921866,1321.46,1324.35,3.174121206208177,1.0006329364984274,1.0,1.0,-1.0006329364984274,0.0017957577885122874,0.02213331696953089
2018-05-14,-1.3447646533522857,1319.34,1319.85,3.174563974777544,1.0006324693361763,1.0,1.0,-1.0006324693361763,-0.0003667678063550145,0.021766549163175875
2018-05-15,-1.8053644598624032,1294.0,1295.0,3.174422621586028,1.0006219030578087,1.0,1.0,-1.0006219030578087,-0.0012600969221844057,0.02050645224099147
2018-05-16,-3.413267599376013,1288.62,1291.25,3.179542837381524,1.000606596398355,1.0,1.0,-1.000606596398355,0.0012086534478394217,0.021715105688830894
2018-05-17,-1.848489348702742,1288.43,1289.5,3.1812604607727217,1.0006037141129918,1.0,1.0,-1.0006037141129918,0.003616593932938275,0.02533169962176917
