Date,Spread,WHEATSF,NAFCNWE,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2018-01-01,-0.9453192560350665,4.32,593.8,0.7036677032493062,0.008867159407266869,1.0,1.0,-0.008867159407266869,0.013908301666304546,0.013908301666304546
2018-01-02,-0.8702068675099577,4.38,592.5,0.7020637529986298,0.008861108637147608,1.0,1.0,-0.008861108637147608,0.009095031447285714,0.02300333311359026
2018-01-03,-0.8483426035334531,4.42,595.0,0.7010498590026758,0.008854357316862946,1.0,1.0,-0.008854357316862946,-0.004450480513820676,0.018552852599769583
2018-01-04,-0.8200944137788078,4.4,590.0,0.7001412697825974,0.008847617650472556,1.0,1.0,-0.008847617650472556,-0.009060917166670259,0.009491935433099324
2018-01-05,-0.8384836126161046,4.36,588.0,0.6992109848321388,0.008840958524857322,1.0,1.0,-0.008840958524857322,-0.006910805232453656,0.0025811302006456677
2018-01-08,-0.8822006440680497,4.33,590.0,0.6982982379278697,0.008834238379776356,1.0,1.0,-0.008834238379776356,0.011435044470433565,0.014016174671079233
2018-01-09,-0.8946760709104984,4.38,597.5,0.6970243690080222,0.00882790974210962,1.0,1.0,-0.00882790974210962,0.004591327111037307,0.01860750178211654
2018-01-10,-0.8556659312483497,4.4,595.8,0.6961595885349284,0.008821191559664905,1.0,1.0,-0.008821191559664905,-0.0022164658965496374,0.016391035885566903
2018-01-11,-0.8287828305617628,4.39,592.0,0.6948017205300676,0.008815511538111085,1.0,1.0,-0.008815511538111085,-0.031875769525467744,-0.015484733639900841
2018-01-12,-0.955723875912807,4.25,591.0,0.6941899216127052,0.008808331431324546,1.0,1.0,-0.008808331431324546,0.0,-0.015484733639900841
2018-01-15,-0.9513705518703075,4.25,591.0,0.693741350670787,0.008800965400795783,1.0,1.0,-0.008800965400795783,-0.009411764705882342,-0.024896498345783183
2018-01-16,-0.9869966151015293,4.21,591.0,0.6933138710274732,0.008793564492557578,1.0,1.0,-0.008793564492557578,0.011921121943781064,-0.01297537640200212
2018-01-17,-0.9067998394308407,4.26,588.0,0.6925699116655357,0.00878707455685517,1.0,1.0,-0.00878707455685517,0.009270119326715115,-0.003705257075287004
2018-01-18,-0.9332989120680093,4.3,596.0,0.6916141895247632,0.00878070287259733,1.0,1.0,-0.00878070287259733,-0.006888347848402949,-0.010593604923689954
2018-01-19,-0.9063335727206923,4.27,590.0,0.6913067275165226,0.008773446733424901,1.0,1.0,-0.008773446733424901,0.006988585502369987,-0.003605019421319967
2018-01-22,-0.8937672864099637,4.3,592.5,0.6912126300972764,0.008765851960185592,1.0,1.0,-0.008765851960185592,-0.0070285255900307654,-0.010633545011350732
2018-01-23,-0.9497516139947964,4.27,596.0,0.6912307963232506,0.008757972506702677,1.0,1.0,-0.008757972506702677,0.02810304449648715,0.017469499485136417
2018-01-24,-0.8259950958379516,4.39,596.0,0.6906310257362053,0.00875166962388918,1.0,1.0,-0.00875166962388918,0.002175116261965943,0.01964461574710236
2018-01-25,-0.8721543601012156,4.4,603.0,0.6910390245336937,0.008743207894031867,1.0,1.0,-0.008743207894031867,0.01606133582266854,0.0357059515697709
2018-01-26,-0.7063097016622422,4.47,592.5,0.6909587998423335,0.008736387682130366,1.0,1.0,-0.008736387682130366,0.01797818899221828,0.053684140561989176
2018-01-29,-0.5747457696107965,4.55,587.0,0.6907205204515395,0.008730401651807149,1.0,1.0,-0.008730401651807149,0.01767165507800669,0.07135579563999586
2018-01-30,-0.43989825094405166,4.63,581.0,0.6900761518803583,0.008726158779593892,1.0,1.0,-0.008726158779593892,-0.010799136069114423,0.06055665957088144
2018-01-31,-0.48689901214471476,4.58,581.0,0.6896947269097286,0.008720996578562332,1.0,1.0,-0.008720996578562332,-9.00619268009885e-05,0.06046659764408045
2018-02-01,-0.5361970409254617,4.58,587.0,0.6892253819375759,0.008715838229855983,1.0,1.0,-0.008715838229855983,-0.008659383924081575,0.05180721371999888
2018-02-02,-0.5289431811741343,4.54,582.0,0.6891862227727658,0.008709524366278582,1.0,1.0,-0.008709524366278582,-0.013126070119844322,0.03868114360015455
2018-02-05,-0.53302333067675,4.48,576.0,0.6892084423880466,0.008703165504647135,1.0,1.0,-0.008703165504647135,0.01360439241553938,0.05228553601569393
2018-02-06,-0.34870224218264845,4.54,562.0,0.6889748898772672,0.008698758438047417,1.0,1.0,-0.008698758438047417,0.033240864409289486,0.08552640042498341
2018-02-07,-0.08464138106199037,4.69,549.0,0.6886795887047974,0.00869697883617849,1.0,1.0,-0.00869697883617849,-0.010502565895185912,0.0750238345297975
2018-02-08,-0.047105589281651206,4.64,539.0,0.6883210522625538,0.008695928737071708,1.0,1.0,-0.008695928737071708,-0.015021673102584465,0.06000216142721303
2018-02-09,-0.08114600824870077,4.57,535.0,0.6881689334003499,0.008693730856539628,1.0,1.0,-0.008693730856539628,0.03282275711159732,0.09282491853881035
2018-02-12,0.06897102164686775,4.72,535.0,0.6880196356121705,0.008693512109071275,1.0,1.0,-0.008693512109071275,-0.008474576271186418,0.08435034226762393
2018-02-13,0.029012641089188662,4.68,535.0,0.6876871556557155,0.008693434315721142,-1.0,-1.0,0.008693434315721142,0.010683760683760646,0.09503410295138458
2018-02-14,-0.021094738532863033,4.63,535.0,0.6870719061203927,0.008693635025295071,-1.0,-1.0,0.008693635025295071,-0.012926463712749421,0.08210763923863515
2018-02-15,0.02138295228921372,4.69,537.0,0.6866279216199429,0.008693886494805934,1.0,1.0,-0.008693886494805934,-0.00875544090689765,0.0733521983317375
2018-02-16,-0.13897828278628932,4.65,551.0,0.6864214245883973,0.008691430640265499,-1.0,-1.0,0.008691430640265499,0.00011041744915037799,0.07346261578088788
2018-02-19,-0.1976134344767333,4.65,558.0,0.6863879761380212,0.008687479273255794,1.0,1.0,-0.008687479273255794,-0.017064180441829214,0.05639843533905867
2018-02-20,-0.19754714930304118,4.57,549.0,0.6862876963147359,0.008684056738256906,1.0,1.0,-0.008684056738256906,-0.004423821476837494,0.05197461386222117
2018-02-21,-0.24134557916085253,4.55,552.0,0.6862286441723555,0.008679973875291399,1.0,1.0,-0.008679973875291399,0.006436160689868682,0.05841077455208985
2018-02-22,-0.2955776137587858,4.58,562.0,0.6861896503271571,0.00867540500668823,1.0,1.0,-0.00867540500668823,0.008648722803727166,0.06705949735581701
2018-02-23,-0.30081114487893146,4.62,567.5,0.6861351716709294,0.008671032854412215,1.0,1.0,-0.008671032854412215,0.0215304264971658,0.08858992385298281
2018-02-26,-0.26288358384724475,4.72,575.0,0.6861482357904787,0.008665884493647382,1.0,1.0,-0.008665884493647382,0.006355932203389925,0.09494585605637273
2018-02-27,-0.23038658665853973,4.75,575.0,0.686143187287811,0.008661541889840939,1.0,1.0,-0.008661541889840939,0.044409365190478,0.13935522124685074
2018-02-28,0.09481399351951225,4.96,561.8,0.6863832606169002,0.008659996451549462,1.0,1.0,-0.008659996451549462,0.030241935483870996,0.16959715673072173
2018-03-01,0.24493534097898273,5.11,561.8,0.6869354567328723,0.008659780453935596,-1.0,-1.0,0.008659780453935596,0.023483365949119372,0.1930805226798411
