Date,Spread,CRUDOIL,OILWTIN,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2018-07-13,-0.0341836316892028,71.01,71.03,0.3754584490568485,1.0001996850864312,-1.0,-1.0,1.0001996850864312,0.001974795914385985,-0.023329027170730442
2018-07-16,-0.17282207941259742,68.06,68.22,0.37561698992965,1.0001879519116477,1.0,1.0,-1.0001879519116477,0.003079488833199192,-0.02024953833753125
2018-07-17,0.0369577782054904,68.08,68.03,0.37562319289289153,1.0001917128001545,1.0,1.0,-1.0001917128001545,-0.001038412421814518,-0.021287950759345767
2018-07-18,-0.0332014585578122,68.76,68.78,0.37561933732044817,1.000191937460858,-1.0,-1.0,1.000191937460858,-0.0008735208894031562,-0.022161471648748925
2018-07-19,0.02639371363193277,69.46,69.42,0.3756170866764389,1.0001959995155296,1.0,1.0,-1.0001959995155296,-0.030099155781661363,-0.05226062743041029
2018-07-20,-2.052954189925046,68.26,70.31,0.3972714886622233,1.0000420166395256,-1.0,-1.0,1.0000420166395256,-0.0618199666044078,-0.11408059403481809
2018-07-23,2.226146135844388,70.14,67.9,0.42145129994593816,1.0002040333454434,0.0,0.0,-0.0,0.0,-0.11408059403481809
2018-07-24,-0.41223345118312693,70.37,70.77,0.42225595346678074,1.0001728621051735,0.0,0.0,-0.0,0.0,-0.11408059403481809
2018-07-25,0.1569011995495373,71.3,71.13,0.42237052536880293,1.0001841529657032,1.0,1.0,-1.0001841529657032,-0.030170887914365348,-0.14425148194918344
2018-07-26,-1.9820482948852174,69.61,71.59,0.4403951106730605,1.0000286114664787,-1.0,-1.0,1.0000286114664787,-0.043945482767118044,-0.18819696471630148
2018-07-27,1.1521661459424735,69.82,68.66,0.4464134335703155,1.0001140963305786,0.0,0.0,-0.0,0.0,-0.18819696471630148
2018-07-30,0.051762582690926706,71.25,71.19,0.4464153978094157,1.0001157103147784,0.0,0.0,-0.0,0.0,-0.18819696471630148
2018-07-31,0.0019199283032804715,69.89,69.88,0.4464149514624064,1.0001156278147785,-1.0,-1.0,1.0001156278147785,0.01645043001046527,-0.17174653470583623
2018-08-01,-1.1422903034517304,67.66,68.8,0.4521448381743236,1.0000332892943566,-1.0,-1.0,1.0000332892943566,-0.017033410500465366,-0.1887799452063016
2018-08-02,0.007592631656564208,68.96,68.95,0.45214514276119744,1.0000349146967864,0.0,0.0,-0.0,0.0,-0.1887799452063016
2018-08-03,-0.0024517924937583757,68.49,68.49,0.4521445378301098,1.0000357978171084,-1.0,-1.0,1.0000357978171084,2.717895298048542e-07,-0.1887796734167718
2018-08-06,-0.0023964549490216314,69.01,69.01,0.45214138786742264,1.0000347261983629,1.0,1.0,-1.0000347261983629,-8.051284941393635e-08,-0.1887797539296212
2018-08-07,-0.002674330654684809,69.17,69.17,0.45211833419975356,1.0000386631582288,1.0,1.0,-1.0000386631582288,0.0002904003485038123,-0.1884893535811174
2018-08-08,0.01726061249271993,66.94,66.92,0.4521202768901471,1.0000409352586264,1.0,1.0,-1.0000409352586264,-0.000298216622364469,-0.18878757020348186
2018-08-09,-0.0021382014945316996,66.81,66.81,0.4519661350120516,1.0000320042133592,-1.0,-1.0,1.0000320042133592,-0.00029897315715169195,-0.18908654336063355
2018-08-10,0.017612432780197196,67.63,67.61,0.45196437657295635,1.0000353138177756,1.0,1.0,-1.0000353138177756,-0.0010332809425196016,-0.19011982430315316
2018-08-13,-0.052235087420882564,67.2,67.25,0.45197090324746725,1.0000332355006822,-1.0,-1.0,1.0000332355006822,-0.0007418279826928286,-0.19086165228584598
2018-08-14,-0.0021576538913024024,67.04,67.04,0.45196764643619286,1.0000321845747508,1.0,1.0,-1.0000321845747508,-0.0008940423088862164,-0.19175569459473218
2018-08-15,-0.061306205191755225,65.01,65.07,0.4518409331889446,1.0000200738465002,1.0,1.0,-1.0000200738465002,0.0012357137451462366,-0.19051998084958593
2018-08-16,0.018539972953959705,65.46,65.44,0.4518435787246173,1.0000223109267425,1.0,1.0,-1.0000223109267425,-0.0006135149892531524,-0.1911334958388391
2018-08-17,-0.02137923186442947,65.91,65.93,0.4518440030272851,1.000020919639988,-1.0,-1.0,1.000020919639988,0.0007561676515660479,-0.19037732818727304
2018-08-20,-0.07116968729721407,66.43,66.5,0.4518590771581701,1.000017589282665,1.0,1.0,-1.000017589282665,-0.02121257338754649,-0.21158990157481952
2018-08-21,-1.4744897602474083,65.84,67.32,0.461193827157724,0.9999181485479414,1.0,1.0,-0.9999181485479414,0.0425530716857818,-0.16903682988903773
2018-08-22,1.309354117898451,69.16,67.85,0.4686724500997285,1.000009519264577,0.0,0.0,-0.0,-0.0,-0.16903682988903773
2018-08-23,-0.2991108713561772,68.83,69.13,0.469021101706453,0.9999871383097958,0.0,0.0,-0.0,0.0,-0.16903682988903773
2018-08-24,0.11046054567987085,69.82,69.71,0.46907644519650465,0.9999933934058259,1.0,1.0,-0.9999933934058259,-0.017336129342570093,-0.18637295923160782
2018-08-27,-1.0941759481424924,68.87,69.97,0.47401988849757865,0.9999167635864299,-1.0,-1.0,0.9999167635864299,-0.015498791634366498,-0.2018717508659743
2018-08-28,-0.00413193538972223,68.53,68.54,0.47400780904736256,0.9999143848174747,1.0,1.0,-0.9999143848174747,-0.0023308928454562235,-0.20420264371143054
2018-08-29,-0.16319296188517285,69.51,69.68,0.47409731433992464,0.9999023100155737,1.0,1.0,-0.9999023100155737,0.002466496768499367,-0.20173614694293118
2018-08-30,0.006912272178453804,70.25,70.25,0.4740942239131194,0.9999016046664988,1.0,1.0,-0.9999016046664988,-0.0032743294942829335,-0.20501047643721412
2018-08-31,-0.22200711308336452,69.8,70.03,0.47427145199366383,0.9998858648162695,-1.0,-1.0,0.9998858648162695,0.0,-0.20501047643721412
2018-09-03,-0.22080606373775424,69.8,70.03,0.4744365487390474,0.9998687143186885,1.0,1.0,-0.9998687143186885,0.004001186477691451,-0.20100928995952266
2018-09-04,0.0588696799889874,69.87,69.82,0.4744605905208442,0.999872963620897,1.0,1.0,-0.999872963620897,-0.00027672005425957713,-0.20128601001378224
2018-09-05,0.03866875939043268,68.72,68.69,0.474463879039964,0.9998737988151051,-1.0,-1.0,0.9998737988151051,0.0010146503219775633,-0.20027135969180468
2018-09-06,-0.03147767327938311,67.77,67.81,0.47445766001786577,0.9998743205025716,-1.0,-1.0,0.9998743205025716,-0.0008845028905307755,-0.20115586258233545
2018-09-07,0.02974198463461164,67.75,67.73,0.47373302397740713,0.9998561644081705,1.0,1.0,-0.9998561644081705,-0.00044240215246693073,-0.20159826473480238
2018-09-10,-0.0003586762855576353,67.54,67.55,0.47373386723963806,0.9998572712995643,-1.0,-1.0,0.9998572712995643,0.0004366908773125698,-0.2011615738574898
2018-09-11,-0.03008089619038401,69.25,69.29,0.4737326463921104,0.9998568465318282,1.0,1.0,-0.9998568465318282,0.0005888517412841899,-0.2005727221162056
2018-09-12,0.010336078475987165,70.37,70.37,0.47369483942794377,0.9998531181117524,1.0,1.0,-0.9998531181117524,-0.0001458004965495946,-0.2007185226127552
2018-09-13,0.0011005404118407114,68.59,68.6,0.473295534289177,0.9998381845421015,-1.0,-1.0,0.9998381845421015,-0.00029329165325047736,-0.20101181426600567
2018-09-14,0.021093710999238624,68.99,68.98,0.4733009273567223,0.9998391749637685,-1.0,-1.0,0.9998391749637685,-0.0005797665537710394,-0.2015915808197767
2018-09-17,0.06061563532361447,68.91,68.86,0.47332104459555485,0.9998458374190587,-1.0,-1.0,0.9998458374190587,0.001024199024727607,-0.2005673817950491
2018-09-18,-0.009157277698307098,69.85,69.87,0.47331983068030536,0.9998448157678301,-1.0,-1.0,0.9998448157678301,-0.0008666295875850889,-0.2014340113826342
2018-09-19,0.05077429177680415,71.12,71.08,0.47333997359909696,0.9998484202057287,1.0,1.0,-0.9998484202057287,-0.006887971946809268,-0.20832198332944346
2018-09-20,-0.4371975899640148,70.32,70.77,0.4740727178566911,0.9998190983462486,-1.0,-1.0,0.9998190983462486,-0.02218708975166559,-0.23050907308110904
2018-09-21,1.1173664811036303,71.91,70.8,0.479461898716674,0.9998959536567285,1.0,1.0,-0.9998959536567285,-0.016240309569070105,-0.24674938265017915
2018-09-24,-0.01229828479840478,73.21,73.23,0.4794608184894621,0.9998948284145623,-1.0,-1.0,0.9998948284145623,0.006555603013991943,-0.2401937796361872
2018-09-25,-0.4899027419150883,72.9,73.4,0.4803847028068537,0.9998624351759549,1.0,1.0,-0.9998624351759549,-0.0021700873506864983,-0.2423638669868737
2018-09-26,-0.6368622665124235,71.57,72.22,0.48196269614756515,0.999818087323628,1.0,1.0,-0.999818087323628,0.00823854656848215,-0.23412532041839157
2018-09-27,-0.04664012066983503,72.12,72.18,0.4819650161327752,0.9998149088482936,1.0,1.0,-0.9998149088482936,0.0020936753832403038,-0.23203164503515128
2018-09-28,0.10304988622272049,73.25,73.16,0.4820261902704102,0.9998216253933472,1.0,1.0,-0.9998216253933472,-0.0022160273845047047,-0.234247672419656
2018-10-01,-0.05625586993888021,75.3,75.37,0.48203104188759566,0.9998176445527248,-1.0,-1.0,0.9998176445527248,-0.0018561315153895783,-0.23610380393504557
2018-10-02,0.08336733336764723,75.23,75.16,0.4820678437485502,0.9998221483053801,1.0,1.0,-0.9998221483053801,-0.0008099711300632514,-0.23691377506510883
2018-10-03,0.023530084368914572,76.41,76.4,0.4820713116356584,0.999822904654857,-1.0,-1.0,0.999822904654857,0.0015716608795535124,-0.2353421141855553
2018-10-04,-0.09624501448043077,74.33,74.44,0.4820907525659611,0.9998152205061852,-1.0,-1.0,0.9998152205061852,-0.0025521431832484765,-0.2378942573688038
2018-10-05,0.09323742620206588,74.34,74.26,0.4821433225703803,0.9998217421734169,1.0,1.0,-0.9998217421734169,-0.000807223412176949,-0.23870148078098075
2018-10-08,0.03310080712057584,74.29,74.27,0.4821528768663221,0.9998236056668834,-1.0,-1.0,0.9998236056668834,0.0001354574668463171,-0.23856602331413443
