Date,Spread,CRUDOIL,EIANYGR,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2020-10-27,0.37818089729695004,39.39,1.168,4.559579304891658,33.40053005368412,-1.0,-1.0,33.40053005368412,-1.5746476248324863,21.056871730621495
2020-10-28,0.10042020554398334,37.21,1.111,4.559544372212493,33.40196201121154,-1.0,-1.0,33.40196201121154,-0.8992210556609899,20.157650674960504
2020-10-29,-0.08454017208563158,35.99,1.08,4.559539935342497,33.4023520111904,-1.0,-1.0,33.4023520111904,-0.0512977189591122,20.10635295600139
2020-10-30,-0.39958744682997605,35.61,1.078,4.5601092674118755,33.404069987782904,1.0,1.0,-33.404069987782904,-0.18826590594808096,19.91808705005331
2020-11-02,0.3848282887385537,36.63,1.085,4.559800982395116,33.405688213144195,1.0,1.0,-33.405688213144195,-1.2083410860353179,18.70974596401799
2020-11-03,-0.10002433834680602,37.48,1.125,4.55936141715242,33.40446607853049,-1.0,-1.0,33.40446607853049,0.257174051612316,18.966920015630308
2020-11-04,1.0563136209056978,38.97,1.135,4.557834527575147,33.40412896836502,1.0,1.0,-33.40412896836502,-0.30354738161789313,18.663372634012415
2020-11-05,0.35924145667191,38.61,1.145,4.557725262804895,33.406776020373876,-1.0,-1.0,33.406776020373876,-0.657494323630872,18.005878310381544
2020-11-06,-0.48991740257699945,36.96,1.121,4.558266556970288,33.40759803976539,-1.0,-1.0,33.40759803976539,1.8518769847078285,19.857755295089373
2020-11-09,0.486823706871256,40.11,1.186,4.557685798438053,33.40908625053014,1.0,1.0,-33.40908625053014,-1.071935809131173,18.7858194859582
2020-11-10,0.2512242119240966,41.18,1.225,4.557472402794044,33.41124554128645,-1.0,-1.0,33.41124554128645,-0.35675384698481544,18.429065638973384
2020-11-11,0.7733232515890904,41.27,1.212,4.556711868038652,33.41309962740174,-1.0,-1.0,33.41309962740174,-0.7914922343294939,17.63757340464389
2020-11-12,1.4089626302753615,40.94,1.183,4.5558623958881315,33.41592338945447,-1.0,-1.0,33.41592338945447,-0.6819874039758596,16.95558600066803
2020-11-13,1.2398013631119582,39.95,1.158,4.5556093878980475,33.42849623220039,-1.0,-1.0,33.42849623220039,0.7202655961658991,17.67585159683393
2020-11-16,1.564370940655749,41.16,1.184,4.555535261151655,33.442254273094804,-1.0,-1.0,33.442254273094804,0.16728429421939944,17.84313589105333
2020-11-17,1.43758435820709,41.25,1.19,4.55538121130053,33.455811463691525,-1.0,-1.0,33.455811463691525,-0.29059581825867487,17.552540072794653
2020-11-18,2.164121490335205,41.64,1.18,4.551844224536223,33.454134330224406,-1.0,-1.0,33.454134330224406,0.3137818038517401,17.866321876646392
2020-11-19,1.7220394313502325,41.56,1.191,4.546376290247803,33.449169243198796,-1.0,-1.0,33.449169243198796,0.299069137621442,18.165391014267833
