Date,Spread,CRUDOIL,OILWTXI,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2018-08-21,-0.0872972334635449,65.84,65.84,0.5198645710896959,1.0013258996577088,1.0,1.0,-1.0013258996577088,0.019704156784499067,0.03883803725281973
2018-08-22,1.2041788751932927,69.16,67.86,0.5245436344111349,1.0014120413322531,1.0,1.0,-1.0014120413322531,-0.004328833351624344,0.034509203901195384
2018-08-23,0.8997893550527181,68.83,67.83,0.5269597449087731,1.001477379403616,-1.0,-1.0,1.001477379403616,-0.0012428404720442807,0.033266363429151104
2018-08-24,0.9934748195813512,69.82,68.72,0.529936578426577,1.0015501335916566,-1.0,-1.0,1.0015501335916566,0.015792570749261072,0.04905893417841217
2018-08-27,-0.10650723499806247,68.87,68.87,0.5300929677517349,1.0015464968055476,-1.0,-1.0,1.0015464968055476,-7.63480345413424e-06,0.049051299374958036
2018-08-28,-0.1057218290205526,68.53,68.53,0.5302469524607345,1.0015427087264053,1.0,1.0,-1.0015427087264053,-2.2061207527757434e-05,0.04902923816743028
2018-08-29,-0.10696321601513148,69.51,69.51,0.5304023431454858,1.0015388176667406,1.0,1.0,-1.0015388176667406,-1.63821762823764e-05,0.04901285599114791
2018-08-30,-0.10782049876091548,70.25,70.25,0.5305583355992077,1.0015348113702622,1.0,1.0,-1.0015348113702622,9.831531909153084e-06,0.04902268752305706
2018-08-31,-0.106869450563849,69.8,69.8,0.5307124671090749,1.0015310809536369,1.0,1.0,-1.0015310809536369,0.0,0.04902268752305706
2018-09-03,-0.10661652637641339,69.8,69.8,0.5308656330062793,1.001527457397943,1.0,1.0,-1.001527457397943,-1.5318340667051702e-06,0.049021155688990355
2018-09-04,-0.10647043474045859,69.87,69.87,0.5310177769931004,1.0015238361920775,1.0,1.0,-1.0015238361920775,2.5081030784159658e-05,0.04904623671977451
2018-09-05,-0.10448701752574152,68.72,68.72,0.5311660813374062,1.0015204746438553,1.0,1.0,-1.0015204746438553,2.101936716621816e-05,0.04906725608694073
2018-09-06,-0.10282457428445468,67.77,67.77,0.5313109275122866,1.0015172579944585,1.0,1.0,-1.0015172579944585,4.4776685685648946e-07,0.049067703853797585
2018-09-07,-0.10258973571100682,67.75,67.75,0.531455113084179,1.0015142396414909,1.0,1.0,-1.0015142396414909,4.69358412860622e-06,0.04907239743792619
2018-09-10,-0.10207012320660169,67.54,67.54,0.5315977126078931,1.0015112544152591,1.0,1.0,-1.0015112544152591,-3.8262437816006384e-05,0.04903413500011018
2018-09-11,-0.10569830155651516,69.25,69.25,0.5311082453986719,1.001526329264354,1.0,1.0,-1.001526329264354,-2.4685758499298077e-05,0.04900944924161088
2018-09-12,-0.10821655114561679,70.37,70.37,0.5308541461017993,1.00153782224166,1.0,1.0,-1.00153782224166,3.8899013644375785e-05,0.04904834825525525
2018-09-13,-0.10527190460577174,68.59,68.59,0.5310040184715547,1.001534799600609,1.0,1.0,-1.001534799600609,-8.950573556547499e-06,0.0490393976816987
2018-09-14,-0.10567522855346567,68.99,68.99,0.5311514990284654,1.0015317470438247,1.0,1.0,-1.0015317470438247,1.7761960212491368e-06,0.04904117387771995
2018-09-17,-0.10533814078038972,68.91,68.91,0.5312975053622554,1.0015286335913567,1.0,1.0,-1.0015286335913567,-2.0852061759907975e-05,0.04902032181596004
2018-09-18,-0.10654615086870933,69.85,69.85,0.5314446338572054,1.0015253564906044,1.0,1.0,-1.0015253564906044,-2.7733754374623804e-05,0.04899258806158542
2018-09-19,-0.10822084310790103,71.12,71.12,0.5315931868852991,1.0015216653980301,1.0,1.0,-1.0015216653980301,1.7116596153320465e-05,0.04900970465773874
2018-09-20,-0.1067552055550749,70.32,70.32,0.5317386848690636,1.0015181343224555,1.0,1.0,-1.0015181343224555,0.016059466129289993,0.06506917078702873
2018-09-21,1.0173522938316353,71.91,70.78,0.5348882315900608,1.001591518877767,1.0,1.0,-1.001591518877767,-0.00031784808858906916,0.06475132269843967
2018-09-24,1.0099295435310864,73.21,72.08,0.5379419850117354,1.001665794346128,-1.0,-1.0,1.001665794346128,0.007013711062897842,0.07176503376133751
2018-09-25,0.4968143525596105,72.9,72.28,0.538499841227649,1.0017042839988985,-1.0,-1.0,1.0017042839988985,0.00840451816410144,0.08016955192543895
2018-09-26,-0.12166494438631048,71.57,71.57,0.5386773854692235,1.0016999433336078,-1.0,-1.0,1.0016999433336078,1.3063697547635762e-05,0.08018261562298659
2018-09-27,-0.12229494374682304,72.12,72.12,0.5388556143168148,1.0016957146942156,1.0,1.0,-1.0016957146942156,-2.656901836472006e-05,0.08015604660462188
2018-09-28,-0.12388810924808524,73.25,73.25,0.5390356519088108,1.0016913052457077,1.0,1.0,-1.0016913052457077,-4.7333457388405026e-05,0.08010871314723347
