Date,Spread,EIAEBRT,OILBREN,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2018-01-01,0.7904855921472063,66.73,66.61,0.6626920925711938,0.9899341601539228,-1.0,-1.0,0.9899341601539228,-0.0026651665661291575,-0.0026651665661291575
2018-01-02,0.9604195031735827,66.65,66.35,0.6628637129952614,0.9900464279853268,-1.0,-1.0,0.9900464279853268,-0.0008446911451284733,-0.003509857711257631
2018-01-03,1.012537581822329,67.85,67.5,0.6631174336591485,0.9901846284174469,-1.0,-1.0,0.9901846284174469,-0.004901615246930009,-0.00841147295818764
2018-01-04,1.3360964890854916,68.73,68.05,0.6642268891442492,0.990358611475599,-1.0,-1.0,0.990358611475599,0.003635678556389353,-0.004775794401798287
2018-01-05,1.0705107133231166,68.01,67.58,0.6640855535773315,0.9905221853607117,-1.0,-1.0,0.9905221853607117,-0.0055916155888903266,-0.010367409990688614
2018-01-08,1.4398235192839763,68.48,67.67,0.6656905395974463,0.9906927217484265,-1.0,-1.0,0.9906927217484265,0.0009007560066615419,-0.009466653984027072
2018-01-09,1.3769516171700502,69.08,68.33,0.666580134212875,0.990824650707302,-1.0,-1.0,0.990824650707302,0.002917589435241383,-0.006549064548785689
2018-01-10,1.1771721882675905,69.79,69.24,0.6668635824030711,0.9909420538956156,-1.0,-1.0,0.9909420538956156,0.00213706421687063,-0.004412000331915059
2018-01-11,1.0241943436125496,70.36,69.96,0.6671581733247113,0.9910778395710041,-1.0,-1.0,0.9910778395710041,3.33150474040346e-05,-0.004378685284511024
2018-01-12,1.008024431868634,69.64,69.24,0.6673323533015462,0.9912185957269118,-1.0,-1.0,0.9912185957269118,0.0021179608825222223,-0.002260724401988802
2018-01-15,0.8592557149421225,70.31,70.06,0.6668353829868789,0.9913038008144144,-1.0,-1.0,0.9913038008144144,0.004311575947781676,0.002050851545792874
2018-01-16,0.5496595153502852,69.4,69.45,0.6665631683421778,0.9913655937314574,-1.0,-1.0,0.9913655937314574,0.00031377730771786627,0.00236462885351074
2018-01-17,0.524093787449857,69.19,69.26,0.6662445138620061,0.9914222670018789,-1.0,-1.0,0.9914222670018789,-0.0026167621372953395,-0.0002521332837845994
2018-01-18,0.698643343669147,69.48,69.37,0.6662073608533139,0.9915144393301262,-1.0,-1.0,0.9915144393301262,0.0020925789688344184,0.001840445685049819
