Date,Spread,EIAEBRT,FUELOIL,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2020-12-30,1.7510601230179361,50.74,1.3998,5.230245481023127,34.99709949777259,-1.0,-1.0,34.99709949777259,-0.049462391885525515,0.20058229206104103
2020-12-31,2.2631841970576048,51.22,1.3981999999999999,5.230656650228363,35.01417236657302,-1.0,-1.0,35.01417236657302,0.0,0.20058229206104103
2021-01-01,2.238588031441182,51.22,1.3981999999999999,5.230995801450176,35.03176367369391,-1.0,-1.0,35.03176367369391,-0.8402825609489399,-0.6397002688878989
2021-01-04,2.574879459076868,50.37,1.364,5.230928761982029,35.04041095375596,-1.0,-1.0,35.04041095375596,1.7197509402864732,1.0800506713985745
2021-01-05,2.9254916286173085,53.16,1.4331,5.231661717024769,35.05303773036263,-1.0,-1.0,35.05303773036263,0.05889368242296521,1.1389443538215396
2021-01-06,3.446703654647152,53.8,1.436,5.232605103546234,35.06496959982789,-1.0,-1.0,35.06496959982789,0.08732349483342798,1.2262678486549676
2021-01-07,3.2100959788743495,53.7,1.4394999999999998,5.232841499229804,35.07461203273752,-1.0,-1.0,35.07461203273752,1.0578834033371984,2.2841512519921663
2021-01-08,3.4284254363090056,55.51,1.4843000000000002,5.2341086283200156,35.088307325804074,-1.0,-1.0,35.088307325804074,-0.2786975891137615,2.0054536628784048
2021-01-11,3.167142612213752,54.84,1.472,5.235407954813787,35.10384333409392,-1.0,-1.0,35.10384333409392,0.6087920527560094,2.6142457156344143
2021-01-12,3.3543765917337964,55.98,1.4984,5.237091871189165,35.12121156451295,-1.0,-1.0,35.12121156451295,-0.015221922359451811,2.5990237932749625
2021-01-13,2.9173397659843303,55.52,1.4974,5.2367749401351915,35.129330996404214,-1.0,-1.0,35.129330996404214,0.7792485271918506,3.378272320466813
2021-01-14,1.9714561414262306,55.76,1.5308000000000002,5.236483266731574,35.13753844955171,-1.0,-1.0,35.13753844955171,-0.8435474621958142,2.534724858270999
2021-01-15,2.3205878292116253,54.8,1.4933,5.2355350017731475,35.14324795472334,-1.0,-1.0,35.14324795472334,0.010766423357664201,2.5454912816286632
2021-01-18,1.7217522661196867,54.21,1.4933,5.234975460960335,35.14916475850821,-1.0,-1.0,35.14916475850821,0.08198408125263199,2.6274753628812952
2021-01-19,2.7311669762446087,55.38,1.4977,5.23318688167072,35.153123471827065,-1.0,-1.0,35.153123471827065,-0.059040208699213476,2.568435154182082
2021-01-20,3.0715397929528407,55.66,1.4953999999999998,5.234313265067127,35.16681838106671,-1.0,-1.0,35.16681838106671,0.06313566658850378,2.6315708207705857
2021-01-21,2.9714067626046443,55.68,1.4981,5.2355106812770105,35.18362808717399,-1.0,-1.0,35.18362808717399,-0.5225108138508107,2.109060006919775
2021-01-22,3.274360157850275,55.22,1.4755,5.236951729963729,35.205448893357996,-1.0,-1.0,35.205448893357996,0.40402215521561635,2.513082162135391
2021-01-25,2.8572957553015854,55.44,1.4926,5.237293288945745,35.22893222879433,-1.0,-1.0,35.22893222879433,-0.133647127851329,2.3794350342840622
2021-01-26,2.8480522820155016,55.26,1.4868000000000001,5.237743385931674,35.25151178234093,-1.0,-1.0,35.25151178234093,0.07930918067040355,2.4587442149544656
2021-01-27,2.513331714985185,55.07,1.49,5.237704236309629,35.27293173490927,-1.0,-1.0,35.27293173490927,-0.13840690986150422,2.3203373050929614
2021-01-28,2.4930890933235332,54.87,1.484,5.23766903705882,35.2944143575987,-1.0,-1.0,35.2944143575987,0.05728944464990712,2.3776267497428685
2021-01-29,2.7419385327784482,55.25,1.4867,5.237718753529122,35.318531961540025,-1.0,-1.0,35.318531961540025,1.1215028778681262,3.4991296276109947
2021-02-01,2.183900539329642,56.42,1.5348,5.23781133633997,35.33756806142192,-1.0,-1.0,35.33756806142192,0.4092838020557519,3.9084134296667465
2021-02-02,2.6921712087269825,57.62,1.5534999999999999,5.238517799336331,35.35746945044932,-1.0,-1.0,35.35746945044932,0.4016002088991668,4.310013638565914
2021-02-03,3.0010834940376085,58.61,1.5719,5.239637585157482,35.376879258198606,-1.0,-1.0,35.376879258198606,0.3087683931138612,4.618782031679775
2021-02-04,2.84900060817408,58.98,1.5859,5.240494254645267,35.393782326644754,-1.0,-1.0,35.393782326644754,0.07186659212296453,4.69064862380274
2021-02-05,3.2035383411582004,59.48,1.5895,5.240403878300634,35.405134733464486,-1.0,-1.0,35.405134733464486,0.8147791402748977,5.505427764077638
