Date,Spread,LCPCASH,LTICASH,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2018-03-16,186.6731965586696,6864.25,21079.25,335.2017592784834,0.316784363933315,-1.0,-1.0,0.316784363933315,0.0029989157467666845,0.03373877270451456
2018-03-19,213.39594168775875,6819.5,20845.0,335.93323827559675,0.3169155221066079,-1.0,-1.0,0.3169155221066079,0.012303872944306255,0.04604264564882081
2018-03-20,149.28320422757406,6724.5,20738.0,336.74037963752147,0.3170612786079866,-1.0,-1.0,0.3170612786079866,-0.0003540864751405016,0.04568855917368031
2018-03-21,78.66515246075141,6760.5,21065.0,337.7937539434855,0.31720079978823873,-1.0,-1.0,0.31720079978823873,0.013716421071646424,0.059404980245326734
2018-03-22,15.730491631245059,6652.5,20915.0,339.3136830157265,0.31732103793300287,-1.0,-1.0,0.31732103793300287,0.004161564642056918,0.06356654488738366
2018-03-23,1.0658061931644625,6617.75,20845.0,341.0883812922247,0.31742308437547784,-1.0,-1.0,0.31742308437547784,0.01047304949972274,0.07403959438710639
2018-03-26,-86.7436752370595,6556.0,20920.0,343.26067046632613,0.3175307684147734,-1.0,-1.0,0.3175307684147734,-0.007323409226939749,0.06671618516016664
2018-03-27,-46.58693561736254,6606.5,20945.0,345.1166168710339,0.31764559253365304,1.0,1.0,-0.31764559253365304,0.0037835701235052984,0.07049975528367194
2018-03-28,-28.813693864703055,6633.5,20965.0,346.55330706874764,0.3177826708258861,1.0,1.0,-0.3177826708258861,0.0037136797097593786,0.07421343499343132
2018-03-29,-52.11271531775401,6679.25,21175.0,348.4368412969977,0.3178919818331879,1.0,1.0,-0.3178919818331879,0.0,0.07421343499343132
2018-03-30,-54.10955909978475,6679.25,21175.0,350.3827666975611,0.3179862837827525,1.0,1.0,-0.3179862837827525,0.0,0.07421343499343132
2018-04-02,-56.14149826889843,6679.25,21175.0,352.33409110991664,0.318082243129582,1.0,1.0,-0.318082243129582,0.011269882194218345,0.08548331718764966
2018-04-03,0.07793924771340244,6762.25,21252.0,353.8970715461022,0.3181899143963997,1.0,1.0,-0.3181899143963997,-0.00602184472347768,0.07946147246417198
2018-04-04,22.949145244639112,6690.75,20948.0,355.3073584924229,0.3183025040459882,-1.0,-1.0,0.3183025040459882,-0.011400096975975205,0.06806137548819678
2018-04-05,67.11896586339935,6780.75,21083.0,356.25510716877494,0.3184381271231134,-1.0,-1.0,0.3184381271231134,0.007663889134785413,0.0757252646229822
2018-04-06,10.469435160494868,6729.5,21090.0,357.15286482476654,0.3185884573181368,-1.0,-1.0,0.3185884573181368,-0.007063618616038134,0.06866164600694406
2018-04-09,26.692234228270536,6790.25,21220.0,358.1311775363225,0.3187350502248694,-1.0,-1.0,0.3187350502248694,-0.021793885515411324,0.04686776049153274
2018-04-10,234.59755580372348,6908.25,20926.0,358.22514205920976,0.31891677550397957,-1.0,-1.0,0.31891677550397957,0.0013412494682692605,0.048209009959802
