Date,Spread,CRUDOIL,ETHANYH,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2019-03-19,-0.12306989850629435,59.03,1.38,10.266567060205361,42.86454340471471,1.0,1.0,-42.86454340471471,0.02032864645095711,-5.65353868276945
2019-03-20,1.0577834420314431,60.23,1.38,10.260589904182842,42.87841779562939,1.0,1.0,-42.87841779562939,-0.006641208699983414,-5.660179891469434
2019-03-21,0.6419796064945018,59.83,1.38,10.25379866931007,42.8898698503663,-1.0,-1.0,42.8898698503663,0.015711181681430708,-5.644468709788003
2019-03-22,-0.3111147837903303,58.89,1.38,10.248387123343216,42.899358538978504,-1.0,-1.0,42.899358538978504,6.841065870282578,1.1965971604945747
2019-03-25,-9.838158075174398,58.77,1.6,10.27181762408622,42.880098796984,1.0,1.0,-42.880098796984,0.019908116385911168,1.2165052768804858
2019-03-26,-8.643444709838803,59.94,1.6,10.29030637002499,42.86465294364925,1.0,1.0,-42.86465294364925,-0.008842175508842143,1.2076631013716437
2019-03-27,-9.139999816128196,59.41,1.6,10.307117262919906,42.84374988508012,1.0,1.0,-42.84374988508012,-0.001851540144756747,1.205811561226887
2019-03-28,-9.206660574366538,59.3,1.6,10.317119858315005,42.81666285897908,1.0,1.0,-42.81666285897908,1.0845818328572774,2.2903933940841643
2019-03-29,-6.618488303416001,60.14,1.56,10.311257339306955,42.7939027586,1.0,1.0,-42.7939027586,0.024110409045560388,2.3145038031297247
2019-04-01,-5.138381808624757,61.59,1.56,10.299365340835639,42.77460372347741,1.0,1.0,-42.77460372347741,0.016074037993180523,2.3305778411229054
2019-04-02,-4.128779204629197,62.58,1.56,10.288945483522346,42.76203795168538,1.0,1.0,-42.76203795168538,-0.0019175455417065335,2.328660295581199
2019-04-03,-4.233903386179286,62.46,1.56,10.282891199723865,42.75250217062775,1.0,1.0,-42.75250217062775,-0.0057636887608069065,2.322896606820392
2019-04-04,-4.576065628479533,62.1,1.56,10.276611844929821,42.741067710563804,1.0,1.0,-42.741067710563804,3.577536640936679,5.900433247757071
2019-04-05,1.958543359015124,63.08,1.43,10.253921332398965,42.742277371318096,1.0,1.0,-42.742277371318096,0.020925808497146647,5.921359056254218
2019-04-08,3.2710990414224526,64.4,1.43,10.232379964022682,42.74748318781647,-1.0,-1.0,42.74748318781647,0.006521739130434967,5.927880795384653
2019-04-09,2.8384766617715513,63.98,1.43,10.215988126634347,42.75631002673318,-1.0,-1.0,42.75631002673318,-0.009846827133479286,5.918033968251174
