Date,Spread,EIAEBRT,EIALALS,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2018-04-27,4.112538042269634,75.33,2.214,2.7463916295349553,32.166875319661415,-1.0,-1.0,32.166875319661415,0.5297352687603242,2.952621974966416
2018-04-30,3.4931565491848033,75.92,2.251,2.752337751723656,32.17540801902052,-1.0,-1.0,32.17540801902052,-0.814948271758821,2.137673703207595
2018-05-01,4.266373867549973,74.85,2.193,2.761857399267278,32.18587602938897,-1.0,-1.0,32.18587602938897,0.15493546988914664,2.292609173096742
2018-05-02,2.2623995171213096,73.14,2.202,2.760835068770738,32.18782946543083,-1.0,-1.0,32.18782946543083,0.08346681058467034,2.3760759836814125
2018-05-03,2.3741172002730906,73.45,2.208,2.7602532173106304,32.19016431147052,-1.0,-1.0,32.19016431147052,0.4488250054118487,2.824900989093261
2018-05-04,2.6372119593989254,74.75,2.24,2.7603892391954776,32.193208946696906,-1.0,-1.0,32.193208946696906,0.3736711752741556,3.1985721643674165
2018-05-07,1.7965734695899442,74.75,2.266,2.7595810337351585,32.194804294090936,-1.0,-1.0,32.194804294090936,-0.06314586783787113,3.1354262965295456
2018-05-08,1.3604209157967802,74.16,2.261,2.7599527668368085,32.19795625130615,-1.0,-1.0,32.19795625130615,0.7510864086342878,3.8865127051638333
2018-05-09,2.980283689071257,77.6,2.317,2.7638729928298607,32.205315628368034,-1.0,-1.0,32.205315628368034,-0.0832685849356892,3.803244120228144
2018-05-10,3.1451549780843635,77.59,2.311,2.7683335533894518,32.21326050277613,-1.0,-1.0,32.21326050277613,0.002835416935172086,3.806079537163316
2018-05-11,2.9095806648167866,77.37,2.311,2.7718970277732025,32.21999971232506,-1.0,-1.0,32.21999971232506,0.11513822183201072,3.9212177589953265
2018-05-14,3.404134805362048,78.17,2.32,2.7764740966066546,32.226666032171536,-1.0,-1.0,32.226666032171536,-0.1348675651300083,3.786350193865318
2018-05-15,4.436322418858651,78.94,2.311,2.786342942570535,32.238718122518975,-1.0,-1.0,32.238718122518975,0.3303535552124061,4.1167037490777245
2018-05-16,2.931333653735109,78.19,2.334,2.789406595714744,32.244501433703896,-1.0,-1.0,32.244501433703896,0.18292709038635613,4.299630839464081
2018-05-17,4.3214250811323325,80.09,2.349,2.7987085241397747,32.25567259211054,-1.0,-1.0,32.25567259211054,-0.2120872633885933,4.087543576075488
