Date,Spread,WHEATSF,EIANYGR,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2018-02-22,-0.06560676120713715,4.58,1.804,0.5662558720684242,2.5751700450150428,1.0,1.0,-2.5751700450150428,-0.06264026814604698,0.26308924074265705
2018-02-23,-0.15164614616291772,4.62,1.854,0.5659461506809408,2.5737034229573448,1.0,1.0,-2.5737034229573448,0.002210367965732051,0.2652996087083891
2018-02-26,-0.08545926334699239,4.72,1.868,0.5657613072913409,2.572515665603315,1.0,1.0,-2.572515665603315,0.039407525337479585,0.3047071340458687
2018-02-27,0.00818905822140703,4.75,1.844,0.5655230478949376,2.571480987949345,1.0,1.0,-2.571480987949345,0.11393614963328819,0.4186432836791569
2018-02-28,0.3468715551653787,4.96,1.794,0.5661963025191731,2.5714205378119406,-1.0,-1.0,2.5714205378119406,0.1603929204408715,0.5790362041200283
2018-03-01,0.15575769481838364,5.11,1.927,0.5663615715886867,2.570961237769391,-1.0,-1.0,2.570961237769391,-0.18998513329483643,0.38905107082519186
2018-03-02,0.4466709966659579,4.99,1.767,0.5674888438185585,2.571210528202627,-1.0,-1.0,2.571210528202627,0.02125237395727976,0.4103034447824716
2018-03-05,0.4669211311857735,5.08,1.794,0.5685761996541544,2.5713929034638943,-1.0,-1.0,2.5713929034638943,0.002503678496388169,0.41280712327885977
2018-03-06,0.4492281188351228,5.06,1.793,0.5695884282167171,2.57154036874784,-1.0,-1.0,2.57154036874784,0.02119705687531694,0.4340041801541767
2018-03-07,0.34638820218126476,4.96,1.794,0.5703953758143322,2.571689965339317,-1.0,-1.0,2.571689965339317,-0.06423904655072094,0.36976513360345575
2018-03-08,0.4735892915456841,4.98,1.752,0.5716985224363543,2.5721522308529203,-1.0,-1.0,2.5721522308529203,0.021548444704577067,0.3913135783080328
2018-03-09,0.3705383708542733,4.88,1.753,0.5726012956515444,2.5724253446353265,-1.0,-1.0,2.5724253446353265,-0.004984063778679165,0.38632951452935366
2018-03-12,0.3851179088052783,4.89,1.751,0.5735527793708136,2.57274819599927,-1.0,-1.0,2.57274819599927,0.014057168000259797,0.40038668252961346
2018-03-13,0.33436381666062687,4.85,1.755,0.5743386631987615,2.5730120702788453,-1.0,-1.0,2.5730120702788453,0.08874818512837265,0.4891348676579861
2018-03-14,0.045148778824034785,4.64,1.786,0.5744615536718903,2.5727050510503724,-1.0,-1.0,2.5727050510503724,-0.02513627267712637,0.4639985949808597
2018-03-15,0.1699509225930953,4.77,1.788,0.5747964118605021,2.5727343833371945,-1.0,-1.0,2.5727343833371945,0.05627905090792551,0.5202776458887852
2018-03-16,0.013457350576954852,4.68,1.814,0.5748461194730023,2.572515242239826,-1.0,-1.0,2.572515242239826,0.012216319335769093,0.5324939652245543
2018-03-19,-0.11211556525542754,4.51,1.797,0.5747565495325931,2.5721288621343503,-1.0,-1.0,2.5721288621343503,0.04201388119391912,0.5745078464184734
2018-03-20,-0.1685454913305211,4.54,1.831,0.5746791883427207,2.5715704485693727,1.0,1.0,-2.5715704485693727,-0.09269451098065486,0.48181333543781857
2018-03-21,-0.33624821363736146,4.54,1.897,0.5747643459552255,2.570505120525757,1.0,1.0,-2.570505120525757,0.015245582054843611,0.4970589174926622
2018-03-22,-0.29433741625857124,4.56,1.889,0.5746541065737473,2.5697921737737275,1.0,1.0,-2.5697921737737275,-0.02032424600240866,0.4767346714902535
