Date,Spread,EIAEBRT,BFO1MEU,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2019-02-26,-0.19448718911270646,64.51,65.37,0.8620762400126828,0.9898192930872374,1.0,1.0,-0.9898192930872374,-0.0017457893332385628,0.15924628175879782
2019-02-27,-0.3203205580859816,65.55,66.55,0.8616500644540908,0.9897869355084296,1.0,1.0,-0.9897869355084296,-0.0001990032938098442,0.15904727846498798
2019-02-28,-0.32333939603800843,65.03,66.03,0.8611271535123376,0.9897522246863245,1.0,1.0,-0.9897522246863245,-0.008156883565873196,0.1508903948991148
2019-03-01,-0.8402573850590684,63.71,65.22,0.8614256838198834,0.9897310239966126,1.0,1.0,-0.9897310239966126,0.0012907398093939242,0.15218113470850872
2019-03-04,-0.7733062296534285,64.44,65.89,0.8608437790529807,0.98972994733121,1.0,1.0,-0.98972994733121,-0.0017517774336989792,0.15042935727480974
2019-03-05,-0.8836249571158987,64.24,65.8,0.8606624615000389,0.989720744029117,1.0,1.0,-0.989720744029117,0.005857537148309796,0.15628689442311955
2019-03-06,-0.5058339404403824,64.51,65.69,0.8595521038879889,0.9897371584783131,1.0,1.0,-0.9897371584783131,0.00013475292378413353,0.15642164734690367
2019-03-07,-0.5030544073304526,64.82,66.0,0.859014569628801,0.9897432485959159,1.0,1.0,-0.9897432485959159,0.016108146346651604,0.17252979369355528
2019-03-08,0.5413288547505744,65.66,65.79,0.8605843645040805,0.9897958830407267,1.0,1.0,-0.9897958830407267,-0.0177135064781108,0.1548162872154445
2019-03-11,-0.6190887047211788,65.06,66.36,0.8600461313895416,0.9897391305714465,-1.0,-1.0,0.9897391305714465,0.0009209807777689066,0.1557372679932134
2019-03-12,-0.6847921081382822,65.33,66.7,0.860016154677786,0.9897270181130177,1.0,1.0,-0.9897270181130177,0.001152622897185763,0.15688989089039918
2019-03-13,-0.6196036135867473,65.89,67.2,0.8596022696575439,0.9897262442498028,1.0,1.0,-0.9897262442498028,0.0017502224120714174,0.1586401133024706
2019-03-14,-0.5091967531459147,66.18,67.38,0.8581870324594914,0.9897476514269208,1.0,1.0,-0.9897476514269208,0.0058461283842606284,0.16448624168673123
2019-03-15,-0.11774962686180857,66.11,66.91,0.8557563668034027,0.9898034617674759,1.0,1.0,-0.9898034617674759,0.00017995358319627605,0.1646661952699275
2019-03-18,-0.11319141993699589,66.65,67.45,0.855698278415251,0.9898175154920238,1.0,1.0,-0.9898175154920238,0.006027813774955041,0.17069400904488255
2019-03-19,0.2852490542811239,67.13,67.53,0.8564304210894891,0.989852672082317,1.0,1.0,-0.989852672082317,0.006300737638786396,0.17699474668366894
2019-03-20,0.6995292825377533,68.35,68.34,0.8587457227686158,0.9899103119324296,-1.0,-1.0,0.9899103119324296,-0.0020206361509528007,0.17497411053271614
2019-03-21,0.8402197832384388,68.3,68.15,0.8558403731655131,0.9898720501358996,-1.0,-1.0,0.9898720501358996,0.006043898031086275,0.1810180085638024
