Date,Spread,EIAEBRT,EIAGCLS,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2020-10-09,1.3111530295065705,41.63,1.155,4.641738372690841,34.908092615145826,-1.0,-1.0,34.908092615145826,-1.1817943857657784,-0.4939368563957022
2020-10-12,1.5486933463156376,40.5,1.115,4.6346586731427015,34.9339073127214,-1.0,-1.0,34.9339073127214,0.2612369864471505,-0.23269986994855169
2020-10-13,2.0475445510932175,41.34,1.124,4.630626319961571,34.9577005773192,-1.0,-1.0,34.9577005773192,0.7972609505180841,0.5645610805695325
2020-10-14,1.5776610766858568,41.81,1.15,4.6226419676951584,34.9846425420123,-1.0,-1.0,34.9846425420123,-0.11690216858305613,0.44765891198647634
2020-10-15,1.493852120339099,41.61,1.146,4.619184293615253,35.00536464193796,-1.0,-1.0,35.00536464193796,-0.3906051894610874,0.05705372252538893
2020-10-16,1.658061539351806,41.34,1.133,4.617178960216255,35.02377622299046,-1.0,-1.0,35.02377622299046,-0.7716011139291923,-0.7145473914038034
2020-10-19,2.464809470955103,41.29,1.108,4.617333765743849,35.040785676033295,-1.0,-1.0,35.040785676033295,0.5296371331765815,-0.18491025822722196
2020-10-20,2.1751426148917616,41.62,1.125,4.615126535894753,35.06209545342954,-1.0,-1.0,35.06209545342954,-1.1787248032056747,-1.3636350614328967
2020-10-21,1.9967298812434677,40.09,1.086,4.615306468099171,35.07667598412204,-1.0,-1.0,35.07667598412204,0.7131929821042444,-0.6504420793286523
2020-10-22,2.3610779234653236,41.28,1.109,4.61561640556416,35.093707913917655,-1.0,-1.0,35.093707913917655,0.108741524333582,-0.5417005549950703
2020-10-23,1.6690540798236597,40.71,1.112,4.6152270504990165,35.10876431670534,-1.0,-1.0,35.10876431670534,-0.843503051707334,-1.3852036067024043
2020-10-26,0.9912586583392908,39.06,1.084,4.615142042219704,35.11876507533276,-1.0,-1.0,35.11876507533276,0.9550244612620491,-0.4301791454403552
2020-10-27,0.5845571753771281,39.72,1.114,4.614606616174757,35.130559088530404,-1.0,-1.0,35.130559088530404,-1.1199861069422237,-1.5501652523825789
2020-10-28,0.016607990946596374,37.86,1.077,4.614808797240907,35.13778273821114,-1.0,-1.0,35.13778273821114,-0.42242151881857215,-1.9725867712011511
2020-10-29,-0.7949383466339981,36.56,1.063,4.615885687193837,35.14105206644779,-1.0,-1.0,35.14105206644779,-0.5887597120955296,-2.561346483296681
2020-10-30,-0.3988525221568864,36.33,1.045,4.61643241476271,35.14722729393004,1.0,1.0,-35.14722729393004,-1.1036342326654358,-3.6649807159621166
2020-11-02,-0.14989786293362073,37.78,1.079,4.616802185368537,35.15282471078186,1.0,1.0,-35.15282471078186,-0.5761004742916829,-4.2410811902538
2020-11-03,-0.3990195299381867,38.17,1.097,4.617380022397518,35.15863220596006,1.0,1.0,-35.15863220596006,-1.3385815991827648,-5.579662789436565
2020-11-04,-0.40150534347199596,39.68,1.14,4.617568066980954,35.159215213571926,1.0,1.0,-35.159215213571926,-0.1286580061257197,-5.708320795562285
2020-11-05,-0.7475943345112981,39.47,1.144,4.617139746005772,35.15523980289449,1.0,1.0,-35.15523980289449,0.24135432228739973,-5.466966473274885
2020-11-06,-1.8139540282383848,38.08,1.135,4.61864682739401,35.14885817465937,1.0,1.0,-35.14885817465937,-1.473565412129151,-6.940531885404036
2020-11-09,-0.7185012530865222,40.93,1.185,4.618559854909811,35.146414559566686,1.0,1.0,-35.146414559566686,-1.1244672579612498,-8.064999143365286
2020-11-10,-0.7680874184371405,42.25,1.224,4.618965135522621,35.14549625689309,1.0,1.0,-35.14549625689309,0.26433992635811093,-7.800659217007175
2020-11-11,-0.20536693468813638,42.5,1.215,4.619159601072547,35.148450152006696,1.0,1.0,-35.148450152006696,0.5416465455869388,-7.259012671420237
2020-11-12,0.11477951873733616,42.16,1.196,4.6193055914974845,35.154866623129315,1.0,1.0,-35.154866623129315,0.6606376700623663,-6.598375001357871
2020-11-13,0.26949137383343214,41.51,1.173,4.619047033004634,35.158148871412244,-1.0,-1.0,35.158148871412244,0.5705482320542412,-6.02782676930363
2020-11-16,0.7588120820486779,42.71,1.193,4.618924206858489,35.16444921873539,-1.0,-1.0,35.16444921873539,0.32821247112201085,-5.699614298181619
2020-11-17,0.19528471168601413,42.54,1.204,4.618976037336168,35.170029309230884,-1.0,-1.0,35.170029309230884,0.7215769986732703,-4.978037299508349
2020-11-18,-0.31489693381530515,42.91,1.229,4.618957090734217,35.17078676469919,-1.0,-1.0,35.17078676469919,0.39644879827810425,-4.581588501230245
2020-11-19,-0.6280299304839119,43.09,1.243,4.619388111528342,35.171383693068314,1.0,1.0,-35.171383693068314,-0.18182386625423042,-4.7634123674844755
2020-11-20,-0.17038740711802092,43.79,1.25,4.617931983959037,35.168309925694416,1.0,1.0,-35.168309925694416,-0.7038689670299151,-5.46728133451439
2020-11-23,0.13023815957212292,45.0,1.276,4.61556109961861,35.16439015707514,1.0,1.0,-35.16439015707514,-1.6172757475462058,-7.084557082060596
2020-11-24,-0.3401802288992357,46.63,1.336,4.612715839686595,35.1573205306132,-1.0,-1.0,35.1573205306132,0.590884840268168,-6.493672241792428
2020-11-25,-0.4673420604414744,47.3,1.359,4.609551241794438,35.148890405034194,1.0,1.0,-35.148890405034194,-0.020718816067653245,-6.514391057860081
2020-11-26,-1.434380762580112,46.32,1.359,4.608806030056942,35.1393530261811,1.0,1.0,-35.1393530261811,0.012089810017271274,-6.5023012478428095
2020-11-27,-0.8638189045075677,46.88,1.359,4.607196684369834,35.13158123951992,1.0,1.0,-35.13158123951992,0.5937209802759102,-5.908580267566899
2020-11-30,-0.08527038108174168,46.84,1.336,4.603508262537312,35.123705375061185,1.0,1.0,-35.123705375061185,0.7401819238364684,-5.168398343730431
2020-12-01,1.0917664976061445,47.03,1.308,4.600483653289957,35.120973625683376,1.0,1.0,-35.120973625683376,-0.5474963144406751,-5.715894658171106
2020-12-02,1.1264521548451825,47.8,1.329,4.5979219514455885,35.11929860433018,-1.0,-1.0,35.11929860433018,0.4637317283131327,-5.252162929857973
2020-12-03,1.0653216157814782,48.37,1.347,4.595793540157853,35.11854371508428,-1.0,-1.0,35.11854371508428,0.2456247321935836,-5.00653819766439
2020-12-04,1.447892802511035,49.1,1.357,4.592409211859398,35.1157753850324,-1.0,-1.0,35.1157753850324,-0.016305204384971687,-5.022843402049362
2020-12-07,1.0197373448269076,48.63,1.356,4.5884527200368606,35.11081316753178,-1.0,-1.0,35.11081316753178,0.22871804855751915,-4.794125353491842
2020-12-08,0.91589135544789,48.84,1.365,4.5862500640560295,35.10923710223598,-1.0,-1.0,35.10923710223598,-0.15371206631865417,-4.947837419810496
2020-12-09,1.0849489199938631,48.81,1.359,4.586320834633003,35.11777121413255,-1.0,-1.0,35.11777121413255,0.9508127080520625,-3.997024711758434
2020-12-10,1.266360363399997,50.33,1.397,4.585358650711923,35.12071555948461,-1.0,-1.0,35.12071555948461,-0.018782060080049772,-4.015806771838484
2020-12-11,0.9787767197262198,50.01,1.396,4.584260376508752,35.12265277956575,-1.0,-1.0,35.12265277956575,0.5483098944843412,-3.467496877354143
2020-12-14,0.4623334447744085,50.27,1.418,4.583671721357044,35.12529376250042,-1.0,-1.0,35.12529376250042,0.06436674331421265,-3.4031301340399303
2020-12-15,0.8503126930284637,50.77,1.421,4.583247142757886,35.129969955644995,-1.0,-1.0,35.129969955644995,0.3449262781049851,-3.058203855934945
2020-12-16,0.41211035798225737,50.83,1.435,4.582993946337756,35.13441786900191,-1.0,-1.0,35.13441786900191,0.38446347241370904,-2.6737403835212357
2020-12-17,0.21450233821129672,51.2,1.451,4.582790578835315,35.13817895367933,-1.0,-1.0,35.13817895367933,0.3443025746848285,-2.329437808836407
2020-12-18,0.6493241588444931,52.17,1.466,4.5825651468687125,35.14370794076092,-1.0,-1.0,35.14370794076092,-0.881053351976354,-3.210491160812761
2020-12-21,0.4122621967418212,50.61,1.428,4.582566745967326,35.15247745326203,-1.0,-1.0,35.15247745326203,-0.4532910092706809,-3.663782170083442
2020-12-22,0.34597086520551557,49.88,1.409,4.582116529252261,35.15545006018061,-1.0,-1.0,35.15545006018061,0.8248654238740956,-2.838916746209346
2020-12-23,0.33331794012364213,51.05,1.443,4.5776431994371665,35.146695814190124,-1.0,-1.0,35.146695814190124,-0.0697399851075219,-2.908656731316868
2020-12-24,0.2695982722157524,50.88,1.44,4.576555054288524,35.146112310961286,-1.0,-1.0,35.146112310961286,0.0,-2.908656731316868
2020-12-25,0.27539040254586666,50.88,1.44,4.574439094348957,35.14208999823204,-1.0,-1.0,35.14208999823204,-0.3172549791507048,-3.2259117104675727
