Date,Spread,WHEATSF,EIAGCGR,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2019-07-18,-0.15275608116956452,4.93,1.78,0.9466438981829759,2.855480944477283,1.0,1.0,-2.855480944477283,0.013774588173334172,1.3421911148555152
2019-07-19,-0.09022014718530791,4.99,1.779,0.94732760822559,2.855660566152506,1.0,1.0,-2.855660566152506,-0.01719848555437814,1.3249926293011371
2019-07-22,-0.268730080661455,4.76,1.761,0.9485145992098948,2.8556104944130922,1.0,1.0,-2.8556104944130922,-0.1198134435574757,1.2051791857436616
2019-07-23,-0.4975146210613417,4.73,1.831,0.9505165438588974,2.8550052545392366,1.0,1.0,-2.8550052545392366,0.04553490594997127,1.2507140916936328
2019-07-24,-0.3578732912262437,4.82,1.814,0.9519177714404592,2.854395419639605,1.0,1.0,-2.854395419639605,-0.025747818091948708,1.224966273601684
2019-07-25,-0.3916957577753317,4.84,1.833,0.9534782707292048,2.8541711717268585,1.0,1.0,-2.8541711717268585,-0.0030841396096453655,1.2218821339920387
2019-07-26,-0.41425381442666165,4.81,1.831,0.95500081967484,2.8532243661532832,1.0,1.0,-2.8532243661532832,0.01611130202770216,1.2379934360197409
2019-07-29,-0.34006067374918914,4.88,1.83,0.9562640053120651,2.8524921714476443,1.0,1.0,-2.8524921714476443,-0.06217472649525912,1.1758187095244819
2019-07-30,-0.49065895799054093,4.82,1.862,0.9581357463458272,2.852126185816617,1.0,1.0,-2.852126185816617,-0.04065969162717867,1.1351590178973032
2019-07-31,-0.6269289056465928,4.72,1.875,0.9605081141013672,2.851695416344849,1.0,1.0,-2.851695416344849,0.21010398874279723,1.3452630066401006
2019-08-01,-0.185707993621274,4.8,1.748,0.9613225779706255,2.8522356942913465,1.0,1.0,-2.8522356942913465,0.005142579457287532,1.350405586097388
2019-08-02,-0.08255562992439724,4.95,1.764,0.96188605219572,2.8529226927009055,1.0,1.0,-2.8529226927009055,0.11644011670380178,1.4668457028011899
