Date,Spread,EIAEBRT,EIANYLS,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2018-01-01,-0.8797057646616082,66.73,2.068,1.6929099498495521,32.69328131753463,1.0,1.0,-32.69328131753463,0.1568924412271949,0.1568924412271949
2018-01-02,-0.6244070221564755,66.65,2.058,1.6910131908711294,32.68921624011491,1.0,1.0,-32.68921624011491,-0.49028263185998733,-0.3333901906327924
2018-01-03,-0.4632415042797078,67.85,2.09,1.6891071955255148,32.68576148530129,1.0,1.0,-32.68576148530129,0.24755659121172036,-0.08583359942107205
2018-01-04,0.9083846181092241,68.73,2.075,1.6855975453337897,32.68511584669435,1.0,1.0,-32.68511584669435,0.22580217110887948,0.13996857168780744
2018-01-05,0.6823441091179916,68.01,2.06,1.6806837110215276,32.683328102369906,-1.0,-1.0,32.683328102369906,-0.19729906746228287,-0.05733049577447544
2018-01-08,1.541271289581843,68.48,2.048,1.679748548668599,32.68492612813387,-1.0,-1.0,32.68492612813387,0.278508176305061,0.22117768053058554
2018-01-09,1.5544915594980324,69.08,2.066,1.673386230696944,32.6841763990813,-1.0,-1.0,32.6841763990813,0.19538241626101405,0.41656009679159955
2018-01-10,1.8407144190644686,69.79,2.079,1.6661095027366002,32.68363904806904,-1.0,-1.0,32.68363904806904,-0.14965497414723059,0.26690512264436894
2018-01-11,2.699068489399963,70.36,2.07,1.666155834688433,32.68644034328504,-1.0,-1.0,32.68644034328504,0.23130079944790827,0.4982059220922772
2018-01-12,1.5241984996561797,69.64,2.084,1.6581760230705351,32.68512548001143,-1.0,-1.0,32.68512548001143,-0.00962090752441136,0.48858501456786585
2018-01-15,2.1966238364702804,70.31,2.084,1.647026918481212,32.68396169075322,-1.0,-1.0,32.68396169075322,-0.33208954273582525,0.1564954718320406
2018-01-16,2.008264609566524,69.4,2.062,1.6366412147305256,32.68270387508898,-1.0,-1.0,32.68270387508898,-0.012824065279859988,0.1436714065521806
2018-01-17,1.8345805779020168,69.19,2.061,1.6255724403788376,32.68094101023677,-1.0,-1.0,32.68094101023677,-0.02004819410984325,0.12362321244233736
2018-01-18,2.1589368026783546,69.48,2.06,1.616522201264625,32.68012776569012,-1.0,-1.0,32.68012776569012,-0.0026229191969731093,0.12100029324536425
2018-01-19,1.2732308397150973,68.56,2.059,1.6123552239084522,32.67934393408689,-1.0,-1.0,32.67934393408689,-0.20154274628797444,-0.0805424530426102
2018-01-22,2.4225191158874537,69.32,2.047,1.610619621319362,32.68074298197974,-1.0,-1.0,32.68074298197974,0.6155737248866979,0.5350312718440877
2018-01-23,1.6380658188509045,69.81,2.086,1.6070308066466596,32.68069711464482,-1.0,-1.0,32.68069711464482,0.18656771562313895,0.7215989874672266
2018-01-24,1.3474557575174657,69.91,2.098,1.6025847417020367,32.679954357713314,-1.0,-1.0,32.679954357713314,-0.0011590851785011954,0.7204399022887255
2018-01-25,2.4777158706949933,71.08,2.099,1.605406028407131,32.68331783196999,-1.0,-1.0,32.68331783196999,0.45005383812145355,1.170493740410179
2018-01-26,0.5679621387185847,70.08,2.127,1.6002348279703906,32.68078883934246,-1.0,-1.0,32.68078883934246,-0.5293005089153241,0.6411932314948549
2018-01-29,0.0785140024505182,68.41,2.091,1.5985002374665525,32.67885509208487,-1.0,-1.0,32.67885509208487,-0.3971276122096438,0.24406561928521103
2018-01-30,0.30309717103693856,67.78,2.065,1.5952457119743644,32.676466260999064,-1.0,-1.0,32.676466260999064,0.06329581842324485,0.30736143770845586
2018-01-31,0.1792036379102342,67.78,2.069,1.590676650784229,32.67317368878191,-1.0,-1.0,32.67317368878191,0.33532099257359554,0.6426824302820514
2018-02-01,0.289176482926905,68.6,2.091,1.5831265319629775,32.668973465840786,-1.0,-1.0,32.668973465840786,-0.5144389721862785,0.12824345809577287
2018-02-02,0.25828843050301487,67.45,2.057,1.5761140050455396,32.66490596475303,-1.0,-1.0,32.66490596475303,-0.559353868825147,-0.43111041072937417
2018-02-05,1.6407832620118654,67.69,2.022,1.5742666342892861,32.66529017704656,-1.0,-1.0,32.66529017704656,-0.422296562938968,-0.8534069736683422
2018-02-06,1.581752034250755,66.75,1.995,1.5730463667484131,32.66578845400964,-1.0,-1.0,32.66578845400964,-0.9345509841998142,-1.7879579578681564
2018-02-07,2.4644229357991847,65.74,1.937,1.5720768986345945,32.66679249571544,-1.0,-1.0,32.66679249571544,-0.4496967707828008,-2.2376547286509574
2018-02-08,1.902459375746517,64.26,1.909,1.564103156919145,32.66502913790125,-1.0,-1.0,32.66502913790125,-0.8536791047800842,-3.0913338334310416
2018-02-09,2.3456391263356338,63.04,1.858,1.5654835979051946,32.66650208485703,-1.0,-1.0,32.66650208485703,-0.21523515225508394,-3.3065689856861256
2018-02-12,1.9301007034815214,62.2,1.845,1.5640366922776787,32.666612084833865,-1.0,-1.0,32.666612084833865,-0.08434733971525508,-3.3909163254013808
2018-02-13,1.8295141433024114,61.94,1.84,1.5666239112441813,32.6687423134226,-1.0,-1.0,32.6687423134226,0.7400489231647907,-2.65086740223659
2018-02-14,0.8077671047933848,62.29,1.882,1.5659416108919046,32.66856158087493,-1.0,-1.0,32.66856158087493,0.14707510589761577,-2.5037922963389745
2018-02-15,1.0779608784259693,62.86,1.891,1.5674982784660803,32.67162301511054,-1.0,-1.0,32.67162301511054,0.33991801240572517,-2.163874283933249
2018-02-16,1.8360982898065643,64.3,1.912,1.5580202202555027,32.66940466014301,-1.0,-1.0,32.66940466014301,-0.010108864696734221,-2.1739831486299837
