Date,Spread,CRUDOIL,EIAGCGR,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2018-06-27,6.126984725554607,72.76,2.036,4.4906168524308905,32.727414181947644,-1.0,-1.0,32.727414181947644,0.0065911359133602465,7.253390003271369
2018-06-28,6.7369819619923845,73.45,2.037,4.495255871906566,32.75062250270379,-1.0,-1.0,32.75062250270379,1.2284657469049751,8.481855750176344
2018-06-29,4.876721723163598,74.15,2.114,4.49383819799182,32.76881659263785,-1.0,-1.0,32.76881659263785,-1.1442314922350025,7.337624257941341
2018-07-02,7.045349715822226,73.94,2.04,4.502264757300976,32.79149523734205,-1.0,-1.0,32.79149523734205,0.12588920310845889,7.4635134610498
2018-07-03,6.9349066958614,74.14,2.048,4.508021128694958,32.81498696491143,-1.0,-1.0,32.81498696491143,0.0,7.4635134610498
2018-07-04,6.886778050450019,74.14,2.048,4.512817635403036,32.8384872800537,-1.0,-1.0,32.8384872800537,0.3689427823993115,7.832456243449111
2018-07-05,4.9248361513100605,72.94,2.07,4.508955270718381,32.85756707666181,-1.0,-1.0,32.85756707666181,-0.392747812189763,7.439708431259348
2018-07-06,6.524774078305384,73.8,2.046,4.509343478141793,32.88134209271487,-1.0,-1.0,32.88134209271487,0.8510874643460962,8.290795895605443
2018-07-09,4.790732384074545,73.85,2.099,4.503164105860247,32.90103268981679,-1.0,-1.0,32.90103268981679,0.012153972563540137,8.302949868168984
2018-07-10,4.977728947710091,74.11,2.1,4.499169159009746,32.920129072519,-1.0,-1.0,32.920129072519,-1.3291795809939257,6.973770287175058
2018-07-11,4.113075871096925,70.38,2.012,4.494373665416965,32.9358469825562,-1.0,-1.0,32.9358469825562,0.13166807117693577,7.105438358351994
2018-07-12,3.7698747498626233,70.33,2.02,4.48949691099358,32.95055705452345,-1.0,-1.0,32.95055705452345,0.3328865914334358,7.43832494978543
2018-07-13,3.7291830041991716,71.01,2.041,4.485746436963335,32.964633510926426,-1.0,-1.0,32.964633510926426,-1.3959148515795752,6.042410098205854
2018-07-16,3.6848945066983134,68.06,1.952,4.480442224304287,32.97904994533898,-1.0,-1.0,32.97904994533898,0.23623621296900588,6.27864631117486
2018-07-17,3.215933469109274,68.08,1.966,4.473584069942402,32.99291278275215,-1.0,-1.0,32.99291278275215,0.35921016452350696,6.637856475698367
2018-07-18,3.1403935046242566,68.76,1.988,4.464437437920984,33.007850349786594,-1.0,-1.0,33.007850349786594,-0.026783883859080433,6.611072591839287
2018-07-19,3.837653753885263,69.46,1.987,4.452888581386842,33.025841090143295,-1.0,-1.0,33.025841090143295,0.3663162221916436,6.977388814030931
2018-07-20,1.9216178152031063,68.26,2.008,4.4443325467504975,33.037042920715585,-1.0,-1.0,33.037042920715585,0.21924890714406645,7.196637721174998
2018-07-23,3.2725989823614015,70.14,2.023,4.432255255957416,33.05358428949016,-1.0,-1.0,33.05358428949016,0.06207642344193186,7.258714144616929
2018-07-24,3.337346134488655,70.37,2.027,4.421377492769143,33.06988350543234,-1.0,-1.0,33.06988350543234,0.5577984096865418,7.816512554303471
