Date,Spread,CRUDOIL,CRUDWTC,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2021-01-29,0.004927787448458787,52.18,52.16,0.5477424469663414,1.000288961130206,-1.0,-1.0,1.000288961130206,0.0007844918635549064,0.13391770998954522
2021-02-01,-0.03525340472273086,53.53,53.55,0.5477618334729801,1.0002848441591548,-1.0,-1.0,1.0002848441591548,0.00018478855144777803,0.134102498540993
2021-02-02,-0.04522305011809635,54.74,54.77,0.5477866966711373,1.000277945045063,1.0,1.0,-1.000277945045063,0.0005524836880258649,0.13465498222901884
2021-02-03,-0.015313794524104196,55.67,55.67,0.5477966650704084,1.0002750816332693,1.0,1.0,-1.0002750816332693,0.00035669045357824593,0.1350116726825971
2021-02-04,0.004038881126781746,56.21,56.19,0.5477858087894684,1.0002840562177118,1.0,1.0,-1.0002840562177118,0.00017095789981677774,0.13518263058241387
2021-02-05,0.013489892783624668,56.83,56.8,0.5477838120022755,1.0002906709016968,-1.0,-1.0,1.0002906709016968,0.000720426578480024,0.1359030571608939
2021-02-08,-0.02589044850200395,57.94,57.95,0.5477642160695516,1.0002742096376531,-1.0,-1.0,1.0002742096376531,6.838782968367554e-07,0.13590374103919073
2021-02-09,-0.026276865060872012,58.33,58.34,0.5477642431250815,1.0002790000867479,1.0,1.0,-1.0002790000867479,-0.0005149604002850977,0.13538878063890564
2021-02-10,-0.05622466007063309,58.65,58.69,0.5477887519349447,1.0002764467553353,1.0,1.0,-1.0002764467553353,0.000678764096828521,0.13606754473573415
2021-02-11,-0.016058509312919966,58.22,58.22,0.5477981787428774,1.0002758246189096,1.0,1.0,-1.0002758246189096,-0.0008648755670251189,0.13520266916870904
2021-02-12,-0.06550072103905791,59.45,59.5,0.547827779874214,1.0002605163199842,1.0,1.0,-1.0002605163199842,0.0,0.13520266916870904
2021-02-15,-0.06556729306008435,59.45,59.5,0.5478333648593464,1.0002616351774805,1.0,1.0,-1.0002616351774805,0.00017375920717453523,0.13537642837588357
2021-02-16,-0.05576297380562778,60.03,60.07,0.5478379352820991,1.0002624100849946,1.0,1.0,-1.0002624100849946,0.0011729423210955006,0.13654937069697906
2021-02-17,0.013548224754003968,61.12,61.09,0.5478329159978764,1.000269303899918,1.0,1.0,-1.000269303899918,0.0009902610482835708,0.13753963174526262
2021-02-18,0.07236949740688203,60.49,60.4,0.547799059049843,1.0002918957382967,-1.0,-1.0,1.0002918957382967,-0.02119823885008315,0.11634139289517947
2021-02-19,1.3412142872742834,60.49,59.12,0.5539302474603975,1.0004869031245893,-1.0,-1.0,1.0004869031245893,0.023646256452859907,0.13998764934803937
2021-02-22,-0.029904598028153373,61.67,61.67,0.5539472428596471,1.0004849132159583,-1.0,-1.0,1.0004849132159583,0.00048638156101563643,0.140474030909055
2021-02-23,-0.058623908349012765,61.63,61.66,0.5539320353556388,1.0004642216728676,1.0,1.0,-1.0004642216728676,5.669653633660898e-07,0.14047459787441835
2021-02-24,-0.05847288556145713,63.18,63.21,0.5539564316877121,1.0004504490675756,1.0,1.0,-1.0004504490675756,0.002057698038886262,0.1425322959133046
2021-02-25,0.07009997272748336,63.53,63.43,0.5538953143857299,1.000471386209562,1.0,1.0,-1.000471386209562,0.02965294349793443,0.17218523941123903
2021-02-26,1.9328325956337835,63.53,61.55,0.5664598048779825,1.000766326634707,-1.0,-1.0,1.000766326634707,0.028910915372905993,0.20109615478414503
2021-03-01,0.06268698502618264,60.65,60.54,0.5664299101550985,1.0007815166001621,0.0,0.0,-0.0,0.0,0.20109615478414503
2021-03-02,0.013168125266716402,59.76,59.7,0.5664325752336163,1.0007844535131203,-1.0,-1.0,1.0007844535131203,0.0018895270292135294,0.20298568181335855
2021-03-03,-0.09841731156296873,61.28,61.33,0.5662043187474942,1.000789455593722,-1.0,-1.0,1.000789455593722,-0.0011433680695349668,0.20184231374382358
2021-03-04,-0.0302153846579003,63.83,63.81,0.5662193822535299,1.0007869516479846,1.0,1.0,-1.0007869516479846,-0.00019580804284311665,0.20164650570098047
2021-03-05,-0.04197291705696671,66.09,66.08,0.5661707390927645,1.0007865150886346,1.0,1.0,-1.0007865150886346,0.0003175195055841566,0.20196402520656462
2021-03-08,-0.020541530407399478,65.06,65.03,0.5661572235662831,1.0007772032970537,1.0,1.0,-1.0007772032970537,-0.0005955844411823213,0.2013684407653823
2021-03-09,-0.051049881855050216,64.01,64.02,0.5354466723161183,1.0006412040277266,1.0,1.0,-1.0006412040277266,-3.257430932985042e-06,0.2013651833344493
2021-03-10,-0.060781213301012826,64.44,64.45,0.5008781687792452,1.0007879164204967,1.0,1.0,-1.0007879164204967,0.0002949528684932333,0.20166013620294254
2021-03-11,-0.04401136747698331,66.03,66.02,0.4983078258878707,1.0008181061417296,1.0,1.0,-1.0008181061417296,0.0001577611798256988,0.20181789738276823
2021-03-12,-0.04008295763665615,65.61,65.59,0.47667260691764646,1.0009160383844589,1.0,1.0,-1.0009160383844589,0.00015669693209560904,0.20197459431486384
2021-03-15,-0.029632748364761596,65.39,65.36,0.4766959516352312,1.0009123737509908,1.0,1.0,-1.0009123737509908,-0.000600385900262547,0.2013742084146013
2021-03-16,-0.06848510633557225,64.81,64.82,0.47676316614378556,1.0009022694590495,1.0,1.0,-1.0009022694590495,0.0010831958241077667,0.20245740423870906
2021-03-17,0.01327305488760544,64.61,64.55,0.2937537113098613,1.0007238876082478,1.0,1.0,-1.0007238876082478,0.00011776402093581495,0.2025751682596449
2021-03-18,0.01636122721299671,60.01,59.95,0.29373553475217384,1.0007279194793495,-1.0,-1.0,1.0007279194793495,0.024705209688564343,0.22728037794820924
2021-03-19,-1.45312184973249,60.01,61.43,0.3083528571852393,1.0005391803635437,-1.0,-1.0,1.0005391803635437,-0.024181460610468976,0.20309891733774027
2021-03-22,-0.0027176388902674375,61.51,61.48,0.30826165342812917,1.000532167190798,0.0,0.0,-0.0,0.0,0.20309891733774027
2021-03-23,-0.07036404351517689,57.71,57.75,0.30831832866305536,1.000525784303293,1.0,1.0,-1.000525784303293,0.000876165886629178,0.20397508322436944
2021-03-24,-0.022439037852684862,61.13,61.12,0.3081987509063882,1.0005307434203647,1.0,1.0,-1.0005307434203647,0.0005208616633170099,0.20449594488768646
2021-03-25,0.009122591013664305,58.51,58.47,0.30816707194639087,1.0005280897722992,1.0,1.0,-1.0005280897722992,-0.042095076121769444,0.16240086876591703
2021-03-26,-2.433382857930397,58.51,60.93,0.34493969257509005,1.0002196431631445,-1.0,-1.0,1.0002196431631445,-0.04293494790749483,0.1194659208584222
2021-03-29,0.06226299948369274,61.56,61.49,0.3161594892035901,1.0001258253458498,0.0,0.0,-0.0,0.0,0.1194659208584222
2021-03-30,-0.0014907513852620013,60.55,60.55,0.2842533906327955,1.0000246201715155,-1.0,-1.0,1.0000246201715155,0.0004949053107636409,0.11996082616918584
2021-03-31,-0.031107669339718313,59.16,59.19,0.2842381788754863,1.000018713791852,1.0,1.0,-1.000018713791852,-0.037507037415406556,0.08245378875377929
2021-04-01,-2.2344640995291982,59.16,61.41,0.31722232038153314,0.9997470135080475,1.0,1.0,-0.9997470135080475,0.0,0.08245378875377929
2021-04-02,-2.2181194550116032,59.16,61.41,0.34642608511618805,0.9994808574338316,0.0,0.0,-0.0,0.0,0.08245378875377929
2021-04-05,-0.049040370511995945,58.65,58.73,0.34640091912860965,0.9994728481272263,0.0,0.0,-0.0,0.0,0.08245378875377929
2021-04-06,0.0210718330871984,59.33,59.34,0.3464072641315294,0.9994763762540073,1.0,1.0,-0.9994763762540073,0.00017356453792601294,0.0826273532917053
2021-04-07,0.03393918010306152,59.77,59.77,0.3439822713364318,0.999432170317834,-1.0,-1.0,0.999432170317834,0.00016882805335695058,0.08279618134506225
2021-04-08,0.023690865684699247,59.6,59.61,0.34398850288037264,0.9994348118489398,-1.0,-1.0,0.9994348118489398,-0.005365192749398794,0.07743098859566346
2021-04-09,0.33873661202343897,59.6,59.29,0.3296558983827348,0.9995153210992842,-1.0,-1.0,0.9995153210992842,0.005233958776840923,0.08266494737250438
2021-04-12,0.02950191940077218,59.7,59.7,0.32842499492535565,0.9995058304957994,-1.0,-1.0,0.9995058304957994,0.0003308696021423821,0.08299581697464675
2021-04-13,0.009968653905140457,60.18,60.2,0.3282640553599883,0.9995021818288182,-1.0,-1.0,0.9995021818288182,-0.0003730166526301412,0.0826228003220166
2021-04-14,0.03208788221051151,63.15,63.15,0.3259051484017697,0.9994918783497939,-1.0,-1.0,0.9994918783497939,-0.0006355850015130962,0.08198721532050351
2021-04-15,0.07160760108977371,63.46,63.42,0.3259329209968189,0.9995016146154245,-1.0,-1.0,0.9995016146154245,0.0326184317019228,0.11460564702242632
2021-04-16,-1.9837810935244278,61.13,63.16,0.3488479923603127,0.9992682250399688,-1.0,-1.0,0.9992682250399688,-0.03411719785048931,0.08048844917193701
2021-04-19,0.09479783304244904,63.38,63.33,0.3481558155334371,0.999292628563991,0.0,0.0,-0.0,0.0,0.08048844917193701
2021-04-20,0.10371101013225825,62.67,62.61,0.34819666977931474,0.9993018525773477,-1.0,-1.0,0.9993018525773477,0.0007925712292118879,0.0812810204011489
2021-04-21,0.052315868374464,61.35,61.34,0.3482045964811717,0.9993101423479872,-1.0,-1.0,0.9993101423479872,-9.448065106938512e-07,0.08128007559463821
2021-04-22,0.05208208927760438,61.46,61.45,0.34822644563539307,0.9993151816228217,-1.0,-1.0,0.9993151816228217,0.0008073348031246812,0.08208741039776289
2021-04-23,0.002899438532296017,62.14,62.18,0.3481238158054691,0.99931007657555,-1.0,-1.0,0.99931007657555,0.0011299202401408369,0.08321733063790372
2021-04-26,-0.06704822120167364,61.91,62.02,0.3480768953937871,0.9993074527765505,-1.0,-1.0,0.9993074527765505,-0.00036326263483294624,0.08285406800307077
2021-04-27,-0.04594889173123562,62.94,63.03,0.3480750837599809,0.9993011088645285,1.0,1.0,-0.9993011088645285,0.002250684970551569,0.08510475297362234
2021-04-28,0.09428818512947856,63.86,63.81,0.3480223481810238,0.9993059366066529,1.0,1.0,-0.9993059366066529,-0.0006280280787107663,0.08447672489491158
2021-04-29,0.054818581992336135,65.01,65.0,0.34803807210697824,0.9993104833539641,-1.0,-1.0,0.9993104833539641,-0.0010643952490767897,0.08341232964583478
2021-04-30,0.12274418407121601,63.58,63.5,0.348129738122592,0.9993268632429729,-1.0,-1.0,0.9993268632429729,0.0007952567380888967,0.08420758638392367
2021-05-03,0.07340802113264999,64.49,64.46,0.347973447053522,0.9993265898055748,-1.0,-1.0,0.9993265898055748,0.0009263066899873468,0.08513389307391102
2021-05-04,0.014183574566985158,65.69,65.72,0.34797633387697685,0.9993276997174835,-1.0,-1.0,0.9993276997174835,-0.00045514442397458416,0.08467874864993644
2021-05-05,0.04383979114780345,65.63,65.63,0.34799373036798353,0.9993320159812921,-1.0,-1.0,0.9993320159812921,0.00031389891233960833,0.08499264756227605
2021-05-06,0.021945146726565667,64.71,64.73,0.34744989323266845,0.9993519983512038,-1.0,-1.0,0.9993519983512038,0.0006147417902824192,0.08560738935255847
2021-05-07,-0.016853035050715448,64.9,64.96,0.3470624369851734,0.9993357917957317,-1.0,-1.0,0.9993357917957317,-0.0009235209614594583,0.08468386839109901
2021-05-10,0.04241502826859289,64.92,64.92,0.34702410221267593,0.9993466569890852,1.0,1.0,-0.9993466569890852,-0.0004581823201746764,0.08422568607092433
2021-05-11,0.012878504790563738,65.28,65.31,0.3469813320007846,0.9993434618773456,-1.0,-1.0,0.9993434618773456,-0.002308902110527566,0.08191678396039677
2021-05-12,0.16242659408312932,66.08,65.96,0.3471127878785515,0.9993567829884304,-1.0,-1.0,0.9993567829884304,0.0017779315976652887,0.08369471555806206
2021-05-13,0.03957518194442855,63.82,63.82,0.346543178465074,0.9993798937332431,-1.0,-1.0,0.9993798937332431,-0.0007980281949253841,0.08289668736313667
2021-05-14,0.08997760076350403,65.37,65.32,0.34659432564193077,0.9993879730440371,-1.0,-1.0,0.9993879730440371,0.0003081035574076293,0.0832047909205443
2021-05-17,0.07025570197451714,66.27,66.24,0.34660576448589425,0.999392275030578,-1.0,-1.0,0.999392275030578,0.0004544488643781399,0.08365923978492243
2021-05-18,0.039301067153530767,65.49,65.49,0.3466062356451904,0.9993998920880511,-1.0,-1.0,0.9993998920880511,-0.0012013095360297252,0.0824579302488927
2021-05-19,0.11710550246058204,63.36,63.28,0.3466982406539469,0.9994136298599782,-1.0,-1.0,0.9994136298599782,0.0014062411977450173,0.08386417144663771
2021-05-20,0.025984440802673703,61.94,61.95,0.34669666565939705,0.9994191373558889,-1.0,-1.0,0.9994191373558889,0.024842879651709865,0.10870705109834758
2021-05-21,-1.503289606774615,62.06,63.61,0.3592231784296483,0.999265675314803,-1.0,-1.0,0.999265675314803,-0.02712231463217963,0.08158473646616796
2021-05-24,0.11780133678165328,66.2,66.13,0.359319023049899,0.9992771610950908,0.0,0.0,-0.0,0.0,0.08158473646616796
