Date,Spread,EIAEBRT,GOEUARA,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2018-01-01,-0.5098205084635481,66.73,599.0,1.1067371029932023,0.11225345660845334,1.0,1.0,-0.11225345660845334,0.0001597992859933236,0.0001597992859933236
2018-01-02,0.22542623729850675,66.65,591.75,1.1059031708889833,0.11225107522214026,1.0,1.0,-0.11225107522214026,0.015728180208228894,0.01588797949422222
2018-01-03,0.07997113527616762,67.85,603.75,1.1053807682984638,0.11224849501403533,-1.0,-1.0,0.11224849501403533,-0.013155705125615648,0.0027322743686065704
2018-01-04,1.0724876504061456,68.73,602.75,1.102878842520776,0.11224805035187699,-1.0,-1.0,0.11224805035187699,0.00940497213372369,0.01213724650233026
2018-01-05,0.9985140370265668,68.01,597.0,1.1002321676361575,0.11224704516410962,-1.0,-1.0,0.11224704516410962,-0.0069577530446281195,0.00517949345770214
2018-01-08,1.4909787458354913,68.48,596.75,1.1025897916703966,0.1122564243890482,-1.0,-1.0,0.1122564243890482,-0.007115693615585167,-0.0019362001578830269
2018-01-09,1.1095403633231058,69.08,605.5,1.0994110638904182,0.11225509436280245,-1.0,-1.0,0.11225509436280245,-0.010324286720303546,-0.012260486878186573
2018-01-10,1.8427848580496118,69.79,605.25,1.1012981259866714,0.11226305682271855,-1.0,-1.0,0.11226305682271855,-0.0078427654998417,-0.020103252378028274
2018-01-11,2.208073118064192,70.36,607.0,1.1068676238997064,0.11227665054684646,-1.0,-1.0,0.11227665054684646,0.010787996292014549,-0.009315256086013725
2018-01-12,1.1486040213899429,69.64,610.0,1.1070601010706371,0.11228097701411485,-1.0,-1.0,0.11228097701411485,-0.009390823555120144,-0.01870607964113387
2018-01-15,1.6767825309007378,70.31,611.25,1.1050789779183197,0.11228338236253459,-1.0,-1.0,0.11228338236253459,0.011702743214752034,-0.007003336426381835
2018-01-16,1.5224577302461597,69.4,604.5,1.104532358551215,0.11228708398635873,-1.0,-1.0,0.11228708398635873,0.002933060599435022,-0.004070275826946813
2018-01-17,1.3669042623578918,69.19,604.0,1.1037667009272445,0.11228989360536772,-1.0,-1.0,0.11228989360536772,-0.005353297256761335,-0.009423573083708149
2018-01-18,2.3524294207711876,69.48,597.75,1.1080681596431456,0.1123004108393623,-1.0,-1.0,0.1123004108393623,0.013569996269207572,0.004146423185499423
2018-01-19,1.2319168001254326,68.56,599.5,1.109459594711617,0.11230706121747216,-1.0,-1.0,0.11230706121747216,-0.010382676310406999,-0.006236253124907576
2018-01-22,1.5662370164410788,69.32,603.25,1.111450793934977,0.11231456773072343,-1.0,-1.0,0.11231456773072343,-0.006603210906595672,-0.012839464031503248
2018-01-23,1.76900882963713,69.81,605.75,1.11504604563158,0.11232520209717353,-1.0,-1.0,0.11232520209717353,-0.0002271540214513173,-0.013066618052954565
2018-01-24,1.1343197523595023,69.91,612.25,1.1164927366336783,0.11233267496552143,-1.0,-1.0,0.11233267496552143,-0.016552328002027463,-0.029618946054982026
2018-01-25,2.180698367991795,71.08,613.25,1.1237800048071873,0.11235108297106923,-1.0,-1.0,0.11235108297106923,0.014572471552143838,-0.015046474502838188
2018-01-26,0.8675429817381826,70.08,616.0,1.1246780022340588,0.11235788476990555,-1.0,-1.0,0.11235788476990555,0.02218831620351157,0.00714184170067338
2018-01-29,0.20576386105426536,68.41,607.0,1.1244539293917208,0.11236282724702756,-1.0,-1.0,0.11236282724702756,0.007450618397752705,0.014592460098426085
2018-01-30,0.6397961982691385,67.78,597.5,1.1249276188716297,0.11236854192758303,-1.0,-1.0,0.11236854192758303,0.000987338652920195,0.01557979875134628
2018-01-31,0.05094753638620375,67.78,602.75,1.1247829917165442,0.11236673988156581,-1.0,-1.0,0.11236673988156581,-0.011026029112222955,0.004553769639123325
2018-02-01,0.22790269819566333,68.6,608.5,1.1232439103790341,0.11236170468661352,-1.0,-1.0,0.11236170468661352,0.013717064292427208,0.01827083393155053
2018-02-02,0.9270007354898979,67.45,592.0,1.1243968642376763,0.11236993119005084,-1.0,-1.0,0.11236993119005084,-0.005361424945863367,0.012909408985687165
2018-02-05,2.2217958564384475,67.69,582.5,1.1321423039077902,0.11239176677006274,-1.0,-1.0,0.11239176677006274,0.01398331067080816,0.026892719656495326
2018-02-06,1.2193443337332752,66.75,583.0,1.1342166780078644,0.11240249685465992,-1.0,-1.0,0.11240249685465992,0.011178682736626581,0.03807140239312191
2018-02-07,2.502938725519712,65.74,562.5,1.1436550717006102,0.11242144226574273,-1.0,-1.0,0.11242144226574273,0.020964012074156987,0.05903541446727889
2018-02-08,1.8907165834962427,64.26,554.75,1.145857921342656,0.11242773035872693,-1.0,-1.0,0.11242773035872693,0.01690806821104248,0.07594348267832138
2018-02-09,1.815388618057078,63.04,544.5,1.150635379648877,0.11244189418171335,-1.0,-1.0,0.11244189418171335,0.012550479885828726,0.0884939625641501
2018-02-12,1.3941922130530031,62.2,540.75,1.1520221159678379,0.11244717112704022,-1.0,-1.0,0.11244717112704022,0.0030883442006522694,0.09158230676480236
2018-02-13,1.7167649985751225,61.94,535.5,1.156254550233306,0.1124616900119979,-1.0,-1.0,0.1124616900119979,-0.0022379266300200265,0.08934438013478234
2018-02-14,0.23736648755183865,62.29,551.75,1.1562188045331754,0.11246512643851049,-1.0,-1.0,0.11246512643851049,-0.009405538366986736,0.0799388417677956
2018-02-15,0.9375607308041154,62.86,550.5,1.154036561608126,0.11248399503941123,-1.0,-1.0,0.11248399503941123,-0.021222322188012708,0.0587165195797829
