Date,Spread,LNICASH,RHODNWE,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2018-01-01,-2849.6724159499263,12705.5,1705.0,1052.2912665521278,9.123268279149517,0.0,0.0,-0.0,-0.0,-0.0
2018-01-02,-2954.955658607665,12561.5,1705.0,1050.3697499602245,9.100560503582209,0.0,0.0,-0.0,-0.0,-0.0
2018-01-03,-3116.807818429128,12360.75,1705.0,1049.9489653487217,9.077746521072802,0.0,0.0,-0.0,0.0,0.0
2018-01-04,-2704.768870048547,12602.5,1690.0,1049.0570305796723,9.057555544407425,0.0,0.0,-0.0,-0.0,0.0
2018-01-05,-2784.8025646332007,12487.75,1690.0,1048.1799995278038,9.037013351853965,0.0,0.0,-0.0,-0.0,0.0
2018-01-08,-2752.8301169767237,12486.5,1690.0,1047.8312935843908,9.017355098802796,0.0,0.0,-0.0,0.0,0.0
2018-01-09,-2566.794778153944,12642.0,1690.0,1047.6730890482743,8.999286850978665,0.0,0.0,-0.0,0.0,0.0
2018-01-10,-2297.145819592608,12883.5,1690.0,1047.52748449796,8.982630662480833,1.0,1.0,-8.982630662480833,-0.024100593782745316,-0.024100593782745316
2018-01-11,-2576.8981450207357,12573.0,1690.0,1047.2129552117872,8.96443677220162,1.0,1.0,-8.96443677220162,0.06187244646854871,0.037771852685803395
2018-01-12,-2348.2550391343757,12684.0,1680.0,1047.0328503950905,8.947770856627605,1.0,1.0,-8.947770856627605,0.009697256385998054,0.04746910907180145
2018-01-15,-2199.7760414410823,12807.0,1680.0,1047.1656499196881,8.932604786572073,1.0,1.0,-8.932604786572073,-0.025376747091434337,0.022092361980367112
2018-01-16,-2496.4277630382203,12482.0,1680.0,1047.0277434827792,8.915730811332274,1.0,1.0,-8.915730811332274,-0.010475084121134404,0.011617277859232708
2018-01-17,-2597.5674886476936,12351.25,1680.0,1046.8354910030455,8.898105648004579,1.0,1.0,-8.898105648004579,0.005647201700232696,0.017264479559465404
2018-01-18,-2497.7653462906255,12421.0,1680.0,1045.7191301169362,8.880217468030134,1.0,1.0,-8.880217468030134,0.020731020046695026,0.03799549960616043
2018-01-19,-2211.4601572010015,12678.5,1680.0,1043.6753927379464,8.863071522143454,1.0,1.0,-8.863071522143454,0.0035493157707930933,0.04154481537695352
2018-01-22,-2137.773131869697,12723.5,1680.0,1041.0312119135756,8.8459959118272,1.0,1.0,-8.8459959118272,0.006798443824419298,0.04834325920137282
2018-01-23,-2024.2698032138305,12810.0,1680.0,1039.2646306391168,8.829922501912995,1.0,1.0,-8.829922501912995,0.05694769711163161,0.10529095631300443
2018-01-24,-1272.9089811402082,13539.5,1680.0,1038.8582401102778,8.816910107821553,1.0,1.0,-8.816910107821553,0.009084530447948547,0.11437548676095298
2018-01-25,-1129.6330206139373,13662.5,1680.0,1039.5902582389188,8.804841083698772,1.0,1.0,-8.804841083698772,-0.1080400307637642,0.00633545599718878
2018-01-26,-1327.0531659851222,13618.5,1700.0,1038.6370684317665,8.79150186234419,1.0,1.0,-8.79150186234419,-0.06604363967202964,-0.05970818367484086
2018-01-29,-1280.2527748385019,13775.5,1715.0,1038.874940567543,8.778864591742567,1.0,1.0,-8.778864591742567,-0.28922730246159994,-0.3489354861364408
2018-01-30,-2146.29228114081,13317.0,1765.0,1034.5366647033568,8.761072113960799,1.0,1.0,-8.761072113960799,-0.10588469884987503,-0.4548201849863158
2018-01-31,-2091.073825416239,13559.5,1790.0,1029.8195932165402,8.74333733263477,1.0,1.0,-8.74333733263477,-0.09217154288728724,-0.5469917278736031
2018-02-01,-1873.1574401674825,13965.5,1815.0,1025.2498812508536,8.726533024885665,1.0,1.0,-8.726533024885665,-0.2087728937521042,-0.7557646216257072
2018-02-02,-2705.157896371393,13400.0,1850.0,1021.4547764175724,8.705490754795347,1.0,1.0,-8.705490754795347,0.022761194029850662,-0.7330034275958566
2018-02-05,-2363.938044776505,13705.0,1850.0,1016.7343520865572,8.685912456635949,0.0,0.0,-0.0,-0.0,-0.7330034275958566
2018-02-06,-2685.0842234741503,13345.0,1850.0,1012.0469444441536,8.664910391067108,1.0,1.0,-8.664910391067108,-0.015811165230423363,-0.7488145928262799
2018-02-07,-2855.9693752498515,13134.0,1850.0,1008.821841608519,8.643226689324244,0.0,0.0,-0.0,0.0,-0.7488145928262799
2018-02-08,-2761.5535419698663,13104.5,1840.0,1006.7858572313329,8.622855185853188,0.0,0.0,-0.0,0.0,-0.7488145928262799
2018-02-09,-2810.118246801354,12932.5,1830.0,1004.9122651706634,8.602523632131888,0.0,0.0,-0.0,0.0,-0.7488145928262799
2018-02-12,-2647.9209234983664,13060.0,1830.0,1003.6798960659028,8.583563346173971,0.0,0.0,-0.0,0.0,-0.7488145928262799
2018-02-13,-2182.613905448581,13408.0,1820.0,1001.5759315819021,8.566271376620099,0.0,0.0,-0.0,0.0,-0.7488145928262799
2018-02-14,-1508.5766184117456,14056.0,1820.0,1001.6773758333819,8.551965174951508,1.0,1.0,-8.551965174951508,0.0036283437677859798,-0.745186249058494
2018-02-15,-1432.5575881857949,14107.0,1820.0,1002.3288165316964,8.53821845504714,1.0,1.0,-8.53821845504714,-0.0636780149459545,-0.8088642640044484
2018-02-16,-1726.66163119259,13870.5,1830.0,1001.644559690267,8.52303914272819,1.0,1.0,-8.52303914272819,-0.023611261309974374,-0.8324755253144228
2018-02-19,-2025.0499108934637,13543.0,1830.0,1001.0171744393369,8.507131098848888,1.0,1.0,-8.507131098848888,-0.04530563304806934,-0.8777811583624922
2018-02-20,-2063.6874025718316,13559.0,1840.0,999.5543769103003,8.490590979658604,1.0,1.0,-8.490590979658604,0.01755291688177585,-0.8602282414807163
2018-02-21,-1797.1689157961919,13797.0,1840.0,998.2774770374199,8.475091802063147,1.0,1.0,-8.475091802063147,-0.0007247952453431905,-0.8609530367260595
2018-02-22,-1780.745906270713,13787.0,1840.0,998.590110030321,8.4607314707993,1.0,1.0,-8.4607314707993,-0.00464205410894325,-0.8655950908350027
2018-02-23,-1819.9236032362442,13723.0,1840.0,999.5393726473117,8.44724108871535,1.0,1.0,-8.44724108871535,-0.034504707053391315,-0.900099797888394
2018-02-26,-1724.190517519828,13879.5,1850.0,1000.864445228808,8.434427306767475,1.0,1.0,-8.434427306767475,-0.005907993803811351,-0.9060077916922054
2018-02-27,-1783.1264663891634,13797.5,1850.0,1001.9185149158238,8.42196025210225,1.0,1.0,-8.42196025210225,-0.049437861962215876,-0.9554456536544212
2018-02-28,-1896.1320598506481,13743.5,1860.0,1002.7154418067022,8.408404333253037,1.0,1.0,-8.408404333253037,-0.02412049332411681,-0.979566146978538
2018-03-01,-2199.8109589647775,13412.0,1860.0,1002.8943378423725,8.3934467521316,1.0,1.0,-8.3934467521316,-0.0006710408589323258,-0.9802371878374704
2018-03-02,-2181.363584433444,13403.0,1860.0,1003.1075661476789,8.378690099157765,1.0,1.0,-8.378690099157765,-0.001790643885697274,-0.9820278317231677
2018-03-05,-2178.3285466910766,13379.0,1860.0,1003.3489431591213,8.36415513262961,1.0,1.0,-8.36415513262961,0.01842439644218552,-0.9636034352809821
2018-03-06,-1906.9155894162832,13625.5,1860.0,1004.1167330065101,8.350761069578647,1.0,1.0,-8.350761069578647,0.038181214994791074,-0.925422220286191
2018-03-07,-1891.1832632787082,13534.0,1850.0,1004.7365059980233,8.337936899069572,1.0,1.0,-8.337936899069572,-0.023681099453228938,-0.94910331973942
2018-03-08,-2185.7642357915065,13213.5,1850.0,1004.7825665689398,8.323926613941355,1.0,1.0,-8.323926613941355,0.04544594543459346,-0.9036573743048265
2018-03-09,-1565.2261762779162,13814.0,1850.0,1005.7781642727435,8.313095230420496,1.0,1.0,-8.313095230420496,-0.013862747936875586,-0.9175201222417021
2018-03-12,-1735.774958356109,13622.5,1850.0,1005.6421697962869,8.301770247760059,1.0,1.0,-8.301770247760059,0.015085336759038448,-0.9024347854826636
2018-03-13,-1512.4662073722247,13828.0,1850.0,1004.2131490965548,8.292143895876878,1.0,1.0,-8.292143895876878,-0.07074097549362303,-0.9731757609762867
2018-03-14,-1666.5938735731943,13779.5,1865.0,1001.691915787565,8.282087867867665,1.0,1.0,-8.282087867867665,-0.08138028201660798,-1.0545560429928946
2018-03-15,-1972.0211049699192,13576.0,1880.0,999.533621278474,8.270223992005276,1.0,1.0,-8.270223992005276,-0.13248727523946774,-1.1870433182323623
2018-03-16,-2202.220308830367,13569.0,1910.0,997.278030631206,8.25718340776459,1.0,1.0,-8.25718340776459,-0.11839595264301404,-1.3054392708753764
2018-03-19,-2520.2331627863896,13429.0,1935.0,995.3318721410053,8.242497758545937,1.0,1.0,-8.242497758545937,-0.0015637798793655122,-1.3070030507547419
2018-03-20,-2513.7346732632413,13408.0,1935.0,992.3748552324225,8.22828665284922,0.0,0.0,-0.0,0.0,-1.3070030507547419
2018-03-21,-2804.771486980935,13416.0,1975.0,988.8096030084083,8.213048854167562,0.0,0.0,-0.0,-0.0,-1.3070030507547419
2018-03-22,-3123.370967394818,13146.0,1985.0,986.6595514929268,8.196156658637188,0.0,0.0,-0.0,-0.0,-1.3070030507547419
2018-03-23,-3330.8490226459708,12902.0,1985.0,986.5807166756936,8.177757694028196,0.0,0.0,-0.0,0.0,-1.3070030507547419
2018-03-26,-3294.192730679979,12903.5,1985.0,985.6281455908271,8.160046715707798,0.0,0.0,-0.0,0.0,-1.3070030507547419
2018-03-27,-3335.8006961585925,12948.0,2000.0,985.3368103716932,8.141900348079297,0.0,0.0,-0.0,0.0,-1.3070030507547419
2018-03-28,-3409.3266059522175,13081.0,2030.0,985.3757951666497,8.12331359899124,0.0,0.0,-0.0,0.0,-1.3070030507547419
2018-03-29,-3202.9905192977276,13253.0,2030.0,983.3307087465837,8.106399270590014,0.0,0.0,-0.0,0.0,-1.3070030507547419
2018-03-30,-3169.5316599880534,13253.0,2030.0,980.764689537451,8.08991707388574,0.0,0.0,-0.0,0.0,-1.3070030507547419
2018-04-02,-3136.430871678833,13253.0,2030.0,978.3054296284664,8.073611266836863,0.0,0.0,-0.0,0.0,-1.3070030507547419
2018-04-03,-2939.6392911245457,13418.5,2030.0,975.4899754554226,8.058196695135244,0.0,0.0,-0.0,-0.0,-1.3070030507547419
2018-04-04,-3225.074272093061,13099.5,2030.0,973.5213886033157,8.041662203001508,0.0,0.0,-0.0,0.0,-1.3070030507547419
2018-04-05,-3022.1898885814626,13272.5,2030.0,968.5142877347022,8.026940831813528,0.0,0.0,-0.0,-0.0,-1.3070030507547419
2018-04-06,-3044.615289636171,13220.0,2030.0,963.9129112551844,8.012125758441464,0.0,0.0,-0.0,0.0,-1.3070030507547419
2018-04-09,-2845.695027741449,13390.0,2030.0,959.9679206853538,7.997879324010566,0.0,0.0,-0.0,0.0,-1.3070030507547419
2018-04-10,-2637.4215995507493,13651.5,2040.0,955.0152610415563,7.9847654899758576,0.0,0.0,-0.0,0.0,-1.3070030507547419
2018-04-11,-2443.7415926450885,13820.5,2040.0,949.4946733761454,7.972667447375043,0.0,0.0,-0.0,-0.0,-1.3070030507547419
2018-04-12,-2725.062562671337,13671.0,2060.0,944.6965332278429,7.9592536711996775,0.0,0.0,-0.0,0.0,-1.3070030507547419
