Date,Spread,EIAEBRT,EIANYHO,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2019-07-26,-1.2850002930491726,62.46,1.874,3.1182877061749013,34.0154750763336,1.0,1.0,-34.0154750763336,-0.1479318809813456,2.2294999958501465
2019-07-29,-1.722515709777376,62.29,1.882,3.1182050297206505,34.01302641327172,1.0,1.0,-34.01302641327172,-0.6464470968910517,1.5830528989590946
2019-07-30,-2.680961438510039,62.55,1.918,3.118774081299848,34.0098860471898,1.0,1.0,-34.0098860471898,-0.02889529974982144,1.554157599209273
2019-07-31,-1.2632328124275318,64.07,1.921,3.1170821151207186,34.010011875287624,1.0,1.0,-34.010011875287624,1.5928324664526659,3.1469900656619387
2019-08-01,0.6568662046288196,62.9,1.83,3.118039963972252,34.01264141823562,1.0,1.0,-34.01264141823562,-0.15840188708288158,2.9885881785790573
2019-08-02,-1.3632588077786423,61.12,1.837,3.115167193054847,34.013750031452716,-1.0,-1.0,34.013750031452716,-0.7667344150584718,2.2218537635205857
2019-08-05,-1.699140789082378,59.32,1.794,3.1141326635322466,34.01289899056989,1.0,1.0,-34.01289899056989,0.026286677629269603,2.248140441149855
2019-08-06,-2.314807723289988,58.63,1.792,3.114953205189623,34.00937930987165,1.0,1.0,-34.00937930987165,0.7736497115047868,3.021790152654642
2019-08-07,-4.403845387528975,55.03,1.748,3.122375933945139,34.00105571368935,1.0,1.0,-34.00105571368935,0.003445196983001827,3.0252353496376436
2019-08-08,-3.1667430259004234,56.29,1.749,3.125356679842548,33.99470727610087,1.0,1.0,-33.99470727610087,-0.3889833707884917,2.636251978849152
2019-08-09,-2.791578604653516,57.37,1.77,3.127261155389977,33.98959243200763,1.0,1.0,-33.98959243200763,-0.1194023284965121,2.51684965035264
2019-08-12,-3.2226819659471246,57.13,1.776,3.130338940049324,33.982365971817075,1.0,1.0,-33.982365971817075,-1.0038959197525696,1.5129537306000702
2019-08-13,-2.3113856142935916,59.9,1.831,3.1313873265380057,33.976726168374434,1.0,1.0,-33.976726168374434,0.5783036775932353,2.0912574081933055
2019-08-14,-3.218999607097153,57.86,1.798,3.134320220523915,33.97052258459241,1.0,1.0,-33.97052258459241,0.5583364423267061,2.6495938505200116
2019-08-15,-2.6747610318620048,57.37,1.768,3.1352278079063987,33.96196890942421,1.0,1.0,-33.96196890942421,-0.0292157132454584,2.620378137274553
2019-08-16,-1.140221372387657,59.0,1.771,3.1352312947623413,33.958340695871065,1.0,1.0,-33.958340695871065,-0.44680225119728756,2.1735758860772654
2019-08-19,-1.154217806868921,59.79,1.795,3.134419951029339,33.952210477364304,1.0,1.0,-33.952210477364304,-0.37209388499852714,1.8014820010787382
2019-08-20,-2.5437523735272336,59.03,1.814,3.135103985239693,33.94363416401722,1.0,1.0,-33.94363416401722,-0.0856755730712608,1.7158064280074774
2019-08-21,-1.162757419075227,60.6,1.82,3.1327392116466872,33.93558099949188,1.0,1.0,-33.93558099949188,0.32259032163933576,2.038396749646813
2019-08-22,-1.3278867777714254,59.81,1.802,3.1310289298490566,33.92779510420168,1.0,1.0,-33.92779510420168,0.5076179999623737,2.5460147496091867
2019-08-23,-1.5355358583928904,58.64,1.774,3.1303417881652944,33.92082066425755,1.0,1.0,-33.92082066425755,0.0,2.5460147496091867
2019-08-26,-1.524627552996499,58.64,1.774,3.130071986948091,33.91467167587176,1.0,1.0,-33.91467167587176,-0.3284103134044998,2.217604436204687
