Date,Spread,EIAEBRT,EIAUSGJ,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2020-11-03,-0.2828249453897982,38.17,1.037,3.078234043709262,37.08083408427175,-1.0,-1.0,37.08083408427175,1.1404473925305956,67.46505702813879
2020-11-04,-0.010079896379892261,39.68,1.07,3.084205235216786,37.09353261343915,1.0,1.0,-37.09353261343915,-0.143959750348704,67.32109727779009
2020-11-05,-0.3750327890638303,39.47,1.074,3.091570021547046,37.099658090376,1.0,1.0,-37.099658090376,0.6901956888118178,68.0112929666019
2020-11-06,-0.9928130447269936,38.08,1.053,3.101942171774856,37.106185227660966,1.0,1.0,-37.106185227660966,-2.391855536373998,65.6194374302279
2020-11-09,-0.7529168324454218,40.93,1.123,3.1110293216127607,37.11746823904312,1.0,1.0,-37.11746823904312,-0.9923638108924098,64.62707361933549
2020-11-10,-0.6013306386681023,42.25,1.154,3.1187893171740195,37.13286883766734,1.0,1.0,-37.13286883766734,0.29551492366192994,64.92258854299742
2020-11-11,-0.039383301691074735,42.5,1.145,3.123512810013729,37.15229982680443,1.0,1.0,-37.15229982680443,0.6085010451609498,65.53108958815837
2020-11-12,0.30225454681613684,42.16,1.126,3.1267439043966245,37.17384143266773,1.0,1.0,-37.17384143266773,0.7439061243564462,66.27499571251481
2020-11-13,0.48520383612023466,41.51,1.103,3.1300664131757734,37.19383151757005,-1.0,-1.0,37.19383151757005,0.10597373854091674,66.38096945105572
2020-11-16,1.5086960629163428,42.71,1.107,3.130244202611428,37.21888341199969,-1.0,-1.0,37.21888341199969,-0.029641061754615797,66.3513283893011
2020-11-17,1.3473335626778464,42.54,1.106,3.1303978797418797,37.244725531032685,-1.0,-1.0,37.244725531032685,0.8668564301217867,67.21818481942289
2020-11-18,0.7261874817421159,42.91,1.132,3.133004004443714,37.264852047930994,-1.0,-1.0,37.264852047930994,0.6212753051657522,67.83946012458864
2020-11-19,0.17453601037215805,43.09,1.151,3.136831419875304,37.28537271036303,-1.0,-1.0,37.28537271036303,1.085147348699671,68.92460747328832
2020-11-20,-0.41017456187402246,43.79,1.185,3.1440388236151167,37.29972536867006,-1.0,-1.0,37.29972536867006,0.09827436654567145,69.02288183983399
2020-11-23,0.6320191752586553,45.0,1.189,3.147443652253806,37.31537495773031,1.0,1.0,-37.31537495773031,-1.7526561399229672,67.27022569991102
2020-11-24,0.12037024629922399,46.63,1.246,3.152180150925484,37.327150685153114,-1.0,-1.0,37.327150685153114,0.5248680944121155,67.79509379432314
2020-11-25,0.10602255711248887,47.3,1.264,3.1565357734557877,37.33700747063885,-1.0,-1.0,37.33700747063885,0.020718816067653245,67.8158126103908
2020-11-26,-0.8881146687202843,46.32,1.264,3.165620122800716,37.34819198474706,-1.0,-1.0,37.34819198474706,-0.012089810017271274,67.80372280037352
2020-11-27,-0.34385590339724104,46.88,1.264,3.172207668091774,37.36064549319402,1.0,1.0,-37.36064549319402,0.7380835751869697,68.5418063755605
2020-11-30,0.5347860820017019,46.84,1.239,3.1751315394508026,37.373054009683855,1.0,1.0,-37.373054009683855,0.24536744527777207,68.78717382083828
2020-12-01,1.0047665757197919,47.03,1.231,3.1769243677161714,37.38849181501235,-1.0,-1.0,37.38849181501235,0.5910765671150713,69.37825038795334
