Date,Spread,EIAEBRT,DIESELA,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2019-07-23,-0.979658363507312,62.28,1.9281,2.948052679052537,32.80932439370744,1.0,1.0,-32.80932439370744,0.2137696648259382,13.577038068349266
2019-07-24,0.9346564429166335,63.83,1.9169999999999998,2.9493244799399627,32.80925589832205,1.0,1.0,-32.80925589832205,0.023455342236110777,13.600493410585376
2019-07-25,0.6295045033269702,63.47,1.9153,2.9507476147351226,32.80974024783221,-1.0,-1.0,32.80974024783221,0.036469437806566,13.636962848391942
2019-07-26,-0.41704081100846935,62.46,1.9165,2.9503750029036304,32.808265489699174,-1.0,-1.0,32.808265489699174,0.16363888024155296,13.800601728633495
2019-07-29,-0.8932248492692096,62.29,1.9259,2.950291916839149,32.807116075221565,1.0,1.0,-32.807116075221565,-0.6244061628129781,13.176195565820517
2019-07-30,-1.8412118676856153,62.55,1.9628,2.9505573231854743,32.80579369659956,1.0,1.0,-32.80579369659956,0.014272295736399829,13.190467861556916
2019-07-31,-0.342790719900151,64.07,1.9634,2.9509199805888313,32.80675905057561,1.0,1.0,-32.80675905057561,1.5473867435622117,14.737854605119129
2019-08-01,1.5553645440539867,62.9,1.8697,2.9555722551353036,32.80988150823448,1.0,1.0,-32.80988150823448,-0.15289115257060193,14.584963452548527
2019-08-02,-0.46156952919047,61.12,1.8768,2.95527386853836,32.81200422484573,-1.0,-1.0,32.81200422484573,-0.5369973814876922,14.047966071060834
2019-08-05,-1.198198439794787,59.32,1.8444,2.9551661818925097,32.811862090541524,1.0,1.0,-32.811862090541524,0.3797480067110653,14.427714077771899
2019-08-06,-1.1628751349322854,58.63,1.8224,2.955008420697436,32.80996221188119,1.0,1.0,-32.80996221188119,-0.06140201262152489,14.366312065150375
2019-08-07,-4.747256613674999,55.03,1.8224,2.96360916979826,32.80139190829401,1.0,1.0,-32.80139190829401,0.571866341319605,14.93817840646998
2019-08-08,-2.4777571393536704,56.29,1.7919,2.9643178145411406,32.79633748499005,1.0,1.0,-32.79633748499005,-0.21142576055226953,14.72675264591771
2019-08-09,-1.8045012508224616,57.37,1.8045,2.9643338471261305,32.79274106446243,1.0,1.0,-32.79274106446243,-0.2204391863767368,14.506313459540973
2019-08-12,-2.4239897923589098,57.13,1.8163999999999998,2.9644426386715828,32.78682547476267,1.0,1.0,-32.78682547476267,-1.2475359300713937,13.25877752946958
2019-08-13,-1.9988835919694594,59.9,1.8881999999999999,2.9643252439883057,32.78195296683056,1.0,1.0,-32.78195296683056,0.5805397512965172,13.839317280766096
2019-08-14,-2.8633008471723826,57.86,1.8528,2.9640804773024274,32.77380227071048,1.0,1.0,-32.77380227071048,0.382453686433604,14.2217709671997
2019-08-15,-2.609023179913116,57.37,1.8307,2.957991997853805,32.762890249583826,1.0,1.0,-32.762890249583826,-0.02706669458276309,14.194704272616937
2019-08-16,-1.068735718263106,59.0,1.8337999999999999,2.9542035478286386,32.756426937650296,1.0,1.0,-32.756426937650296,-1.1994803783836943,12.995223894233243
2019-08-19,-2.4875135561648634,59.79,1.9017,2.953132959228003,32.74833756962973,1.0,1.0,-32.74833756962973,-0.34162383782762656,12.653600056405617
2019-08-20,-3.853667762171497,59.03,1.9208,2.9563475560129215,32.738269347236304,1.0,1.0,-32.738269347236304,0.08625092665387017,12.739850983059487
2019-08-21,-2.1519533013296908,60.6,1.9173,2.9531880975811333,32.72933463794382,1.0,1.0,-32.72933463794382,0.12694207431317234,12.866793057372659
2019-08-22,-2.6536527920924087,59.81,1.9091,2.949958590411989,32.718900420141644,1.0,1.0,-32.718900420141644,-0.028131141181485894,12.838661916191173
2019-08-23,-3.817858521581165,58.64,1.9096000000000002,2.9513372877362167,32.707299183903,1.0,1.0,-32.707299183903,0.21581062511373653,13.054472541304909
2019-08-26,-3.3852080867950676,58.64,1.8969999999999998,2.951208587426143,32.69647237047711,1.0,1.0,-32.69647237047711,0.13792360942565546,13.192396150730564
2019-08-27,-3.298311298207622,58.44,1.8888,2.951814709892979,32.68652652382868,1.0,1.0,-32.68652652382868,-0.6583369390299654,12.5340592117006
2019-08-28,-2.6037959005039752,60.42,1.9287999999999998,2.9471058817083393,32.675132673425956,1.0,1.0,-32.675132673425956,-0.097136218401558,12.436922993299042
2019-08-29,-2.6031536795966232,60.59,1.9347,2.9415481780886052,32.663024592751654,1.0,1.0,-32.663024592751654,0.6658535764668753,13.102776569765917
