Date,Spread,PALLADM,LZZCASH,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2020-11-09,-61.9308376285353,2475.0,2628.0,386.35891534243365,0.965346589660782,1.0,1.0,-0.965346589660782,-0.004499568133659729,-0.33042513690793474
2020-11-10,-75.15247893648575,2465.0,2629.25,387.5738513995431,0.9661129519583478,1.0,1.0,-0.9661129519583478,-0.036005115015790325,-0.3664302519237251
2020-11-11,-163.84091943252906,2357.0,2608.0,389.2314298861862,0.9665801071443747,1.0,1.0,-0.9665801071443747,-0.00465231095230202,-0.3710825628760271
2020-11-12,-176.28314585029148,2348.0,2610.25,390.9485715874794,0.9670656626186348,1.0,1.0,-0.9670656626186348,-0.008611175663098722,-0.3796937385391258
2020-11-13,-198.06814815737016,2332.0,2615.1,392.7661102404929,0.9674842828791902,1.0,1.0,-0.9674842828791902,-0.015030508272044545,-0.39472424681117035
2020-11-16,-238.935424878096,2340.0,2665.0,394.7748003891813,0.9677056003294919,1.0,1.0,-0.9677056003294919,-0.006010955835818517,-0.40073520264698886
2020-11-17,-255.1573300830114,2338.0,2679.2,396.85772256715427,0.9678849395651731,1.0,1.0,-0.9678849395651731,-0.023114777135982922,-0.4238499797829718
2020-11-18,-316.67199047257236,2337.0,2742.0,399.2596619912267,0.9677870133014487,1.0,1.0,-0.9677870133014487,-0.01562983798021795,-0.43947981776318973
2020-11-19,-354.1201258299202,2310.0,2753.55,401.85810240184287,0.9675219719380146,1.0,1.0,-0.9675219719380146,2.274198071899186e-05,-0.43945707578247073
2020-11-20,-358.64763635544614,2337.0,2786.75,404.47104810624285,0.9673087418517794,1.0,1.0,-0.9673087418517794,0.02498593022997528,-0.4144711455524954
2020-11-23,-289.04119146189896,2338.0,2716.0,406.5550875088541,0.9672463886089466,1.0,1.0,-0.9672463886089466,-0.013286862709313852,-0.42775800826180926
2020-11-24,-323.1871855395416,2329.0,2742.5,408.797624473363,0.9670691651921757,1.0,1.0,-0.9670691651921757,0.002786755144204679,-0.4249712531176046
2020-11-25,-315.5381854546167,2332.0,2738.25,410.9112012280132,0.9668723401641985,1.0,1.0,-0.9668723401641985,0.012044908408436202,-0.4129263447091684
2020-11-26,-287.6374633479945,2364.0,2743.0,412.77331482845,0.9666924766124662,1.0,1.0,-0.9666924766124662,-0.012475936823264503,-0.42540228153243287
2020-11-27,-320.70731659716375,2362.0,2776.0,414.77360231655024,0.9663931255753472,1.0,1.0,-0.9663931255753472,0.01601843610032862,-0.40938384543210427
2020-11-30,-282.4138983336711,2400.0,2776.2,416.4950815102236,0.9662178151191093,1.0,1.0,-0.9662178151191093,0.019498455521332236,-0.38988538991077204
2020-12-01,-232.12679367886676,2427.0,2752.5,417.7862199752957,0.9660769459323767,1.0,1.0,-0.9660769459323767,-0.0008242787577083018,-0.39070966866848034
2020-12-02,-230.97240296615973,2402.0,2725.5,419.13848018412546,0.9660511476669087,1.0,1.0,-0.9660511476669087,-0.00467809667598224,-0.39538776534446257
2020-12-03,-243.02780944761162,2398.0,2734.0,420.546263030159,0.9659940780715478,1.0,1.0,-0.9659940780715478,-0.018956701695809805,-0.4143444670402724
2020-12-04,-287.85648431936306,2350.0,2731.0,422.2402629784294,0.9658939891319528,1.0,1.0,-0.9658939891319528,-0.01621410213067343,-0.4305585691709458
2020-12-07,-329.50487630731004,2336.0,2760.0,424.20857312093204,0.9657626363432282,1.0,1.0,-0.9657626363432282,-0.012516796933837126,-0.44307536610478293
2020-12-08,-360.3085391129048,2318.0,2773.75,426.3583353150486,0.9655911812935213,1.0,1.0,-0.9655911812935213,-0.018537261975260927,-0.4616126280800439
2020-12-09,-410.9866332455372,2318.0,2827.0,428.89128490004543,0.9653295483712547,1.0,1.0,-0.9653295483712547,0.015652569613613696,-0.44596005846643016
2020-12-10,-375.66832938093194,2362.0,2836.75,431.0944179699813,0.9650721175221405,1.0,1.0,-0.9650721175221405,0.013120340577470531,-0.43283971788895964
2020-12-11,-332.0301189476618,2332.0,2760.85,432.98526098815967,0.9649311331465534,1.0,1.0,-0.9649311331465534,-0.024110485211015033,-0.4569502030999747
2020-12-14,-394.46889813149164,2314.0,2807.75,435.24169969719907,0.9646403341221589,1.0,1.0,-0.9646403341221589,0.023459436051706403,-0.4334907670482683
2020-12-15,-335.9002381439368,2350.0,2784.75,437.08144571277563,0.964503182743132,1.0,1.0,-0.964503182743132,-0.018139316315169428,-0.4516300833634377
2020-12-16,-380.7281251954164,2323.0,2803.95,439.1615560517819,0.9642568965906727,1.0,1.0,-0.9642568965906727,-0.009730928080008285,-0.461361011443446
2020-12-17,-407.27781369828926,2325.0,2834.75,441.3091397829146,0.9638514203010105,1.0,1.0,-0.9638514203010105,-0.0031995732513092822,-0.46456058469475525
2020-12-18,-416.43168071572245,2331.0,2851.75,443.4779178262845,0.9634195426372306,1.0,1.0,-0.9634195426372306,0.009372171160680936,-0.4551884135340743
2020-12-21,-385.9173190356655,2318.0,2807.5,445.41319593935174,0.9631050112326502,1.0,1.0,-0.9631050112326502,0.03834586597381941,-0.4168425475602549
2020-12-22,-285.6835249412311,2355.0,2742.25,446.6656101134072,0.9629623575316734,1.0,1.0,-0.9629623575316734,-0.02861254626897191,-0.4454550938292268
2020-12-23,-359.03989089613697,2330.0,2793.5,448.22368545035346,0.9626060107020358,1.0,1.0,-0.9626060107020358,-0.008442401024592705,-0.4538974948538195
2020-12-24,-381.53799533384426,2330.0,2818.0,449.8914146678983,0.9622207222618326,1.0,1.0,-0.9622207222618326,0.0,-0.4538974948538195
2020-12-25,-380.3910938197582,2330.0,2818.0,451.4101106071856,0.9618137309509434,1.0,1.0,-0.9618137309509434,0.0,-0.4538974948538195
2020-12-28,-378.9882167838791,2330.0,2818.0,452.774666271437,0.9613159037558123,1.0,1.0,-0.9613159037558123,0.025400656113503402,-0.42849683874031613
2020-12-29,-305.53513297748214,2325.0,2737.25,453.73402577978,0.9610138397944953,1.0,1.0,-0.9610138397944953,-0.002343074077661699,-0.43083991281797784
2020-12-30,-313.94731553457586,2342.0,2764.75,454.6378041661993,0.960646465515716,1.0,1.0,-0.960646465515716,0.01230711558316904,-0.4185327972348088
2020-12-31,-279.01637703165125,2342.0,2729.33,455.2645450944468,0.9603149406746899,1.0,1.0,-0.9603149406746899,0.0,-0.4185327972348088
2021-01-01,-277.7981316670489,2342.0,2729.33,455.5907297052564,0.9598685874068174,1.0,1.0,-0.9598685874068174,0.035013950743691305,-0.3835188464911175
2021-01-04,-199.69518941440992,2454.0,2765.75,455.2484936267638,0.9594848375357172,1.0,1.0,-0.9594848375357172,-0.019657499826190743,-0.40317634631730825
2021-01-05,-248.0590392249278,2423.0,2786.0,454.35571598718053,0.9587433737347192,1.0,1.0,-0.9587433737347192,-0.02644071772873594,-0.4296170640460442
2021-01-06,-315.4497131237431,2400.0,2835.25,453.4001800103685,0.9577461293091414,1.0,1.0,-0.9577461293091414,-0.0033266167942557715,-0.4329436808403
2021-01-07,-325.32316167957424,2415.0,2863.6,453.1913382892987,0.9569503986868187,1.0,1.0,-0.9569503986868187,0.03321120743597991,-0.39973247340432005
2021-01-08,-231.95298035456517,2435.0,2789.0,452.2456595152952,0.956239863877578,1.0,1.0,-0.956239863877578,-0.015782745343155054,-0.4155152187474751
2021-01-11,-262.6568476896914,2359.0,2744.0,451.3075450779374,0.9554143030939108,1.0,1.0,-0.9554143030939108,0.003115292511229062,-0.41239992623624605
