Date,GOLDBLN,GOLDHAR,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2020-02-26,1639.23,1634.9,5.297992897128552,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.014057893687393425
2020-02-27,1647.79,1652.0,-3.2193352324172793,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.014057893687393425
2020-02-28,1586.71,1609.85,-22.205219404325817,5.653383480943157,1,0.0,0.0,-0.0,0.0,0.014057893687393425
2020-03-02,1596.46,1599.65,-2.268742976175872,5.653383480943157,0,1.0,1.0,-0.9986741596225671,0.016337760115965216,0.03039565380335864
2020-03-03,1638.34,1615.5,23.7822715938064,5.653383480943157,-1,0.0,0.0,-0.0,0.0,0.03039565380335864
2020-03-04,1640.3,1641.85,-0.5727925122480428,5.653383480943157,0,-1.0,-1.0,0.9986741596225671,-0.0010304630015750965,0.029365190801783545
2020-03-05,1659.7,1659.6,1.100741154451498,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.029365190801783545
2020-03-06,1667.99,1683.65,-14.627372384471528,5.653383480943157,1,0.0,0.0,-0.0,0.0,0.029365190801783545
2020-03-09,1665.68,1672.5,-5.802155504679831,5.653383480943157,0,1.0,1.0,-0.9986741596225671,0.003151452187609604,0.03251664298939315
2020-03-10,1654.22,1655.7,-0.4844296230207874,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.03251664298939315
2020-03-11,1649.06,1653.75,-3.6970150117567755,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.03251664298939315
2020-03-12,1570.53,1570.7,0.7128739448974102,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.03251664298939315
2020-03-13,1530.94,1562.8,-30.987600194084052,5.653383480943157,1,0.0,0.0,-0.0,0.0,0.03251664298939315
2020-03-16,1502.23,1487.7,15.30282919357046,5.653383480943157,-1,1.0,1.0,-0.9986741596225671,-0.007787593297301422,0.024729049692091727
2020-03-17,1539.44,1536.2,4.077132451876196,5.653383480943157,0,-1.0,-1.0,0.9986741596225671,0.007022256392293411,0.03175130608438514
2020-03-18,1490.6,1498.2,-6.813249482466517,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.03175130608438514
2020-03-19,1475.03,1474.25,1.5349966404940005,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.03175130608438514
2020-03-20,1486.54,1494.4,-7.07828767590081,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.03175130608438514
2020-03-23,1543.67,1525.4,19.09281337579978,5.653383480943157,-1,0.0,0.0,-0.0,0.0,0.03175130608438514
2020-03-24,1622.25,1605.75,17.429344650126495,5.653383480943157,-1,-1.0,-1.0,0.9986741596225671,0.0055277048343935434,0.03727901091877868
2020-03-25,1612.98,1605.45,8.45894689801321,5.653383480943157,0,-1.0,-1.0,0.9986741596225671,0.007358159186761679,0.04463717010554036
2020-03-26,1630.56,1634.8,-3.272139686908986,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.04463717010554036
2020-03-27,1626.54,1617.3,10.184658106485813,5.653383480943157,0,0.0,0.0,-0.0,-0.0,0.04463717010554036
2020-03-30,1621.69,1618.3,4.335983946863507,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.04463717010554036
2020-03-31,1612.1,1608.95,4.083587339334144,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.04463717010554036
2020-04-01,1587.82,1576.55,12.160630111105547,5.653383480943157,-1,0.0,0.0,-0.0,0.0,0.04463717010554036
2020-04-02,1606.88,1616.8,-8.97600481370273,5.653383480943157,0,-1.0,-1.0,0.9986741596225671,-0.00966619962691045,0.03497097047862991
