Date,CRUDOIL,EIANYGR,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2019-06-17,51.93,1.665,51.649024560241,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.0374826655158571,0.05113801668999731
2019-06-18,53.9,1.694,53.61827028671312,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.003134787555996981,0.05427280424599429
2019-06-19,53.76,1.729,53.47735995659326,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.06089300326403398,-0.006620199018039695
2019-06-20,57.07,1.774,56.78618953215344,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.0026240664074133053,-0.009244265425453
2019-06-21,57.28,1.846,56.99431685304973,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.007906998109263803,-0.017151263534716805
2019-06-24,57.72,1.83,57.43473300396167,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.0025764502319303726,-0.014574813302786434
2019-06-25,57.6,1.865,57.31382267384181,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.025961389044889212,-0.040536202347675646
2019-06-26,59.15,1.933,58.862054032466084,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.0013373016305007238,-0.04187350397817637
2019-06-27,59.21,1.909,58.92267825883399,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.016267976001055357,-0.025605527977121015
2019-06-28,58.25,1.913,57.962574221106,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.010915699793150626,-0.03652122777027164
2019-07-01,58.87,1.893,58.58309440974592,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.0482144093176984,0.01169318154742676
2019-07-02,56.03,1.891,55.74314642860992,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.02192435591520341,-0.010231174367776649
2019-07-03,57.28,1.919,56.99241816451403,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.0,-0.010231174367776649
2019-07-04,57.28,1.919,56.99241816451403,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.0,-0.010231174367776649
2019-07-05,57.28,1.919,56.99241816451403,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.0031456906865169067,-0.013376865054293556
2019-07-08,57.44,1.893,57.15309440974592,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.0023183622892391778,-0.015695227343532733
2019-07-09,57.6,1.927,57.31221008905806,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.044448668319801876,-0.06014389566333461
2019-07-10,60.21,1.991,59.920545485410315,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.0038684773132951727,-0.05627541835003944
2019-07-11,59.97,1.982,59.68077957029828,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.00060907933257554,-0.056884497682614985
2019-07-12,59.99,1.961,59.7013257683702,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.009965487119277442,-0.04691901056333754
2019-07-15,59.35,1.908,59.06270426826598,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.03265146267624626,-0.01426754788709128
2019-07-16,57.4,1.893,57.11309440974592,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.014112034130239445,-0.0001555137568518359
2019-07-17,56.56,1.855,56.27408276816177,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.025746264690305727,0.025590750933453893
2019-07-18,55.08,1.825,54.794863051121645,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.005891523198134119,0.019699227735319774
2019-07-19,55.41,1.832,55.124680985097676,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.010694581263908483,0.00900464647141129
2019-07-22,55.99,1.816,55.70509713600961,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.0113581480200244,-0.0023535015486131107
2019-07-23,56.65,1.846,56.36431685304973,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.01656493638931004,0.01421143484069693
2019-07-24,55.71,1.844,55.42436887191373,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.0022027060645743047,0.012008728776122626
2019-07-25,55.85,1.866,55.563796664409814,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.006266786034019756,0.00574194274210287
2019-07-26,56.2,1.866,55.913796664409816,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.012033217003899931,-0.006291274261797061
2019-07-29,56.87,1.858,56.584004739865776,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.020343116923791395,-0.026634391185588455
2019-07-30,58.05,1.887,57.763250466337894,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.009267895120598595,-0.03590228630618705
2019-07-31,58.58,1.877,58.29351056065786,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.07759609476544524,0.041693808459258186
2019-08-01,53.95,1.773,53.666215541585444,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.03153464779416483,0.010159160665093356
2019-08-02,55.66,1.784,55.37592943783348,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.01669827289359343,0.026857433558686784
2019-08-05,54.69,1.734,54.407229909433276,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.01888698191965735,0.04574441547834414
2019-08-06,53.63,1.701,53.34808822068915,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.04673463384443768,0.09247904932278181
2019-08-07,51.09,1.66,50.809154607400984,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.028271609595578708,0.06420743972720311
2019-08-08,52.54,1.667,52.25897254137701,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.03711768008006914,0.02708975964713397
2019-08-09,54.5,1.679,54.21866042819306,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.007905399282488713,0.019184360364645256
2019-08-12,54.93,1.678,54.64868643762505,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.03846630707291921,-0.019281946708273955
2019-08-13,57.1,1.745,56.816943805681326,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.03184034993566662,0.012558403227392663
2019-08-14,55.23,1.684,54.94853038103307,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.013158281130599678,0.02571668435799234
2019-08-15,54.47,1.645,54.18954474888092,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.00712213496231463,0.01859454939567771
2019-08-16,54.87,1.659,54.58918061683298,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.023982381821976286,-0.005387832426298575
2019-08-19,56.21,1.687,55.92845235273709,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.0016699153384383124,-0.0037179170878602627
2019-08-20,56.13,1.703,55.84803620182516,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.007401222766698409,0.003683305678838146
2019-08-21,55.73,1.721,55.447568032049226,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.007666595256069756,0.0113499009349079
