Date,WHEATSF,EIAGCGR,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2018-02-26,4.72,1.861,3.7840175011791395,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,-0.011610697425290743,-0.0661113053238449
2018-02-27,4.75,1.83,3.823796619257098,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,-0.08075508884931637,-0.14686639417316127
2018-02-28,4.96,1.618,4.100673168693452,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,-0.004701354355986582,-0.15156774852914787
2018-03-01,5.11,1.749,4.209348508428535,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,0.02131900627934513,-0.13024874224980273
2018-03-02,4.99,1.737,4.09313397349097,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,-0.01040847990564548,-0.1406572221554482
2018-03-05,5.08,1.779,4.169884845772447,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,0.00021325078617917244,-0.14044397136926903
2018-03-06,5.06,1.758,4.156509409631708,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,0.017250686631273042,-0.12319328473799598
2018-03-07,4.96,1.744,4.060925785537883,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,-0.016513005833439464,-0.13970629057143544
2018-03-08,4.98,1.675,4.102692209646885,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,0.02441194797349928,-0.11529434259793615
2018-03-09,4.88,1.698,3.995436734943884,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,-0.00242074148437012,-0.11771508408230627
2018-03-12,4.89,1.696,4.006067645787623,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,0.005203964554264946,-0.11251111952804133
2018-03-13,4.85,1.68,3.971114932537536,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,0.06827252330350787,-0.04423859622453345
2018-03-14,4.64,1.813,3.71915936142888,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,-0.027495252264247486,-0.07173384848878094
2018-03-15,4.77,1.816,3.848212995163271,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,0.024600319308971812,-0.04713352917980912
2018-03-16,4.68,1.849,3.747802966241575,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,0.03461869967324712,-0.012514829506561999
2018-03-19,4.51,1.839,3.580957520460271,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,-0.0011627202091876341,-0.013677549715749634
2018-03-20,4.54,1.871,3.6008629469604436,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,0.00826152628092471,-0.005416023434824923
2018-03-21,4.54,1.92,3.5854056312888334,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,-0.005719683934735457,-0.01113570736956038
2018-03-22,4.56,1.912,3.60792927466379,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,-0.0071702079381282275,-0.01830591530768861
2018-03-23,4.61,1.935,3.6506737999607903,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,0.008939532936435212,-0.009366382371253397
2018-03-26,4.55,1.91,3.5985601855075293,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,0.01098901098901095,0.0016226286177575527
2018-03-27,4.5,1.91,3.5485601855075295,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,0.008723728982150961,0.010346357599908514
2018-03-28,4.46,1.909,3.508875640929399,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,-0.011965696989496646,-0.0016193393895881317
2018-03-29,4.52,1.918,3.566036542132572,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,0.0,-0.0016193393895881317
2018-03-30,4.52,1.918,3.566036542132572,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,-0.0007640278876730076,-0.0023833672772611393
2018-04-02,4.49,1.873,3.5502320361167046,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,-0.024498886414253684,-0.026882253691514823
2018-04-03,4.6,1.873,3.660232036116705,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,0.004179403544580762,-0.02270285014693406
2018-04-04,4.58,1.872,3.640547491538574,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,-0.019819167533516563,-0.04252201768045062
2018-04-05,4.67,1.871,3.7308629469604444,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,-0.022357300877024214,-0.06487931855747484
2018-04-06,4.75,1.84,3.8206420650384016,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,-0.032408555592199156,-0.09728787414967399
2018-04-09,4.93,1.872,3.9905474915385737,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,0.008244618220974814,-0.08904325592869917
2018-04-10,4.95,1.945,3.987519245742094,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,0.016101961571022894,-0.07294129435767628
2018-04-11,4.9,1.982,3.9258473951329194,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,0.01775897198299483,-0.05518232237468145
2018-04-12,4.82,1.991,3.8430082963360928,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,0.00047532208217413455,-0.054707000292507316
2018-04-13,4.82,1.994,3.842061930070484,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,0.035938636143383364,-0.018768364149123952
2018-04-16,4.63,1.972,3.659001949351615,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,-0.012238841341338723,-0.031007205490462673
2018-04-17,4.68,1.963,3.7118410481484405,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,-0.0009464335149093148,-0.03195363900537199
2018-04-18,4.71,1.997,3.7311155638048747,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,-0.005421638804062244,-0.03737527780943423
2018-04-19,4.74,2.003,3.7592228312736573,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,0.026199089055612364,-0.01117618875382187
2018-04-20,4.63,2.022,3.643229178258135,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,0.003851619677097378,-0.007324569076724492
2018-04-23,4.61,2.019,3.6241755445237445,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,-0.02292371097470829,-0.03024828005143278
2018-04-24,4.72,2.025,3.732282811992526,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,-0.03090726059110665,-0.06115554064253943
2018-04-25,4.86,2.017,3.8748064553674837,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,0.01404162564772183,-0.0471139149948176
2018-04-26,4.81,2.041,3.8172355252426122,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,-0.01824734097186706,-0.06536125596668466
2018-04-27,4.9,2.044,3.906289158977004,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,0.07547570893137649,0.010114452964691836
2018-04-30,4.54,2.057,3.542188238492699,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,-0.15842337434248327,-0.14830892137779145
2018-05-01,5.23,2.015,4.245437366211223,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,-0.0029745176255694086,-0.15128343900336086
2018-05-02,5.23,1.996,4.251431019226745,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,-0.019941718497110496,-0.17122515750047135
2018-05-03,5.35,2.015,4.365437366211222,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,0.027117029486889543,-0.1441081280135818
2018-05-04,5.22,2.033,4.229759168617569,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,0.027440593163815797,-0.11666753484976601
2018-05-07,5.08,2.037,4.088497346930091,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,-0.005750649060964901,-0.12241818391073091
2018-05-08,5.11,2.038,4.118181891508222,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,0.008767564710151131,-0.11365061920057978
2018-05-09,5.1,2.082,4.094301852945959,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,0.018868101531543433,-0.09478251766903635
2018-05-10,5.02,2.103,4.007677289086698,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,0.015636249823760356,-0.079146267845276
2018-05-11,4.94,2.101,3.928308199930438,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,0.021221530877018027,-0.057924736968257964
