Date,CRUDOIL,EIAGCGR,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2021-04-08,59.6,1.92,59.34881089997482,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,0.00021322559341722903,0.029506085786735366
2021-04-09,59.6,1.936,59.348401506835465,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,-0.001691068811395208,0.027815016975340157
2021-04-12,59.7,1.935,59.44842709390667,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,-0.00797408454195001,0.01984093243339015
2021-04-13,60.18,1.94,59.92829915855062,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,-0.04871886199322773,-0.028877929559837583
2021-04-14,63.15,1.988,62.897070979132536,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,-0.004625790228049644,-0.03350371978788723
2021-04-15,63.46,2.01,63.20650806356592,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,0.036232305926390304,0.002728586138503075
2021-04-16,61.13,1.972,60.877480372271904,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,-0.03670300366338815,-0.03397441752488507
2021-04-19,63.38,1.98,63.12727567570222,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,0.010827511876212998,-0.023146905648672077
2021-04-20,62.67,1.951,62.418017700767315,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,0.020538115453720734,-0.002608790194951343
2021-04-21,61.35,1.911,61.09904118361572,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,-0.0013243633572046472,-0.00393315355215599
2021-04-22,61.46,1.946,61.20814563612336,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,-0.01107725528244526,-0.015010408834601249
2021-04-23,62.14,1.945,61.88817122319457,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,0.003451368776741209,-0.01155904005786004
2021-04-26,61.91,1.926,61.658657377547556,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,-0.01598608468635809,-0.02754512474421813
2021-04-27,62.94,1.975,62.687403611058265,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,-0.014085921003805683,-0.041631045748023815
2021-04-28,63.86,2.016,63.60635454113866,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,-0.017690842822197943,-0.05932188857022176
2021-04-29,65.01,2.041,64.75571486435841,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,0.021545300587478493,-0.03777658798274327
2021-04-30,63.58,2.005,63.326635998921965,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,-0.013866019839017012,-0.05164260782176028
2021-05-03,64.49,2.04,64.23574045142962,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,-0.01820617022919817,-0.06984877805095845
2021-05-04,65.69,2.072,65.4349216651509,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,0.0006417036351024792,-0.06920707441585597
2021-05-05,65.63,2.05,65.37548458071751,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,0.013693460630575494,-0.055513613785280476
2021-05-06,64.71,2.024,64.45614984456897,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,-0.002531638113491928,-0.0580452518987724
2021-05-07,64.9,2.056,64.64533105829027,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,-0.00022105089504093046,-0.058266302793813333
2021-05-10,64.92,2.063,64.66515194879179,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,-0.005582495044341701,-0.06384879783815503
