Date,LCPCASH,JETCNWE,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2018-07-17,6116.0,677.0,6144.683991292546,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,0.0003650020791458946,0.15882891320894024
2018-07-18,6123.5,685.25,6151.106685408182,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,0.01367000466642886,0.1724989178753691
2018-07-19,6039.5,685.0,6067.139331041041,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,-0.012789702344455908,0.15970921553091322
2018-07-20,6122.5,690.0,6149.486418383851,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,0.0046789233989203505,0.16438813892983356
2018-07-23,6096.75,692.5,6123.409962055256,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,-0.02628283878472175,0.1381053001451118
2018-07-24,6264.75,699.25,6290.528529968049,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,0.0017461899584278494,0.13985149010353964
2018-07-25,6262.0,706.25,6286.864452247983,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,-0.0003026051047171752,0.13954888499882248
2018-07-26,6266.5,708.5,6291.070641552246,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,-0.001881814567936793,0.1376670704308857
2018-07-27,6274.25,705.0,6299.27768041228,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,0.008690592378020282,0.14635766280890597
2018-07-30,6223.5,708.25,6248.103287185107,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,-0.01195405121946121,0.13440361158944475
2018-07-31,6279.25,692.0,6305.975253320975,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,0.019834862475185844,0.1542384740646306
2018-08-01,6147.0,685.5,6174.5740397753225,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,0.007176056381567609,0.1614145304461982
2018-08-02,6110.5,692.0,6137.225253320975,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,-0.010662890453348273,0.1507516399928499
2018-08-03,6178.25,694.25,6204.6814426252395,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,0.01318042150589327,0.16393206149874318
2018-08-06,6103.5,700.0,6129.18059306947,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,-0.005591277332012182,0.158340784166731
2018-08-07,6142.75,704.5,6167.842971677999,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,-0.0028911380616856715,0.15544964610504533
2018-08-08,6144.0,690.0,6170.986418383851,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,-0.009722067913364092,0.14572757819168125
2018-08-09,6198.5,685.5,6226.0740397753225,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,0.007647163786695491,0.15337474197837675
2018-08-10,6160.25,693.25,6186.812025156677,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,0.00539407055101154,0.1587688125293883
2018-08-13,6123.25,690.0,6150.236418383851,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,0.01775945447726659,0.1765282670066549
2018-08-14,6009.0,685.25,6036.606685408182,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,0.04012740567042234,0.21665567267707722
2018-08-15,5759.0,677.5,5787.618700026826,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,-0.024319760465418717,0.1923359122116585
2018-08-16,5901.0,679.25,5929.39018059681,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,0.002093006110705708,0.1944289183223642
2018-08-17,5889.5,680.0,5917.792243698232,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,-0.01150502219281282,0.18292389612955137
2018-08-20,5961.5,683.75,5989.302559205339,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,-0.008618070786570778,0.17430582534298059
2018-08-21,6018.0,688.25,6045.214937813867,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,0.009112926070889035,0.18341875141386962
2018-08-22,5980.0,703.0,6005.288845475156,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,0.0028240394446634688,0.1862427908585331
2018-08-23,5967.0,706.5,5991.831806615123,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,-0.01786126552070176,0.16838152533783135
2018-08-24,6091.5,722.75,6114.209840479254,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,0.0,0.16838152533783135
2018-08-27,6091.5,722.75,6114.209840479254,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,-0.0074572787151926225,0.16092424662263874
2018-08-28,6135.0,721.0,6157.938359909271,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,0.01150957584840106,0.1724338224710398
2018-08-29,6073.0,728.75,6094.926345290626,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,0.0011466064949346348,0.17358042896597445
2018-08-30,6062.5,725.5,6084.8507385178,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,0.01563262629238811,0.18921305525836257
2018-08-31,5968.0,725.75,5990.318092884941,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,0.005428254812599228,0.1946413100709618
2018-09-03,5945.0,734.5,5966.175495734857,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,0.02475195577993445,0.21939326585089625
2018-09-04,5796.0,732.75,5817.404015164874,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,-0.010851974310679377,0.20854129154021686
2018-09-05,5854.25,728.25,5876.241636556345,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,-0.010156717475232627,0.19838457406498422
2018-09-06,5904.0,719.0,5927.199524972147,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,-0.0017723351951093485,0.19661223886987486
2018-09-07,5915.0,719.5,5938.134233706428,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,0.0037914594646169543,0.20040369833449181
2018-09-10,5891.5,718.5,5914.764816237866,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,0.010058636917297628,0.21046233525178945
2018-09-11,5843.75,729.25,5865.611054024907,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,-0.02361894383974047,0.18684339141204898
2018-09-12,5981.25,728.75,6003.176345290626,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,-0.006825345586733653,0.18001804582531533
2018-09-13,6013.5,720.75,6036.47100554213,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,0.009846033227963659,0.18986407905327898
2018-09-14,5950.75,717.5,5974.145398769304,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,0.004530427913714463,0.19439450696699345
2018-09-17,5920.0,714.0,5943.852437629337,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,-0.02249543732939347,0.1718990696376
2018-09-18,6064.0,724.0,6086.546612314957,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,-0.0038264164746289898,0.168072653162971
2018-09-19,6096.5,732.5,6117.936660797734,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,0.0027030077669576618,0.17077566092992866
2018-09-20,6075.0,727.88,6097.039952092977,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,-0.048756419792873845,0.12201924113705481
2018-09-21,6379.5,735.5,6400.544913203419,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,0.00614847926671523,0.12816772040377003
2018-09-24,6355.0,748.5,6374.347340294724,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,0.0071186609132873595,0.1352863813170574
2018-09-25,6314.75,753.0,6333.509718903253,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,0.007563478035251136,0.14284985935230854
2018-09-26,6270.0,755.75,6288.400616941798,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,0.014423854766252483,0.15727371411856103
2018-09-27,6182.0,758.0,6200.106806246063,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,-0.011503779209372967,0.14576993490918808
2018-09-28,6263.5,767.75,6280.333626564541,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,0.004072406274982559,0.14984234118417064
2018-10-01,6258.5,787.0,6272.819912834359,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,-0.004962476172838406,0.14487986501133224
