Date,EIAEBRT,FUELOIL,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2019-09-19,64.25,2.0121,63.98646108660952,27.79236121961297,-1,-1.0,-1.0,0.024856011820220618,-0.01558275056048875,-0.020584647543279634
2019-09-20,65.23,1.9853999999999998,64.96712474212514,27.79236121961297,-1,-1.0,-1.0,0.024856011820220618,0.008646918991448233,-0.011937728551831402
2019-09-23,64.66,1.9781,64.39730619101141,27.79236121961297,-1,-1.0,-1.0,0.024856011820220618,0.00777200405778579,-0.004165724494045612
2019-09-24,64.13,1.9443000000000001,63.86814632421094,27.79236121961297,-1,-1.0,-1.0,0.024856011820220618,0.02674893018488681,0.0225832056908412
2019-09-25,62.41,1.9387,62.14828551787713,27.79236121961297,-1,-1.0,-1.0,0.024856011820220618,0.005251715452323356,0.027834921143164555
2019-09-26,62.08,1.9359,61.81835511471023,27.79236121961297,-1,-1.0,-1.0,0.024856011820220618,-0.006551150872212725,0.02128377027095183
2019-09-27,62.48,1.9275,62.218563905209514,27.79236121961297,-1,-1.0,-1.0,0.024856011820220618,0.023272493432823945,0.04455626370377577
2019-09-30,60.99,1.8829,60.72967248333671,27.79236121961297,-1,-1.0,-1.0,0.024856011820220618,0.01528008358470426,0.05983634728848003
2019-10-01,60.06,1.8853,59.79961282890834,27.79236121961297,-1,-1.0,-1.0,0.024856011820220618,0.03517091002103952,0.09500725730951955
2019-10-02,57.92,1.8503999999999998,57.66048030372086,27.79236121961297,-1,-1.0,-1.0,0.024856011820220618,-0.0013322265715846212,0.09367503073793493
2019-10-03,58.01,1.8669,57.75007017952582,27.79236121961297,-1,-1.0,-1.0,0.024856011820220618,-0.019136596110298897,0.07453843462763603
2019-10-04,59.13,1.8797,58.86975202257453,27.79236121961297,-1,-1.0,-1.0,0.024856011820220618,-0.005397118226456516,0.06914131640117951
2019-10-07,59.46,1.8936000000000002,59.19940652401023,27.79236121961297,-1,-1.0,-1.0,0.024856011820220618,0.02210528863300569,0.0912466050341852
2019-10-08,58.14,1.8863999999999999,57.87958548729533,27.79236121961297,-1,-1.0,-1.0,0.024856011820220618,-0.026594609660409725,0.06465199537377547
2019-10-09,59.7,1.9043999999999999,59.43913807908257,27.79236121961297,-1,-1.0,-1.0,0.024856011820220618,0.01050142141746016,0.07515341679123563
2019-10-10,59.08,1.9133000000000002,58.81891686057737,27.79236121961297,-1,-1.0,-1.0,0.024856011820220618,-0.02527016061146525,0.04988325617977038
2019-10-11,60.59,1.9355000000000002,60.328365057114965,27.79236121961297,-1,-1.0,-1.0,0.024856011820220618,0.028792182354593587,0.07867543853436397
2019-10-14,58.81,1.8899000000000001,58.54949849125396,27.79236121961297,-1,-1.0,-1.0,0.024856011820220618,-0.006470692559228455,0.07220474597513551
2019-10-15,59.19,1.8891999999999998,58.929515890462234,27.79236121961297,-1,-1.0,-1.0,0.024856011820220618,-0.0011492652251641658,0.07105548074997135
2019-10-16,59.3,1.9431,59.03817615142512,27.79236121961297,-1,-1.0,-1.0,0.024856011820220618,-0.000676875145857512,0.07037860560411384
2019-10-17,59.35,1.9561000000000002,59.087853023271464,27.79236121961297,-1,-1.0,-1.0,0.024856011820220618,-0.010369501639082361,0.06000910396503148
2019-10-18,59.96,1.9488999999999999,59.69803198655657,27.79236121961297,-1,-1.0,-1.0,0.024856011820220618,0.016812678373984175,0.07682178233901565
2019-10-21,58.95,1.9464,58.68809412658612,27.79236121961297,-1,-1.0,-1.0,0.024856011820220618,-0.026262820444988195,0.05055896189402746
2019-10-22,60.5,1.9487999999999999,60.23803447215775,27.79236121961297,-1,-1.0,-1.0,0.024856011820220618,-8.696714860052397e-05,0.05047199474542694
2019-10-23,60.52,1.9679,60.25755972233198,27.79236121961297,-1,-1.0,-1.0,0.024856011820220618,-0.019410306766067326,0.031061687979359615
2019-10-24,61.71,1.9879,61.44706260209558,27.79236121961297,-1,-1.0,-1.0,0.024856011820220618,-0.005830486556906349,0.025231201422453265
2019-10-25,62.06,1.9752,61.797378273445695,27.79236121961297,-1,-1.0,-1.0,0.024856011820220618,0.02670180568126481,0.05193300710371808
2019-10-28,60.39,1.9587,60.12778839764073,27.79236121961297,-1,-1.0,-1.0,0.024856011820220618,-0.011017792137535487,0.04091521496618259
2019-10-29,61.05,1.9516999999999998,60.78796238972347,27.79236121961297,-1,-1.0,-1.0,0.024856011820220618,0.013056698987638168,0.053971913953820755
2019-10-30,60.22,1.9094,59.95901379902347,27.79236121961297,-1,-1.0,-1.0,0.024856011820220618,0.014924536617002038,0.06889645057082279
2019-10-31,59.3,1.8822999999999999,59.03968739694379,27.79236121961297,-1,-1.0,-1.0,0.024856011820220618,-0.014108625136142316,0.05478782543468047
2019-11-01,60.17,1.9249,59.908628530840254,27.79236121961297,-1,-1.0,-1.0,0.024856011820220618,-0.0396060968669716,0.015181728567708871
2019-11-04,62.52,1.8822999999999999,62.2596873969438,27.79236121961297,-1,-1.0,-1.0,0.024856011820220618,-0.0022983866202281513,0.01288334194748072
2019-11-05,62.72,1.9505000000000001,62.457992216937654,27.79236121961297,-1,-1.0,-1.0,0.024856011820220618,0.00934473749098552,0.02222807943846624
2019-11-06,62.11,1.9206,61.84873541169108,27.79236121961297,-1,-1.0,-1.0,0.024856011820220618,-0.008052295406886555,0.014175784031579685
2019-11-07,62.6,1.9080000000000001,62.33904859744002,27.79236121961297,-1,-1.0,-1.0,0.024856011820220618,0.009630259946264692,0.023806043977844377
2019-11-08,62.0,1.9115,61.73896160139864,27.79236121961297,-1,-1.0,-1.0,0.024856011820220618,-0.009430258468273885,0.014375785509570492
2019-11-11,62.58,1.9057,62.3191057662672,27.79236121961297,-1,-1.0,-1.0,0.024856011820220618,0.0059750762545731665,0.02035086176414366
2019-11-12,62.19,1.886,61.92959542970006,27.79236121961297,-1,-1.0,-1.0,0.024856011820220618,-0.0009858941959563507,0.01936496756818731
2019-11-13,62.27,1.9088,62.00902871263056,27.79236121961297,-1,-1.0,-1.0,0.024856011820220618,-0.0030512285209571832,0.016313739047230127
2019-11-14,62.46,1.9088,62.19902871263056,27.79236121961297,-1,-1.0,-1.0,0.024856011820220618,-0.013421129979982146,0.0028926090672479806
2019-11-15,63.32,1.9355000000000002,63.05836505711496,27.79236121961297,-1,-1.0,-1.0,0.024856011820220618,0.007251722521007845,0.010144331588255825
2019-11-18,62.82,1.8853,62.559612828908335,27.79236121961297,-1,-1.0,-1.0,0.024856011820220618,0.006592451607082265,0.01673678319533809
2019-11-19,62.37,1.8419999999999999,62.11068909422015,27.79236121961297,-1,-1.0,-1.0,0.024856011820220618,-0.022394675225790125,-0.005657892030452034
2019-11-20,63.8,1.8815,63.539707281753245,27.79236121961297,-1,-1.0,-1.0,0.024856011820220618,-0.018070764952080536,-0.02372865698253257
