Date,CRUDOIL,ETHANYH,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2019-07-02,56.03,1.74,55.18161184429219,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,-0.02230947706585762,0.0022155311548525125
2019-07-03,57.28,1.74,56.43161184429219,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,0.0,0.0022155311548525125
2019-07-04,57.28,1.74,56.43161184429219,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,0.0,0.0022155311548525125
2019-07-05,57.28,1.74,56.43161184429219,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,-0.0027932960893854997,-0.0005777649345329872
2019-07-08,57.44,1.74,56.59161184429219,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,-0.0027855153203342198,-0.003363280254867207
2019-07-09,57.6,1.74,56.75161184429219,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,-0.04531250000000009,-0.048675780254867296
2019-07-10,60.21,1.74,59.36161184429219,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,0.003986048829098143,-0.04468973142576915
2019-07-11,59.97,1.74,59.12161184429219,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,-0.0003335000833750712,-0.045023231509144224
2019-07-12,59.99,1.74,59.14161184429219,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,0.010668444740790095,-0.03435478676835413
2019-07-15,59.35,1.74,58.50161184429219,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,0.032855939342881224,-0.0014988474254729045
2019-07-16,57.4,1.74,56.55161184429219,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,0.014634146341463317,0.013135298915990412
2019-07-17,56.56,1.74,55.71161184429219,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,0.026166902404526238,0.03930220132051665
2019-07-18,55.08,1.74,54.23161184429219,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,-0.005991285403050162,0.03331091591746649
2019-07-19,55.41,1.74,54.56161184429219,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,-0.010467424652589985,0.022843491264876503
2019-07-22,55.99,1.74,55.14161184429219,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,-0.01178781925343797,0.011055672011438533
2019-07-23,56.65,1.74,55.80161184429219,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,0.01659311562224175,0.027648787633680283
2019-07-24,55.71,1.74,54.86161184429219,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,-0.0025130138215760933,0.02513577381210419
2019-07-25,55.85,1.74,55.00161184429219,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,-0.006266786034019756,0.018868987778084434
2019-07-26,56.2,1.74,55.351611844292194,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,-0.011921708185053337,0.006947279593031097
2019-07-29,56.87,1.74,56.02161184429219,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,-0.020749076841920067,-0.01380179724888897
2019-07-30,58.05,1.74,57.20161184429219,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,-0.009130060292851017,-0.022931857541739986
2019-07-31,58.58,1.74,57.73161184429219,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,0.0790372140662341,0.05610535652449411
2019-08-01,53.95,1.74,53.101611844292194,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,-0.03169601482854478,0.024409341695949327
2019-08-02,55.66,1.74,54.81161184429219,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,0.017427236794825718,0.041836578490775045
2019-08-05,54.69,1.74,53.84161184429219,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,0.019381971109892038,0.06121854960066708
2019-08-06,53.63,1.74,52.78161184429219,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,0.047361551370501576,0.10858010097116866
2019-08-07,51.09,1.74,50.241611844292194,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,-0.028381287923272547,0.08019881304789611
2019-08-08,52.54,1.74,51.69161184429219,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,-0.03894094188418472,0.04125787116371139
2019-08-09,54.5,1.57,53.654458538823505,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,-0.007889908256880629,0.033367962906830764
2019-08-12,54.93,1.57,54.084458538823505,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,-0.03950482432186431,-0.006136861415033543
2019-08-13,57.1,1.57,56.254458538823506,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,0.03274956217162883,0.02661270075659529
2019-08-14,55.23,1.57,54.3844585388235,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,0.013760637334781833,0.04037333809137712
2019-08-15,54.47,1.57,53.624458538823504,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,-0.00894335762166395,0.031429980469713174
2019-08-16,54.87,1.42,54.026970328115844,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,-0.0244213595771825,0.0070086208925306745
2019-08-19,56.21,1.42,55.36697032811585,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,0.0014232342999466185,0.008431855192477293
