Date,EIAEBRT,EIALALS,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2020-01-30,57.72,1.739,57.375794611130694,27.792329938902125,-1,-1.0,-1.0,0.024878633211548914,-0.0014385023489777466,0.08460170985707605
2020-01-31,57.77,1.699,57.42678975645916,27.792329938902125,-1,-1.0,-1.0,0.024878633211548914,0.06446805723581783,0.14906976709289388
2020-02-03,54.0,1.645,53.65813320265258,27.792329938902125,0,-1.0,-1.0,0.024878633211548914,0.0021392038463925655,0.15120897093928645
2020-02-04,53.9,1.664,53.55766050862156,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.15120897093928645
2020-02-05,55.36,1.725,55.01614291199566,27.792329938902125,0,0.0,0.0,-0.0,-0.0,0.15120897093928645
2020-02-06,55.18,1.74,54.83576973249748,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.15120897093928645
2020-02-07,54.53,1.724,54.18616779062887,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.15120897093928645
2020-02-10,53.39,1.694,53.046914149625216,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.15120897093928645
2020-02-11,54.0,1.71,53.65651609149383,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.15120897093928645
2020-02-12,55.54,1.795,55.194401407670846,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.15120897093928645
2020-02-13,56.34,1.803,55.99420237860516,27.792329938902125,-1,0.0,0.0,-0.0,0.0,0.15120897093928645
2020-02-14,57.37,1.819,57.023804320473765,27.792329938902125,-1,-1.0,-1.0,0.024878633211548914,-0.008018127941432862,0.1431908429978536
2020-02-17,57.83,1.819,57.483804320473766,27.792329938902125,-1,-1.0,-1.0,0.024878633211548914,0.008095033809078698,0.15128587680693228
2020-02-18,57.35,1.804,57.004177499971945,27.792329938902125,-1,-1.0,-1.0,0.024878633211548914,-0.040939053298094656,0.11034682350883762
2020-02-19,59.72,1.832,59.37348089824202,27.792329938902125,-1,-1.0,-1.0,0.024878633211548914,0.0002716007992527167,0.11061842430809034
2020-02-20,59.72,1.852,59.37298332557779,27.792329938902125,-1,-1.0,-1.0,0.024878633211548914,0.019197487981964627,0.12981591229005496
2020-02-21,58.6,1.885,58.25216233068181,27.792329938902125,-1,-1.0,-1.0,0.024878633211548914,0.04282812292209208,0.17264403521214705
2020-02-24,56.04,1.82,55.69377944184056,27.792329938902125,-1,-1.0,-1.0,0.024878633211548914,-0.01337738207930593,0.1592666531328411
2020-02-25,56.71,1.716,56.36636681969456,27.792329938902125,-1,-1.0,-1.0,0.024878633211548914,0.030554296271609202,0.18982094940445032
2020-02-26,54.96,1.695,54.616889270992004,27.792329938902125,0,-1.0,-1.0,0.024878633211548914,0.04998931664888404,0.23981026605333436
2020-02-27,52.19,1.667,51.84758587272192,27.792329938902125,0,0.0,0.0,-0.0,-0.0,0.23981026605333436
2020-02-28,51.31,1.686,50.96711317869091,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-03-02,52.52,1.756,52.175371674366104,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-03-03,52.24,1.745,51.89564533933143,27.792329938902125,0,0.0,0.0,-0.0,-0.0,0.23981026605333436
2020-03-04,51.86,1.748,51.51557070343179,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-03-05,51.29,1.694,50.946914149625215,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-03-06,45.6,1.512,45.26144206086972,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-03-09,35.33,1.259,34.997736355072234,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-03-10,35.57,1.349,35.2354972780832,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-03-11,34.45,1.314,34.1163680302456,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-03-12,31.02,1.24,30.688209049103257,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-03-13,32.25,1.272,31.917412932840485,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-03-16,27.98,1.154,27.65034861155945,27.792329938902125,0,0.0,0.0,-0.0,-0.0,0.23981026605333436
2020-03-17,27.97,1.155,27.640323732926237,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-03-18,22.79,1.059,22.462712081714546,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-03-19,23.3,1.112,22.971393514154336,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-03-20,25.4,1.086,25.072040358617834,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-03-23,25.06,1.033,24.733358926178045,27.792329938902125,0,0.0,0.0,-0.0,-0.0,0.23981026605333436
2020-03-24,23.75,1.122,23.42114472782222,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-03-25,25.62,1.112,25.291393514154336,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-03-26,23.55,1.085,23.222065237251048,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-03-27,22.39,1.074,22.062338902216375,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-03-30,19.07,1.033,18.743358926178047,27.792329938902125,0,0.0,0.0,-0.0,-0.0,0.23981026605333436
2020-03-31,14.85,1.055,14.522811596247395,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-04-01,14.97,1.007,14.64400577064155,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-04-02,20.24,1.058,19.912736960347758,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-04-03,24.33,1.166,24.00005006796091,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-04-06,22.58,1.112,22.251393514154334,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
