Date,EIAEBRT,EIANYLS,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2018-05-03,73.45,2.135,73.10643409241295,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,-0.01725531241988102,-0.12355725781632232
2018-05-04,74.75,2.173,74.40548657380992,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,0.0001835965031168351,-0.12337366131320548
2018-05-07,74.75,2.189,74.40508761860865,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,0.007881585679501502,-0.11549207563370398
2018-05-08,74.16,2.188,73.81511255330874,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,-0.045827782371968225,-0.1613198580056722
2018-05-09,77.6,2.237,77.25389075300482,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,0.00017345194286735185,-0.16114640606280484
2018-05-10,77.59,2.241,77.24379101420452,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,0.0028131637445611476,-0.1583332423182437
2018-05-11,77.37,2.239,77.02384088360468,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,-0.00997241940685855,-0.16830566172510225
2018-05-14,78.17,2.272,77.82301803850206,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,-0.009894225331960063,-0.1781998870570623
2018-05-15,78.94,2.268,78.59311777730237,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,0.00969878119450579,-0.1685011058625565
2018-05-16,78.19,2.286,77.84266895270093,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,-0.024157984198988094,-0.1926590900615446
2018-05-17,80.09,2.299,79.74234480159991,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,0.02116660002495403,-0.1714924900365906
2018-05-18,78.38,2.282,78.03276869150125,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,0.0006196011404603509,-0.17087288889613023
2018-05-21,78.34,2.292,77.99251934450047,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,-0.026627084933562747,-0.19749997382969298
2018-05-22,80.42,2.285,80.07269388740102,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,0.021643009772897896,-0.17585696405679507
2018-05-23,78.69,2.297,78.34239467100006,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,-0.0030052152872856674,-0.17886217934408075
2018-05-24,78.9,2.266,78.55316764670253,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,0.028534608821250886,-0.15032757052282986
2018-05-25,76.6,2.21,76.25456398990698,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,0.0,-0.15032757052282986
2018-05-28,76.6,2.21,76.25456398990698,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,0.027092789915033604,-0.12323478060779625
2018-05-29,74.51,2.193,74.16498787980834,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,-0.01792975701378349,-0.14116453762157974
2018-05-30,75.89,2.245,75.5436912754042,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,-0.0075790232023356325,-0.14874356082391538
2018-05-31,76.45,2.227,76.10414010000564,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,0.024479805032953973,-0.12426375579096141
2018-06-01,74.54,2.182,74.19526216150922,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,0.014908241885603316,-0.1093555139053581
2018-06-04,73.41,2.16,73.06581072491096,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,0.006568640468111398,-0.1027868734372467
2018-06-05,72.91,2.139,72.56633435361263,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,-0.004354001177212856,-0.10714087461445955
2018-06-06,73.23,2.142,72.8862595495124,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,-0.026822295564384716,-0.13396317017884427
2018-06-07,75.23,2.184,74.88521229210906,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,0.0013439346156909966,-0.13261923556315328
2018-06-08,75.11,2.162,74.7657608555108,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,0.007044784237370909,-0.12557445132578238
2018-06-11,74.58,2.161,74.23578579021088,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,-0.003765896237389488,-0.12934034756317186
2018-06-12,74.86,2.16,74.51581072491096,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,-0.0025859034313980575,-0.13192625099456992
2018-06-13,75.07,2.179,74.72533696560944,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,0.0037330768932361015,-0.12819317410133382
2018-06-14,74.77,2.156,74.42591046371128,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,0.03588893199862997,-0.09230424210270385
2018-06-15,72.02,2.079,71.6778304356174,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,-0.03892468646886349,-0.13122892857156734
2018-06-18,74.87,2.133,74.52648396181311,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,-0.0007847239008597646,-0.1320136524724271
2018-06-19,74.92,2.123,74.5767333088139,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,0.008696226753478671,-0.12331742571894844
2018-06-20,74.25,2.102,73.90725693751557,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,0.018336748832447132,-0.10498067688650131
2018-06-21,72.87,2.081,72.52778056621725,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,-0.010427279288179169,-0.11540795617468048
