Date,EIAEBRT,EIAGCLS,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2018-09-26,81.87,2.268,81.57158106292609,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,0.004118570940643125,-0.2228693219935796
2018-09-27,81.54,2.276,81.24138195421959,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,-0.014132432871635998,-0.23700175486521557
2018-09-28,82.72,2.307,82.4206104079819,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,-0.026222591566856992,-0.26322434643207254
2018-10-01,84.94,2.364,84.6391917584481,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,-0.00824971922200278,-0.27147406565407534
2018-10-02,85.63,2.352,85.32949042150786,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,0.002451269164512248,-0.26902279648956307
2018-10-03,85.45,2.385,85.14866909809356,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,-0.007579204561419869,-0.2766020010509829
2018-10-04,86.07,2.354,85.76944064433123,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,0.010921225779276195,-0.26568077527170675
2018-10-05,85.12,2.343,84.81971441880268,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,0.010615798391568078,-0.2550649768801387
2018-10-08,84.22,2.347,83.91961486444941,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,-0.010896133704788818,-0.2659611105849275
2018-10-09,85.16,2.372,84.85899264974161,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,0.015399321791551207,-0.2505617887933763
2018-10-10,83.82,2.34,83.51978908456759,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,0.028840374638434602,-0.2217214141549417
2018-10-11,81.35,2.281,81.05125751127801,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,0.007823595272150024,-0.2138978188827917
2018-10-12,80.71,2.277,80.41135706563126,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,-0.0024889381114734195,-0.2163867569942651
2018-10-15,80.91,2.276,80.61138195421958,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,0.004849669692684355,-0.21153708730158075
2018-10-16,80.53,2.29,80.2310335139832,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,0.00740554792592465,-0.2041315393756561
2018-10-17,79.91,2.263,79.61170550586763,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,-0.005034463259060333,-0.20916600263471644
2018-10-18,80.3,2.249,80.002053946104,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,-0.0009409314436839406,-0.21010693407840036
2018-10-19,80.38,2.254,80.08192950316244,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,-0.0006941919645191854,-0.21080112604291956
2018-10-22,80.45,2.27,80.15153128574946,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,0.021259377086229717,-0.18954174895668985
2018-10-23,78.67,2.191,78.3734974842261,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,0.016803828115360377,-0.17273792084132947
2018-10-24,77.34,2.182,77.04372148152092,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,0.0009278242815725652,-0.1718100965597569
2018-10-25,77.3,2.218,77.00282549234169,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,-0.0009345831410600293,-0.17274467970081694
2018-10-26,77.4,2.25,77.10202905751571,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,-0.0023769081170831605,-0.1751215878179001
2018-10-29,77.56,2.222,77.26272593798844,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,0.024082484819784467,-0.15103910299811563
2018-10-30,75.68,2.208,75.3830743782248,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,0.010930285666886481,-0.14010881733122915
2018-10-31,74.84,2.193,74.5434477070495,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,0.047446941682509375,-0.09266187564871978
2018-11-01,71.25,2.147,70.95459258211184,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,0.001628736658414108,-0.09103313899030567
2018-11-02,71.11,2.118,70.8153143511729,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,-0.021949209130279757,-0.11298234812058543
2018-11-05,72.68,2.129,72.38504057670147,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,0.02800979300065554,-0.08497255511992989
2018-11-06,70.64,2.124,70.34516501964302,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,0.008195130293033263,-0.07677742482689663
2018-11-07,70.1,2.171,69.80399525599235,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,0.010695113100578187,-0.06608231172631844
2018-11-08,69.29,2.096,68.99586190011577,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,0.0038984952376161734,-0.06218381648870227
2018-11-09,69.01,2.084,68.7161605631755,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,-0.012022460048900434,-0.0742062765376027
2018-11-12,69.81,2.048,69.51705655235475,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,0.06150733042067453,-0.012698946116928171
2018-11-13,65.45,1.97,65.1589978622431,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,0.009125853559433916,-0.0035730925574942556
2018-11-14,64.88,2.003,64.58817653882879,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,-0.011537331387497126,-0.015110423944991382
2018-11-15,65.61,1.98,65.31874897635997,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,0.004927585265215918,-0.010182838679775465
2018-11-16,65.29,1.984,64.99864942200672,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,0.01773916990163149,0.007556331221856026
2018-11-19,64.14,1.994,63.848400536123606,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,0.039886825165685494,0.04744315638754152
2018-11-20,61.5,1.892,61.21093917213143,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,-0.0026626533549934063,0.044780503032548116
2018-11-21,61.65,1.875,61.36136227813274,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,0.008759124087591275,0.05353962712013939
2018-11-22,61.11,1.875,60.82136227813274,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,0.055964653902798256,0.10950428102293765
2018-11-23,57.69,1.875,57.40136227813274,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,-0.035929854584596445,0.0735744264383412
2018-11-26,59.7,1.793,59.413403142374335,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,0.0017879546500327195,0.07536238108837391
2018-11-27,59.58,1.777,59.29380135978733,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,0.026630323929806396,0.10199270501818031
2018-11-28,57.97,1.749,57.68449824026007,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,-0.005520096601690616,0.09647260841648969
2018-11-29,58.29,1.749,58.00449824026007,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,0.009651414934289443,0.10612402335077914
2018-11-30,57.71,1.728,57.425020900614626,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,-0.041805950002696816,0.06431807334808232
2018-12-03,60.17,1.785,59.88360225108083,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,-0.01749238631604671,0.04682568703203561
2018-12-04,61.22,1.782,60.93367691684577,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,-0.003093848876997748,0.04373183815503786
2018-12-05,61.4,1.771,61.1139506913172,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,0.05803089519917428,0.10176273335421214
2018-12-06,57.83,1.763,57.544149800023696,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,-0.06675439189964287,0.03500834145456927
2018-12-07,61.71,1.787,61.42355247390421,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,0.022216985084481944,0.05722532653905121
2018-12-10,60.29,1.73,60.004971123438,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,0.009389144481109803,0.06661447102016102
2018-12-11,59.73,1.737,59.44479690331981,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,-0.0034871642140180794,0.06312730680614294
2018-12-12,59.94,1.739,59.654747126143185,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,0.015740016970715268,0.0788673237768582
2018-12-13,59.03,1.778,58.74377647119902,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,0.007402129946674675,0.08626945372353288
2018-12-14,58.56,1.738,58.274772014731504,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,0.015962757299807694,0.10223221102334057
