Date,EIAEBRT,EIANYHO,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2020-03-31,14.85,0.972,14.612485211165891,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-04-01,14.97,0.92,14.733777911190542,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-04-02,20.24,0.978,20.002336053470735,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-04-03,24.33,1.081,24.089775513037292,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-04-06,22.58,1.032,22.340993634214367,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-04-07,22.1,0.997,21.861863720769424,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-04-08,25.22,0.999,24.981814001537703,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-04-09,20.23,0.968,19.992584649629325,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-04-10,20.23,0.968,19.992584649629325,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-04-13,20.23,0.984,19.992186895775585,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-04-14,21.74,0.939,21.503305578489222,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-04-15,19.8,0.903,19.564200524660137,27.792356237987498,0,0.0,0.0,-0.0,-0.0,0.23674110061043083
2020-04-16,18.69,0.93,18.453529315031954,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-04-17,19.75,0.944,19.51318128040993,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-04-20,17.36,0.878,17.124822015056605,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-04-21,9.12,0.73,8.888501238203688,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-04-22,13.77,0.733,13.538426659356112,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-04-23,15.06,0.712,14.828948711289144,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-04-24,15.87,0.655,15.640365709393087,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-04-27,15.17,0.562,14.942677653667944,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-04-28,15.6,0.583,15.372155601734912,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-04-29,17.86,0.652,17.63044028824066,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-04-30,18.11,0.72,17.87874983436227,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-05-01,18.49,0.755,18.25787974780722,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
