Date,LCPCASH,GOEUARA,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2021-07-01,9296.25,596.0,9334.291513095619,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,-0.004724026750765427,-0.299039994600657
2021-07-02,9350.52,601.5,9387.897681687724,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,-0.012814515394560093,-0.3118545099952171
2021-07-05,9481.6,607.5,9518.25350197002,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,0.018073045864229954,-0.2937814641309871
2021-07-06,9281.04,592.0,9319.56429957409,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,-0.017667907603725122,-0.3114493717347122
2021-07-07,9422.31,580.0,9462.282659009496,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,0.016440532410139156,-0.29500883932457306
2021-07-08,9287.5,590.25,9326.23551865842,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,-0.01912868935048524,-0.3141375286750583
2021-07-09,9482.25,599.25,9519.899249081864,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,0.011135558911606919,-0.3030019697634514
2021-07-12,9374.75,598.25,9412.51994570148,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,0.0017624104622179677,-0.3012395593012334
2021-07-13,9375.25,607.25,9411.933676124925,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,0.0050712085598124505,-0.29616835074142095
2021-07-14,9302.55,593.75,9340.863080489757,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,-0.018149092221930556,-0.3143174429633515
2021-07-15,9452.0,583.5,9491.550220840836,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,0.00673748525865845,-0.30757995770469304
2021-07-16,9391.25,585.0,9430.61917591141,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,0.014161761023990768,-0.2934181966807023
2021-07-19,9188.5,549.0,9232.214254217633,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,-0.01243292841705949,-0.3058511250977618
2021-07-20,9303.75,549.5,9347.403905907824,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,0.004728329794672579,-0.3011227953030892
2021-07-21,9318.0,578.0,9358.214052248732,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,-0.00804588107080696,-0.30916867637389617
2021-07-22,9417.78,590.75,9456.45517034861,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,-0.008046151449906924,-0.3172148278238031
2021-07-23,9495.0,591.5,9533.584647883898,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,-0.030850126732362673,-0.34806495455616576
2021-07-26,9793.25,594.25,9831.50273217995,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,0.004828096192060498,-0.3432368583641053
2021-07-27,9740.0,591.25,9778.614822038802,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,0.008109081812123078,-0.3351277765519822
2021-07-28,9664.0,592.75,9702.433777109376,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,-0.012493948331616383,-0.3476217248835986
2021-07-29,9799.5,600.25,9837.028552462245,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,0.010604495680388312,-0.3370172292032103
2021-07-30,9701.0,603.0,9738.196636758297,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,-0.00024130269979274512,-0.33725853190300303
2021-08-02,9674.7,588.25,9713.676911897654,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,0.01434756768628968,-0.32291096421671334
2021-08-03,9521.5,581.0,9561.35196238988,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,0.004686094426077305,-0.318224869790636
2021-08-04,9443.75,564.25,9485.623630768469,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,-0.0011747834316248394,-0.3193996532222609
2021-08-05,9471.51,572.5,9512.387883656625,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,0.0012702797631904672,-0.31812937345907044
2021-08-06,9446.0,565.75,9487.692585839042,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,0.008957165550859778,-0.30917220790821065
2021-08-09,9342.75,556.5,9385.559029570502,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,-0.013830044976094209,-0.32300225288430484
2021-08-10,9494.25,567.5,9535.731366754713,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,0.0029390413179900122,-0.32006321156631484
2021-08-11,9482.5,575.5,9523.015793797775,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,0.004825272060630081,-0.31523793950568474
2021-08-12,9435.75,575.0,9476.326142107582,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,-0.013412427764533849,-0.32865036727021857
2021-08-13,9542.5,565.0,9584.283108303756,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,0.011981809029661573,-0.316668558240557
2021-08-16,9419.5,560.75,9461.796068937128,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,0.019763335002593516,-0.2969052232379635
2021-08-17,9226.75,557.5,9269.438332950886,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,0.019700941368820873,-0.2772042818691426
2021-08-18,9024.0,547.0,9067.955647456867,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,0.012254671803403637,-0.26494961006573897
2021-08-19,8894.0,537.25,8939.132439498137,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,-0.01916802995425919,-0.2841176400199982
2021-08-20,9044.0,527.0,9090.369579849214,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,-0.021710124166177066,-0.30582776418617524
2021-08-23,9301.45,556.5,9344.259029570503,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,-0.004325499608224258,-0.3101532637943995
2021-08-24,9378.5,574.75,9419.106316262487,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,0.0027560220900621378,-0.30739724170433735
2021-08-25,9362.5,579.75,9402.5028331644,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,0.004865243885696365,-0.302531997818641
2021-08-26,9315.0,578.75,9355.123529784018,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,-0.009693520984596653,-0.3122255188032376
2021-08-27,9423.75,588.25,9462.726911897653,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,0.0,-0.3122255188032376
2021-08-30,9423.75,588.25,9462.726911897653,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,-0.010935119503760513,-0.32316063830699815
