Date,EIAEBRT,OILBREN,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2019-02-05,61.67,62.17,-1.1602298620057852,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1462853201657868
2019-02-06,62.22,62.71,-1.145314361930204,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1462853201657868
2019-02-07,61.01,61.38,-1.0374210565608024,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1462853201657868
2019-02-08,61.37,61.87,-1.1629606953811091,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1462853201657868
2019-02-11,61.3,61.4,-0.7672390010024444,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1462853201657868
2019-02-12,62.58,62.66,-0.7357695008260876,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1462853201657868
2019-02-13,63.27,63.77,-1.1456654173373906,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1462853201657868
2019-02-14,64.0,64.16,-0.802115333949466,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1462853201657868
2019-02-15,65.65,65.95,-0.9258213614767072,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1462853201657868
2019-02-18,66.41,66.57,-0.7801776391677038,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1462853201657868
2019-02-19,65.86,66.14,-0.9040918336723394,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1462853201657868
2019-02-20,66.82,67.07,-0.8656262502088339,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1462853201657868
2019-02-21,66.91,67.16,-0.8648070001962367,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1462853201657868
2019-02-22,66.91,67.26,-0.9638967224044706,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1462853201657868
2019-02-25,64.02,64.88,-1.4955613338486984,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1462853201657868
2019-02-26,64.51,65.37,-1.4911009726690025,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1462853201657868
2019-02-27,65.55,66.55,-1.6203596947260621,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1462853201657868
2019-02-28,65.03,66.02,-1.6151841670224627,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1462853201657868
2019-03-01,63.71,65.22,-2.142466389356663,0.9396775737378742,1,0.0,0.0,-0.0,0.0,0.1462853201657868
2019-03-04,64.44,65.89,-2.0763675281517777,0.9396775737378742,1,1.0,1.0,-0.9908972220822548,-0.0017501830380760616,0.14453513712771074
2019-03-05,64.24,65.8,-2.1871867781643743,0.9396775737378742,1,1.0,1.0,-0.9908972220822548,0.005859503904933582,0.15039464103264433
2019-03-06,64.51,65.69,-1.8081880837353168,0.9396775737378742,0,1.0,1.0,-0.9908972220822548,0.0002801228812146636,0.15067476391385898
2019-03-07,64.82,65.99,-1.795457250360002,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.15067476391385898
2019-03-08,65.66,65.79,-0.7572778059435592,0.9396775737378742,0,0.0,0.0,-0.0,-0.0,0.15067476391385898
2019-03-11,65.06,66.36,-1.9220892225304311,0.9396775737378742,1,0.0,0.0,-0.0,0.0,0.15067476391385898
2019-03-12,65.33,66.7,-1.9889942780384047,0.9396775737378742,1,1.0,1.0,-0.9908972220822548,0.0011438507534883326,0.1518186146673473
2019-03-13,65.89,67.2,-1.924442889079529,0.9396775737378742,1,1.0,1.0,-0.9908972220822548,0.0017470858643059209,0.15356570053165322
2019-03-14,66.18,67.38,-1.812804389054321,0.9396775737378742,0,1.0,1.0,-0.9908972220822548,0.006001208087864275,0.1595669086195175
2019-03-15,66.11,66.9,-1.407173722454857,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-03-18,66.65,67.44,-1.4022582223792597,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
