Date,LNICASH,RHODNWE,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2018-10-10,12604.0,2560.0,12469.643939338494,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,-0.000381966425539508,0.0038961684376795707
2018-10-11,12601.5,2545.0,12468.6295486973,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.000228871094622415,0.004125039532301986
2018-10-12,12579.0,2505.0,12450.091173654118,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.003537642101915872,0.007662681634217858
2018-10-15,12534.5,2505.0,12405.591173654118,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.0008429789108857746,0.008505660545103632
2018-10-16,12516.5,2490.0,12389.076783012924,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.017019256037676775,0.02552491658278041
2018-10-17,12298.5,2480.0,12172.06718925213,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.0018294914013904373,0.027354407984170846
2018-10-18,12276.0,2480.0,12149.56718925213,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,-0.00782013685239491,0.019534271131775936
2018-10-19,12372.0,2480.0,12245.56718925213,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,-0.006102489492402219,0.013431781639373717
2018-10-22,12447.5,2480.0,12321.06718925213,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.012213617138352097,0.025645398777725814
2018-10-23,12290.5,2470.0,12165.057595491333,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.012123184573451073,0.03776858335117689
2018-10-24,12141.5,2470.0,12016.057595491333,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.005323194985935854,0.04309177833711274
2018-10-25,12072.0,2460.0,11947.548001730538,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.01890983475032756,0.0620016130874403
2018-10-26,11834.0,2440.0,11711.528814208947,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.012506337671117085,0.07450795075855739
