Date,CRUDOIL,NAFCNWE,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2018-01-01,60.42,593.8,-5589.5580909274995,2186.0991508776,1,,,,,
2018-01-02,60.37,592.5,-5577.183043904394,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.01945667457821932,-0.01945667457821932
2018-01-03,61.63,595.0,-5599.817365102674,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.08648287437499479,0.06702619979677546
2018-01-04,62.01,590.0,-5551.648722706115,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.02320701379504736,0.09023321359182282
2018-01-05,61.44,588.0,-5533.103265747492,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.027789228458542425,0.062443985133280394
2018-01-08,61.73,590.0,-5551.928722706116,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.10157106652835736,-0.039127081395076965
2018-01-09,62.96,597.5,-5622.381686300953,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.036882228328478664,-0.0022448530665983013
2018-01-10,63.57,595.8,-5605.523547886123,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.06457705215501242,0.062332199088414114
2018-01-11,63.8,592.0,-5568.974179664739,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.02398180221606988,0.086314001304484
2018-01-12,64.3,591.0,-5558.916451185427,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.0,0.086314001304484
2018-01-15,64.3,591.0,-5558.916451185427,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.008864696734059097,0.0774493045704249
2018-01-16,63.73,591.0,-5559.4864511854275,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.05228227555706071,0.12973158012748562
2018-01-17,63.97,588.0,-5530.573265747491,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.1303497687205787,-0.0006181885930930942
2018-01-18,63.95,596.0,-5607.055093581986,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.08714915746655923,0.08653096887346613
2018-01-19,63.37,590.0,-5550.288722706116,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.03734278194876358,0.04918818692470255
2018-01-22,63.57,592.5,-5573.983043904394,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.041200385713997624,0.007987801210704928
2018-01-23,64.54,596.0,-5606.4650935819855,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.018593120545397968,0.026580921756102896
2018-01-24,65.74,596.0,-5605.265093581986,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.1140805729406279,-0.087499651184525
2018-01-25,65.62,603.0,-5672.289192937168,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.17557166164328664,0.08807201045876163
2018-01-26,66.22,592.5,-5571.333043904394,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.0810199294628472,0.1690919399216088
2018-01-29,65.71,587.0,-5519.2755372681795,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.08156250102739551,0.25065444094900435
2018-01-30,64.65,581.0,-5462.98916639231,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.0030935808197987136,0.25374802176880307
2018-01-31,64.85,581.0,-5462.789166392309,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.08220326136709563,0.17154476040170744
2018-02-01,65.92,587.0,-5519.0655372681795,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.07610219053349344,0.2476469509352009
2018-02-02,65.57,582.0,-5471.6268948716215,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.07870714328882322,0.3263540942240241
2018-02-05,64.27,576.0,-5415.58052399575,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.22048078773347518,0.5468348819574993
2018-02-06,63.51,562.0,-5282.532325285386,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.19589336295217763,0.7427282449096769
2018-02-07,61.91,549.0,-5159.881855054334,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.16375582810413405,0.906484073013811
2018-02-08,61.27,539.0,-5064.944570261216,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.03910299694529269,0.9455870699591037
2018-02-09,59.32,535.0,-5028.663656343969,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.0015171948752528142,0.9471042648343565
2018-02-12,59.41,535.0,-5028.573656343969,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.0016832183134151135,0.9454210465209414
2018-02-13,59.31,535.0,-5028.673656343968,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.023773394031360695,0.9691944405523021
2018-02-14,60.72,535.0,-5027.263656343968,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.023542737816840575,0.9456517027354615
2018-02-15,61.46,537.0,-5045.639113302592,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.243645225422207,0.7020064773132545
2018-02-16,61.8,551.0,-5179.107312012957,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.12142304783154634,0.5805834294817082
2018-02-19,61.8,558.0,-5246.011411368138,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.15593684623172194,0.7365202757134302
2018-02-20,61.91,549.0,-5159.881855054334,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.0540047972117282,0.6825154785017019
2018-02-21,61.8,552.0,-5188.665040492268,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.15793689907294117,0.5245785794287607
2018-02-22,62.74,562.0,-5283.302325285386,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.08158239240621598,0.44299618702254473
2018-02-23,63.49,567.5,-5335.119831921601,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.12095841819444489,0.32203776882809987
2018-02-26,63.83,575.0,-5406.462795516439,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.01441328528904906,0.3076244835390508
2018-02-27,62.91,575.0,-5407.382795516439,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.1984298458657232,0.506054329404774
2018-02-28,61.59,561.8,-5282.5407795895235,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.010553661308654094,0.4955006680961199
2018-03-01,60.94,561.8,-5283.190779589524,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.00426649163111259,0.4997671597272325
2018-03-02,61.2,561.8,-5282.930779589524,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.041378320525974815,0.4583888392012577
2018-03-05,62.52,565.5,-5316.974374962977,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.029212186705246352,0.48760102590650406
2018-03-06,62.55,563.8,-5300.696236548147,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.026571922547843196,0.4610291033586609
2018-03-07,61.1,564.0,-5304.057782244009,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.1526056604351508,0.6136347637938117
2018-03-08,60.07,554.0,-5209.510497450892,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.17506389948871662,0.43857086430509507
2018-03-09,61.99,566.0,-5322.283239202633,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.18322461866852371,0.6217954829736188
2018-03-12,61.31,554.5,-5213.049361690548,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.01060185940303382,0.6111936235705849
2018-03-13,60.66,554.5,-5213.699361690548,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.04758865074101149,0.5636049728295734
2018-03-14,60.91,557.5,-5242.122547128483,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.08194347488721208,0.48166149794236135
2018-03-15,61.14,562.5,-5289.681189525041,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.06274999286971424,0.41891150507264713
2018-03-16,62.29,567.3,-5334.408286225738,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.004495103547921042,0.4144164015247261
2018-03-19,62.01,567.3,-5334.688286225738,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.08901280566315048,0.32540359586157563
2018-03-20,63.49,574.0,-5397.245067037127,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.115860972366023,0.20954262349555264
2018-03-21,65.12,582.5,-5476.855759111277,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.07109548763075184,0.13844713586480079
2018-03-22,64.23,586.0,-5511.197808788868,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.024910477969795952,0.16335761383459674
2018-03-23,65.83,586.0,-5509.597808788868,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.004709099194895927,0.1586485146397008
2018-03-26,65.52,586.0,-5509.907808788867,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.0045787545787545625,0.15406976006094625
2018-03-27,65.22,586.0,-5510.207808788868,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.09489005071581223,0.059179709345134016
