Date,LCPCASH,LTICASH,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2020-10-21,6977.75,18737.5,-41391.798106986345,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.0036375287157974215,0.06981687217153099
2020-10-22,6907.0,18686.0,-41340.71982643206,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.023975785798839855,0.09379265797037084
2020-10-23,6852.25,18434.0,-40799.339210904305,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.03335810062342587,0.1271507585937967
2020-10-26,6760.75,18070.0,-40029.76165514199,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.0012075923871742171,0.12835835098097093
2020-10-27,6778.65,18081.0,-40037.88322962931,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.012055556206864809,0.14041390718783572
2020-10-28,6730.0,17934.0,-39738.790370571456,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.01197606572815279,0.15238997291598852
2020-10-29,6716.5,17828.0,-39501.537016420894,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.012459778481528211,0.16484975139751673
2020-10-30,6707.5,17724.0,-39264.51485763166,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.000777363816411602,0.16562711521392834
2020-11-02,6753.0,17769.0,-39325.466753261615,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.03407282445214073,0.1315542907617876
2020-11-03,6807.0,18085.0,-40018.995620351976,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.011851292281660703,0.11970299848012689
2020-11-04,6828.5,18199.75,-40268.947954208365,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.003664758926420193,0.11603823955370669
2020-11-05,6842.75,18244.0,-40359.37565157782,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.00032783879982681806,0.11571040075387988
2020-11-06,6935.0,18350.5,-40519.06180456872,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.004381150130804975,0.12009155088468486
2020-11-09,6903.25,18281.0,-40386.402765762454,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.001772098015522634,0.1218636489002075
2020-11-10,6913.25,18278.5,-40370.48877156079,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.0030231957956944368,0.12488684469590193
2020-11-11,6866.0,18202.33,-40237.551196224485,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.008696498241069054,0.11619034645483288
2020-11-12,6915.75,18325.0,-40477.98906371174,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.005341542853587566,0.11084880360124531
2020-11-13,6966.3,18423.0,-40659.26763641698,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.026661527322809575,0.08418727627843574
2020-11-16,7092.75,18772.0,-41358.411226969314,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.04097900219563015,0.04320827408280559
2020-11-17,7047.0,19046.0,-42052.33499147171,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.026791690786709673,0.06999996486951526
2020-11-18,7069.5,18856.0,-41580.37143214523,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.011806746849862512,0.08180671171937777
2020-11-19,7076.25,18769.5,-41368.997232767644,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.0183802876345758,0.10018699935395357
2020-11-20,7262.5,18832.5,-41331.77988664959,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.008458011353633423,0.108645010707587
2020-11-23,7162.0,18655.0,-41012.386298331425,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.00926989407240419,0.1179149047799912
2020-11-24,7279.25,18711.0,-41027.6097684487,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.0061511863925071495,0.11176371838748404
2020-11-25,7283.25,18764.0,-41148.98644552399,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.004663612426074156,0.1164273308135582
2020-11-26,7387.0,18840.0,-41225.02186925458,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.002806605899956594,0.1192339367135148
2020-11-27,7487.5,18926.0,-41327.96326979183,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.0464159113196802,0.165649848033195
2020-11-30,7569.25,18642.0,-40574.38352848277,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.016670037093554968,0.14897981093964002
2020-12-01,7688.0,18897.0,-41058.86093705252,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.009018278030592283,0.15799808897023232
2020-12-02,7666.5,18802.62,-40857.09582795129,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.013248831333724039,0.14474925763650828
2020-12-03,7668.5,18910.0,-41109.113706901175,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.003407480041957828,0.1481567376784661
2020-12-04,7750.75,18968.5,-41165.25117122012,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.027333824201576717,0.12082291347688938
2020-12-07,7695.0,19130.0,-41603.04519664763,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.007643929632126127,0.11317898384476326
2020-12-08,7679.0,19175.0,-41725.49709227759,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.031061465345253905,0.08211751849950935
2020-12-09,7705.5,19454.75,-42360.77304344382,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.015533421182832572,0.09765093968234193
2020-12-10,7860.75,19492.7,-42295.29747542508,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.00827728323195688,0.08937365645038504
2020-12-11,7754.95,19450.0,-42300.08645446066,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.043482354422330165,0.04589130202805488
2020-12-14,7729.0,19780.0,-43106.68368908033,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.011283631320066795,0.057174933348121675
2020-12-15,7760.75,19720.0,-42932.99782824039,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.021513374723194603,0.03566155862492707
2020-12-16,7813.5,19956.0,-43438.5288808775,8827.73039066022,1,1.0,1.0,-2.3655976806656978,7.829623300811481e-05,0.03573985485793518
2020-12-17,7900.25,20049.0,-43571.77946517941,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.003187464369497319,0.03255239048843786
2020-12-18,7968.75,20149.5,-43741.02203208631,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.006664158606881876,0.025888231881555986
2020-12-21,7826.3,20054.0,-43657.55745358273,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.020796299509822883,0.005091932371733103
2020-12-22,7723.55,20119.0,-43914.07130282601,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.006104122419134358,0.011196054790867462
2020-12-23,7827.0,20181.0,-43957.28835902728,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.030044376621302927,-0.018848321830435465
2020-12-24,7770.75,20376.0,-44474.82990675709,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.0,-0.018848321830435465
2020-12-25,7770.75,20376.0,-44474.82990675709,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.0,-0.018848321830435465
2020-12-28,7770.75,20376.0,-44474.82990675709,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.01805034704524248,-0.03689866887567794
2020-12-29,7845.2,20614.0,-44963.39215475553,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.006203705908847865,-0.030694962966830077
2020-12-30,7834.0,20547.5,-44817.27990899126,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.010504755668868508,-0.04119971863569859
2020-12-31,7749.0,20544.5,-44895.18311594926,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.0,-0.04119971863569859
2021-01-01,7749.0,20544.5,-44895.18311594926,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.06471482605744627,-0.10591454469314486
2021-01-04,7844.0,21213.0,-46381.58516547428,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.0011093477966950538,-0.10702389248983991
2021-01-05,7994.5,21395.0,-46661.62394335544,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.011247730537009922,-0.09577616195283
2021-01-06,8030.5,21334.0,-46481.32248483483,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.019658910510725734,-0.07611725144210427
2021-01-07,8167.0,21310.0,-46288.04814049885,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.002603427443176964,-0.07351382399892731
2021-01-08,8118.0,21232.5,-46153.71432024726,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.004001300670123803,-0.0695125233288035
2021-01-11,7849.75,20900.0,-45635.40309142592,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.014385738602973423,-0.08389826193177694
2021-01-12,7964.5,21156.25,-46126.8374970965,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.01454308113615849,-0.09844134306793542
2021-01-13,7994.5,21320.0,-46484.20411730551,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.007626091154398719,-0.0908152519135367
2021-01-14,8039.5,21302.0,-46396.62335905353,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.034687793109605264,-0.12550304502314197
2021-01-15,7937.4,21500.0,-46967.111699825335,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.005497196244296983,-0.13100024126743895
2021-01-18,7968.0,21585.0,-47137.58750268192,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.021022284757653727,-0.10997795650978523
2021-01-19,7951.25,21374.0,-46655.19639206146,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.05410587586113051,-0.16408383237091573
2021-01-20,8040.25,21964.0,-47961.899023654216,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.06677874174923486,-0.2308625741201506
2021-01-21,8014.25,22554.0,-49383.60165524698,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.015661016927324526,-0.21520155719282608
2021-01-22,7993.5,22380.0,-48992.73765881115,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.05476803261840732,-0.2699695898112334
