Date,EIAEBRT,GOEUARA,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2018-01-01,66.73,599.0,-4741.453045934942,1740.1697864908615,1,,,,,
2018-01-02,66.65,591.75,-4684.01378003656,1740.1697864908615,1,1.0,1.0,-7.933691848052687,-0.1428815186070935,-0.1428815186070935
2018-01-03,67.85,603.75,-4778.0180822131915,1740.1697864908615,1,1.0,1.0,-7.933691848052687,0.026110476724851766,-0.11677104188224173
2018-01-04,68.73,602.75,-4769.204390365139,1740.1697864908615,1,1.0,1.0,-7.933691848052687,0.06520855227404014,-0.05156248960820159
2018-01-05,68.01,597.0,-4724.305662238836,1740.1697864908615,1,1.0,1.0,-7.933691848052687,0.010233064938634713,-0.04132942466956688
2018-01-08,68.48,596.75,-4721.852239276824,1740.1697864908615,1,1.0,1.0,-7.933691848052687,-0.10756811025045049,-0.14889753492001737
2018-01-09,69.08,605.5,-4790.672042947284,1740.1697864908615,1,1.0,1.0,-7.933691848052687,0.013553616511256913,-0.13534391840876045
2018-01-10,69.79,605.25,-4787.978619985271,1740.1697864908615,1,1.0,1.0,-7.933691848052687,-0.01477185719268568,-0.15011577560144612
2018-01-11,70.36,607.0,-4801.292580719363,1740.1697864908615,1,1.0,1.0,-7.933691848052687,-0.04944408458281706,-0.1995598601842632
2018-01-12,69.64,610.0,-4825.813656263521,1740.1697864908615,1,1.0,1.0,-7.933691848052687,-0.0066366577379914846,-0.20619651792225469
2018-01-15,70.31,611.25,-4835.060771073587,1740.1697864908615,1,1.0,1.0,-7.933691848052687,0.07466863861495554,-0.13152787930729914
2018-01-16,69.4,604.5,-4782.418351099232,1740.1697864908615,1,1.0,1.0,-7.933691848052687,0.00353625682328326,-0.12799162248401588
2018-01-17,69.19,604.0,-4778.661505175205,1740.1697864908615,1,1.0,1.0,-7.933691848052687,0.08628667840791354,-0.04170494407610234
2018-01-18,69.48,597.75,-4728.785931124876,1740.1697864908615,1,1.0,1.0,-7.933691848052687,-0.036468256436707064,-0.0781732005128094
2018-01-19,68.56,599.5,-4743.589891858967,1740.1697864908615,1,1.0,1.0,-7.933691848052687,-0.038541748961706784,-0.11671494947451619
2018-01-22,69.32,603.25,-4772.581236289166,1740.1697864908615,1,1.0,1.0,-7.933691848052687,-0.02581028797579902,-0.1425252374503152
2018-01-23,69.81,605.75,-4791.925465909297,1740.1697864908615,1,1.0,1.0,-7.933691848052687,-0.08370001593102226,-0.22622525338133748
2018-01-24,69.91,612.25,-4843.39446292164,1740.1697864908615,1,1.0,1.0,-7.933691848052687,0.0037775478091528498,-0.22244770557218463
2018-01-25,71.08,613.25,-4850.158154769692,1740.1697864908615,1,1.0,1.0,-7.933691848052687,-0.04964574852560411,-0.27209345409778873
2018-01-26,70.08,616.0,-4872.975807351838,1740.1697864908615,1,1.0,1.0,-7.933691848052687,0.09208442027302273,-0.18000903382476602
2018-01-29,68.41,607.0,-4803.242580719363,1740.1697864908615,1,1.0,1.0,-7.933691848052687,0.11495897912721195,-0.06505005469755407
2018-01-30,67.78,597.5,-4728.502508162863,1740.1697864908615,1,1.0,1.0,-7.933691848052687,-0.0697102631000452,-0.13476031779759928
2018-01-31,67.78,602.75,-4770.154390365139,1740.1697864908615,1,1.0,1.0,-7.933691848052687,-0.06358636304370228,-0.19834668084130158
2018-02-01,68.6,608.5,-4814.953118491442,1740.1697864908615,1,1.0,1.0,-7.933691848052687,0.19836501847756452,1.8337636262938384e-05
2018-02-02,67.45,592.0,-4685.197202998573,1740.1697864908615,1,1.0,1.0,-7.933691848052687,0.13087250300362496,0.1308908406398879
2018-02-05,67.69,582.5,-4609.5871304420725,1740.1697864908615,1,1.0,1.0,-7.933691848052687,-0.02069687297233879,0.1101939676675491
2018-02-06,66.75,583.0,-4614.493976366099,1740.1697864908615,1,1.0,1.0,-7.933691848052687,0.26384092566742073,0.37403489333496986
2018-02-07,65.74,562.5,-4452.863293481018,1740.1697864908615,1,1.0,1.0,-7.933691848052687,0.08679571351668536,0.4608306068516552
2018-02-08,64.26,554.75,-4392.85718165861,1740.1697864908615,1,1.0,1.0,-7.933691848052687,0.12760379696491644,0.5884344038165716
2018-02-09,63.04,544.5,-4312.7568402160705,1740.1697864908615,1,1.0,1.0,-7.933691848052687,0.04131487792320013,0.6297492817397717
2018-02-12,62.2,540.75,-4283.845495785873,1740.1697864908615,1,1.0,1.0,-7.933691848052687,0.07284607013843165,0.7025953518782034
2018-02-13,61.94,535.5,-4242.453613583596,1740.1697864908615,1,1.0,1.0,-7.933691848052687,-0.23510099039735766,0.4674943614808458
2018-02-14,62.29,551.75,-4371.026106114452,1740.1697864908615,1,1.0,1.0,-7.933691848052687,0.027124674573634384,0.49461903605448015
2018-02-15,62.86,550.5,-4360.538991304386,1740.1697864908615,1,1.0,1.0,-7.933691848052687,-0.09598923964188609,0.39862979641259405
2018-02-16,64.3,558.75,-4424.55194905082,1740.1697864908615,1,1.0,1.0,-7.933691848052687,-0.004090136373605316,0.3945396600389887
2018-02-19,64.95,559.75,-4431.835640898874,1740.1697864908615,1,1.0,1.0,-7.933691848052687,-0.0006136352831888083,0.3939260247557999
2018-02-20,64.68,559.5,-4430.122217936861,1740.1697864908615,1,1.0,1.0,-7.933691848052687,-0.01217007268980413,0.3817559520659958
2018-02-21,64.81,560.5,-4437.925909784913,1740.1697864908615,1,1.0,1.0,-7.933691848052687,-0.12487242483424862,0.2568835272317471
2018-02-22,66.12,570.75,-4517.936251227454,1740.1697864908615,1,1.0,1.0,-7.933691848052687,-0.18764268373599288,0.06924084349575424
2018-02-23,67.04,585.25,-4632.054783024218,1740.1697864908615,1,1.0,1.0,-7.933691848052687,0.01033413205468373,0.07957497555043797
