Date,WHEATSF,NATBGAS,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2020-02-28,5.59,0.27717410000000003,5.412116229322702,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,0.008538307357190689,-0.4635823427242757
2020-03-02,5.56,0.28525547999999995,5.381237149196755,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,-0.006177601143187867,-0.46975994386746356
2020-03-03,5.62,0.2973544,5.439921047229341,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,0.010445197292122947,-0.4593147465753406
2020-03-04,5.54,0.28699502000000005,5.3610479247026355,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,-0.0011183810075610311,-0.4604331275829016
2020-03-05,5.55,0.2888067,5.370850852929922,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,0.0038895007717833826,-0.4565436268111182
2020-03-06,5.52,0.284781975,5.341288656344672,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,-0.006005873238201478,-0.46254950004931966
2020-03-09,5.55,0.28328686000000003,5.371451292662047,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,0.0019365701916325287,-0.46061292985768715
2020-03-10,5.57,0.297714885,5.389881834223742,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,0.026602430186742985,-0.4340104996709442
2020-03-11,5.45,0.3115593,5.268375859986437,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,0.009287306970339635,-0.42472319270060455
2020-03-12,5.38,0.30137224500000004,5.199483992210442,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,-0.0033011634455391153,-0.42802435614614365
2020-03-13,5.39,0.29737598,5.209918699790028,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,0.009218837236795095,-0.41880551890934853
2020-03-16,5.31,0.28200269,5.131590982705744,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,-0.007066263801637209,-0.42587178271098575
2020-03-17,5.32,0.26856596,5.143052609593815,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,-0.020111718959555405,-0.4459835016705411
2020-03-18,5.41,0.26067916,5.233910523605695,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,-0.04229737914897523,-0.48828088081951637
2020-03-19,5.66,0.27005718,5.482890396968569,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,-0.01064468408893001,-0.49892556490844636
2020-03-20,5.7,0.26117544,5.523856539028196,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,-0.04566154399112787,-0.5445871088995742
