Date,WHEATSF,NAFCNWE,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2020-04-22,5.66,108.0,-12760.821579156289,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-04-23,5.7,152.5,-18009.151014353298,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-04-24,5.49,136.5,-16122.306835406062,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-04-27,5.44,134.0,-15827.504619945554,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-04-28,5.49,131.6,-15544.396493103468,27251.2220882794,0,0.0,0.0,-0.0,-0.0,67.07581333393942
2020-04-29,5.39,156.0,-18422.25411599801,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-04-30,5.49,171.0,-20191.267408761047,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-05-01,5.47,145.0,-17124.82436797178,27251.2220882794,0,0.0,0.0,-0.0,-0.0,67.07581333393942
2020-05-04,5.41,159.5,-18835.027217642717,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-05-05,5.42,191.5,-22609.1255755372,27251.2220882794,0,0.0,0.0,-0.0,-0.0,67.07581333393942
2020-05-06,5.39,216.0,-25498.70728705016,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-05-07,5.44,213.0,-25144.834628497556,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-05-08,5.44,213.0,-25144.834628497556,27251.2220882794,0,0.0,0.0,-0.0,-0.0,67.07581333393942
2020-05-11,5.39,242.0,-28565.170327839427,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-05-12,5.37,237.0,-27975.485896918417,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-05-13,5.23,207.5,-24496.36975448444,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-05-14,5.25,200.0,-23611.79310810292,27251.2220882794,0,0.0,0.0,-0.0,-0.0,67.07581333393942
2020-05-15,5.23,221.5,-26147.542161063277,27251.2220882794,0,0.0,0.0,-0.0,-0.0,67.07581333393942
2020-05-18,5.2,262.5,-30983.14849461558,27251.2220882794,0,0.0,0.0,-0.0,-0.0,67.07581333393942
2020-05-19,5.18,277.8,-32787.66405323388,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-05-20,5.33,282.5,-33341.836218299635,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-05-21,5.36,285.0,-33636.65843376014,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-05-22,5.28,270.0,-31867.6251409971,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-05-25,5.28,270.0,-31867.6251409971,27251.2220882794,0,0.0,0.0,-0.0,-0.0,67.07581333393942
2020-05-26,5.26,286.0,-33754.69931994434,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-05-27,5.24,263.5,-31101.04938079978,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-05-28,5.34,253.0,-29862.570075865657,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-05-29,5.4,272.0,-32103.386913365503,27251.2220882794,0,0.0,0.0,-0.0,-0.0,67.07581333393942
2020-06-01,5.35,290.0,-34226.37286468116,27251.2220882794,0,0.0,0.0,-0.0,-0.0,67.07581333393942
