Date,EIAEBRT,EIAUSGJ,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2018-10-04,86.07,2.312,85.84411430434871,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,0.010915852236620959,-0.2652454163962851
2018-10-05,85.12,2.301,84.89439561777456,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,0.01072890812693606,-0.2545165082693491
2018-10-08,84.22,2.315,83.9940375825053,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,-0.010862973694479618,-0.2653794819638287
2018-10-09,85.16,2.342,84.93334708591459,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,0.015385656353103776,-0.24999382561072495
2018-10-10,83.82,2.31,83.59416545224431,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,0.028737223197698468,-0.22125660241302647
2018-10-11,81.35,2.244,81.12585333279937,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,0.007787464190093967,-0.2134691382229325
2018-10-12,80.71,2.237,80.48603235043399,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,-0.0024322786736811854,-0.21590141689661368
2018-10-15,80.91,2.241,80.68593005464278,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,0.004856342292694785,-0.21104507460391891
2018-10-16,80.53,2.255,80.30557201937353,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,0.00741546924344665,-0.20362960536047225
2018-10-17,79.91,2.23,79.68621136806863,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,-0.005029576346242644,-0.2086591817067149
2018-10-18,80.3,2.217,80.07654382939008,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,-0.0008578393939746323,-0.20951702110068954
2018-10-19,80.38,2.229,80.15623694201642,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,-0.0006643443048815407,-0.21018136540557109
2018-10-22,80.45,2.247,80.22577661095596,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,0.021169508384118216,-0.18901185702145287
2018-10-23,78.67,2.163,78.44792482257148,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,0.016835123086580583,-0.1721767339348723
2018-10-24,77.34,2.157,77.11807826625831,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,0.0009440220696597923,-0.1712327118652125
2018-10-25,77.3,2.193,77.07715760413735,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,-0.000978797134353489,-0.17221150899956597
2018-10-26,77.4,2.22,77.17646710754667,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,-0.002412777351772444,-0.17462428635133842
2018-10-29,77.56,2.19,77.33723432598077,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,0.024040779378002627,-0.15058350697333578
2018-10-30,75.68,2.173,75.45766908309345,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,0.010922831366241201,-0.13966067560709458
2018-10-31,74.84,2.158,74.6180526923105,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,0.04744756693699176,-0.09221310867010282
2018-11-01,71.25,2.114,71.02917794601386,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,0.0016261844952213372,-0.09058692417488148
2018-11-02,71.11,2.086,70.88989401655236,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,-0.02179649452092242,-0.1123834186958039
2018-11-05,72.68,2.109,72.45930581575288,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,0.028056118257456526,-0.08432730043834738
2018-11-06,70.64,2.108,70.41933138970069,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,0.008117536409062705,-0.07620976402928467
2018-11-07,70.1,2.147,69.87833400573633,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,0.010602003131572921,-0.06560776089771175
2018-11-08,69.29,2.067,69.07037992156064,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,0.003917262202343338,-0.06169049869536841
2018-11-09,69.01,2.057,68.79063566103868,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,-0.011890906268229248,-0.07358140496359766
2018-11-12,69.81,2.033,69.59124943578597,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,0.06141114431263166,-0.012170260650966006
2018-11-13,65.45,1.95,65.23337207345368,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,0.009076153781475015,-0.0030941068694909906
2018-11-14,64.88,1.978,64.66265600291517,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,-0.011704063133687643,-0.014798170003178634
2018-11-15,65.61,1.943,65.3935510910883,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,0.005219519721611114,-0.00957865028156752
2018-11-16,65.29,1.969,65.07288616844541,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,0.01783452435935008,0.008255874077782558
2018-11-19,64.14,1.986,63.922451411332744,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,0.03975635718879535,0.048012231266577915
2018-11-20,61.5,1.877,61.28523897164335,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,-0.002670647785376601,0.04534158348120131
2018-11-21,61.65,1.86,61.435673728756015,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,0.008759124087591275,0.05410070756879259
2018-11-22,61.11,1.86,60.89567372875601,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,0.055964653902798256,0.11006536147159085
2018-11-23,57.69,1.86,57.47567372875601,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,-0.03596884726860068,0.07409651420299017
2018-11-26,59.7,1.778,59.48777079247593,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,0.0021395021805217566,0.07623601638351192
2018-11-27,59.58,1.787,59.36754062694568,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,0.026378490963918796,0.10261450734743072
2018-11-28,57.97,1.742,57.75869145459686,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,-0.0055347773983632715,0.09707972994906744
2018-11-29,58.29,1.741,58.07871702854466,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,0.00975928877836188,0.10683901872742932
2018-11-30,57.71,1.728,57.49904948986611,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,-0.04170934396679243,0.06512967476063689
2018-12-03,60.17,1.79,59.95746390510227,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,-0.01745055675585827,0.047679118004778615
2018-12-04,61.22,1.79,61.00746390510227,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,-0.002925928494133733,0.04475318951064488
2018-12-05,61.4,1.791,61.18743833115447,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,0.057814902152015256,0.10256809166266014
2018-12-06,57.83,1.768,57.61802653195396,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,-0.06681837106978845,0.03574972059287168
2018-12-07,61.71,1.787,61.49754062694569,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,0.022366857430660622,0.0581165780235323
2018-12-10,60.29,1.742,60.078691454596864,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,0.009288439210482724,0.06740501723401503
2018-12-11,59.73,1.742,59.51869145459686,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,-0.00348645960203387,0.06391855763198116
2018-12-12,59.94,1.744,59.72864030670125,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,0.01579773487284136,0.07971629250482253
2018-12-13,59.03,1.786,58.817566200893495,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,0.007346331045720424,0.08706262355054295
2018-12-14,58.56,1.743,58.34866588064905,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,0.015947967944158304,0.10301059149470125
2018-12-17,57.59,1.701,57.37973998645681,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,0.03988709603675604,0.1428976875314573
2018-12-18,55.26,1.663,55.05071179647335,27.791354441072908,0,-1.0,-1.0,0.02557394780376915,-0.005599117311038618,0.13729857022041866
2018-12-19,55.6,1.699,55.38979113435242,27.791354441072908,0,0.0,0.0,-0.0,0.0,0.13729857022041866
