Date,WHEATSF,EIANYGR,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2018-01-01,4.32,1.829,3.383958831334674,1.309039290113107,-1,,,,,
2018-01-02,4.38,1.792,3.456196165469879,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.0035954988790872213,-0.0035954988790872213
2018-01-03,4.42,1.822,3.4862740026575505,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.006340138032663056,0.0027446391535758344
2018-01-04,4.4,1.832,3.462966615053441,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.006382895222915448,0.009127534376491282
2018-01-05,4.36,1.817,3.427927696459605,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.007972881750383833,0.017100416126875115
2018-01-08,4.33,1.823,3.3959432638971396,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.004471748029654451,0.012628668097220665
2018-01-09,4.38,1.862,3.433044452241112,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.004388584503014084,0.008240083594206582
2018-01-10,4.4,1.863,3.4527137134807013,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.0028053178692024087,0.011045401463408992
2018-01-11,4.39,1.866,3.4417214971994676,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.03543555620223325,0.04648095766564224
2018-01-12,4.25,1.886,3.2951067219912487,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.0,0.04648095766564224
2018-01-15,4.25,1.886,3.2951067219912487,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.00800884313467995,0.05448980080032219
2018-01-16,4.21,1.878,3.2577526320745367,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.007473678910796884,0.0470161218895253
2018-01-17,4.26,1.903,3.299484163064262,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.005392303264049752,0.04162381862547555
2018-01-18,4.3,1.926,3.33187717157481,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.004916066551087277,0.04653988517656283
2018-01-19,4.27,1.914,3.305846036699741,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.0011505689329134932,0.045389316243649336
2018-01-22,4.3,1.948,3.3246009188457686,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.010711986860092318,0.05610130310374165
2018-01-23,4.27,1.97,3.287324666116727,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.026256279844446225,0.029845023259295427
2018-01-24,4.39,1.981,3.403686539752207,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.004782236183729846,0.02506278707556558
2018-01-25,4.4,1.966,3.418647621158372,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.010357524737391089,0.014705262338174492
2018-01-26,4.47,1.999,3.4777332420648097,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.018558900147629558,-0.0038536378094550655
2018-01-29,4.55,1.995,3.559056197106454,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.024876906533837256,-0.028730544343292322
2018-01-30,4.63,1.951,3.6536087025645356,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.013172453673293545,-0.015558090669998777
2018-01-31,4.58,1.965,3.5989783599187826,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.00286135314350452,-0.018419443813503297
2018-02-01,4.58,1.948,3.604600918845769,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.005677516811747399,-0.012741927001755898
2018-02-02,4.54,1.93,3.570554216533166,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.007560740329509573,-0.0051811866722463245
2018-02-05,4.48,1.897,3.521468595626729,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.01984374493157897,-0.025024931603825296
2018-02-06,4.54,1.86,3.593705929761934,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.04104139178058372,-0.06606632338440901
2018-02-07,4.69,1.815,3.758589173980428,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.008109827837367772,-0.05795649554704124
2018-02-08,4.64,1.801,3.7132195166261805,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.007005970662191607,-0.050950524884849635
2018-02-09,4.57,1.757,3.657772022084263,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.037528772484547834,-0.08847929736939747
2018-02-12,4.72,1.732,3.8160404910945367,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.008283618557323288,-0.08019567881207418
2018-02-13,4.68,1.731,3.7763712298549477,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.01584259750126262,-0.06435308131081155
2018-02-14,4.63,1.758,3.7174412833238515,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.008443758362651266,-0.07279683967346282
2018-02-15,4.69,1.782,3.7695035530739895,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.010199182428040948,-0.06259765724542186
2018-02-16,4.65,1.791,3.7265269042302904,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.0,-0.06259765724542186
2018-02-19,4.65,1.791,3.7265269042302904,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.016465632710308566,-0.046132024535113295
2018-02-20,4.57,1.787,3.6478498592719344,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.004561448062787448,-0.04157057647232584
2018-02-21,4.55,1.788,3.627519120511523,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.0036337756277603993,-0.04520435210008624
