Date,PALLADM,LZZCASH,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2018-01-01,1056.0,3337.5,-5164.072909774541,522.8032950574551,1,,,,,
2018-01-02,1087.0,3372.5,-5186.728525574503,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.01089870468626742,0.01089870468626742
2018-01-03,1086.0,3346.5,-5147.870068123102,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.004516296012226379,0.006382408674041041
2018-01-04,1100.0,3384.5,-5192.124736705919,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.0025071684842102727,0.003875240189830768
2018-01-05,1095.0,3380.0,-5190.226157531637,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.01590509757735345,-0.012029857387522682
2018-01-08,1090.0,3405.0,-5233.551597388754,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.04105104748507436,0.02902119009755168
2018-01-09,1108.0,3350.5,-5132.00213850024,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.01527885597174263,0.01374233412580905
2018-01-10,1095.0,3358.25,-5156.883024855946,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.04006161253768221,-0.026319278411873155
2018-01-11,1078.0,3412.0,-5256.2827205487465,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.007994284410360868,-0.018324994001512288
2018-01-12,1098.0,3435.5,-5272.308634014435,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.012838272126244134,-0.005486721875268153
2018-01-15,1129.0,3470.0,-5294.197741017255,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.012311465989658623,-0.017798187864926776
2018-01-16,1105.0,3449.75,-5287.154134732991,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.017648101705928378,-0.00015008615899839844
2018-01-17,1104.0,3408.0,-5224.1506501716085,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.006316024154781381,0.006165937995782983
2018-01-18,1107.0,3400.0,-5208.886509417331,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.013518789275446044,-0.0073528512796630615
2018-01-19,1112.0,3440.0,-5265.207213188716,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.017762789186040708,-0.02511564046570377
2018-01-22,1092.0,3439.5,-5284.440704391574,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.0015702159070227562,-0.026685856372726524
2018-01-23,1087.0,3432.75,-5279.092835630152,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.003139542483520108,-0.029825398856246632
2018-01-24,1099.0,3464.5,-5315.76614424869,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.01590482242743014,-0.04573022128367677
2018-01-25,1100.0,3502.5,-5373.020812831506,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.019258952439977564,-0.06498917372365434
2018-01-26,1087.0,3519.5,-5412.082111934345,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.03712176335053765,-0.102110937074192
2018-01-29,1085.0,3600.5,-5538.256537071402,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.02125519736994721,-0.08085573970424478
2018-01-30,1083.0,3546.25,-5457.09033258146,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.05083796310905627,-0.13169370281330106
2018-01-31,1051.0,3595.5,-5564.5914490999785,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.015894594869479736,-0.1475882976827808
2018-02-01,1039.0,3606.0,-5592.688133839967,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.031400690429260525,-0.11618760725352029
2018-02-02,1047.0,3550.25,-5499.222402958598,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.02537781078691776,-0.14156541804043804
2018-02-05,1041.0,3595.75,-5574.97470349855,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.011581456141146418,-0.12998396189929162
2018-02-06,1014.0,3507.75,-5467.069155201501,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.014692821614245934,-0.1152911402850457
2018-02-07,994.0,3429.0,-5366.344019651586,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.025707841670841794,-0.1409989819558875
2018-02-08,985.0,3466.25,-5432.448925038689,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.007749480263115265,-0.13324950169277225
2018-02-09,969.0,3412.0,-5365.2827205487465,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.018084424053941856,-0.1151650776388304
2018-02-12,985.0,3408.5,-5343.91715896875,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.0296582746630323,-0.1448233523018627
2018-02-13,993.0,3492.5,-5464.690636888659,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.04323614403351094,-0.18805949633537364
2018-02-14,993.0,3591.0,-5615.692869925697,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.022675015094820984,-0.16538448124055266
2018-02-15,1017.0,3594.5,-5597.058431505693,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.017959724173389677,-0.147424757067163
2018-02-16,1037.0,3598.5,-5583.190501882833,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.006159873739863141,-0.14126488332729983
2018-02-19,1034.0,3577.25,-5553.613878004284,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.003642644364084008,-0.13762223896321582
2018-02-20,1034.0,3568.75,-5540.583228452864,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.005480532604073065,-0.14310277156728887
